Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 180 --call-graph fp --app com.google.android.apps.meetings
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 222807
Event count: 889093269487

Overhead  Shared Object
97.22%    /data/app/com.google.android.apps.meetings-oMVm3OH4Qclk--UcSfBoAA==/base.apk
0.80%     [kernel.kallsyms]
0.55%     /apex/com.android.runtime/lib64/bionic/libc.so
0.46%     /vendor/lib64/egl/libGLESv2_adreno.so
0.36%     /apex/com.android.runtime/lib64/libart.so
0.25%     /system/lib64/libhwui.so
0.05%     /system/framework/arm64/boot-framework.oat
0.05%     /apex/com.android.runtime/lib64/libart-compiler.so
0.02%     /system/lib64/libandroid_runtime.so
0.02%     /system/lib64/libutils.so
0.02%     /system/framework/arm64/boot.oat
0.02%     /system/lib64/libbinder.so
0.02%     /system/lib64/libcamera_client.so
0.01%     /system/lib64/libgui.so
0.01%     /apex/com.android.runtime/lib64/libartbase.so
0.01%     /vendor/lib/modules/wlan.ko
0.01%     unknown
0.01%     /vendor/lib64/libgsl.so
0.01%     /apex/com.android.runtime/lib64/libprofile.so
0.01%     /data/local/tmp/TemporaryFile-7qv2Rj
0.01%     /system/lib64/libcamera_metadata.so
0.01%     /system/lib64/libaudioclient.so
0.01%     /system/lib64/libui.so
0.01%     /system/lib64/libEGL.so
0.01%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.00%     /vendor/lib64/egl/libEGL_adreno.so
0.00%     /data/user_de/0/com.google.android.gms/app_chimera/m/0000001e/CronetDynamite.apk
0.00%     /system/lib64/libGLESv1_CM.so
0.00%     /system/lib64/libc++.so
0.00%     /data/local/tmp/TemporaryFile-WUbzQA
0.00%     /data/local/tmp/TemporaryFile-kKwUgF
0.00%     /apex/com.android.runtime/lib64/libvixl.so
0.00%     /data/local/tmp/TemporaryFile-N2DMxc
0.00%     /apex/com.android.runtime/lib64/bionic/libm.so
0.00%     /data/local/tmp/TemporaryFile-ieyq5c
0.00%     /data/local/tmp/TemporaryFile-BV3Wp9
0.00%     /data/local/tmp/TemporaryFile-1TndDU
0.00%     /data/local/tmp/TemporaryFile-ADxkFF
0.00%     /system/framework/arm64/boot-core-libart.oat
0.00%     /data/local/tmp/TemporaryFile-R5LdCY
0.00%     /data/local/tmp/TemporaryFile-Msk3WM
0.00%     /system/lib64/libGLESv2.so
0.00%     /apex/com.android.runtime/lib64/libnativehelper.so
0.00%     /data/local/tmp/TemporaryFile-qa0A5X
0.00%     /data/local/tmp/TemporaryFile-zx3ZEE
0.00%     /system/lib64/vndk-sp-29/libcutils.so
0.00%     /system/lib64/libcutils.so
0.00%     /data/local/tmp/TemporaryFile-NhA5Qc
0.00%     /vendor/lib64/libgrallocutils.so
0.00%     /data/local/tmp/TemporaryFile-azKfP4
