Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 180 --call-graph fp --app com.google.android.apps.meetings
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 118443
Event count: 173508520465

Overhead  Shared Object
81.91%    /data/app/com.google.android.apps.meetings-WzFgEk-RGaBZ9KCPd9GC2g==/base.apk
5.59%     [kernel.kallsyms]
3.03%     /system/lib64/libhwui.so
2.99%     /vendor/lib64/egl/libGLESv2_adreno.so
2.82%     /apex/com.android.runtime/lib64/bionic/libc.so
1.79%     /apex/com.android.runtime/lib64/libart.so
0.27%     /apex/com.android.runtime/lib64/libart-compiler.so
0.25%     /system/framework/arm64/boot-framework.oat
0.13%     /system/lib64/libutils.so
0.10%     /system/framework/arm64/boot.oat
0.10%     /system/lib64/libbinder.so
0.09%     /system/lib64/libandroid_runtime.so
0.09%     /system/lib64/libcamera_client.so
0.08%     unknown
0.07%     /system/lib64/libgui.so
0.06%     /apex/com.android.runtime/lib64/libartbase.so
0.05%     /vendor/lib64/libgsl.so
0.04%     /apex/com.android.runtime/lib64/libprofile.so
0.04%     /system/lib64/libEGL.so
0.04%     /vendor/lib/modules/wlan.ko
0.04%     /system/lib64/libcamera_metadata.so
0.03%     /data/user_de/0/com.google.android.gms/app_chimera/m/00000019/CronetDynamite.apk
0.03%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.03%     /system/lib64/libui.so
0.02%     /vendor/lib64/egl/libEGL_adreno.so
0.02%     /system/lib64/libc++.so
0.02%     /system/lib64/libandroidfw.so
0.01%     /vendor/lib64/libllvm-glnext.so
0.01%     /data/local/tmp/TemporaryFile-Ur6Cqn
0.01%     /apex/com.android.runtime/lib64/libvixl.so
0.01%     /system/lib64/libaudioclient.so
0.01%     /system/lib64/libGLESv1_CM.so
0.01%     /system/lib64/libGLESv2.so
0.01%     /data/local/tmp/TemporaryFile-VOUBWX
0.01%     /system/framework/arm64/boot-core-libart.oat
0.01%     /apex/com.android.runtime/lib64/bionic/libm.so
0.01%     /data/local/tmp/TemporaryFile-F2YlOo
0.01%     /data/local/tmp/TemporaryFile-PcRNgy
0.01%     /data/local/tmp/TemporaryFile-BqYUyP
0.01%     /data/local/tmp/TemporaryFile-lfQehI
0.01%     /data/local/tmp/TemporaryFile-S5vaa0
0.01%     /data/local/tmp/TemporaryFile-kcqExl
0.01%     /data/app/com.google.android.apps.meetings-WzFgEk-RGaBZ9KCPd9GC2g==/oat/arm64/base.odex
0.01%     /system/lib64/libcutils.so
0.01%     /data/local/tmp/TemporaryFile-UO5gYz
0.01%     /system/lib64/liblog.so
0.01%     /system/lib64/libsync.so
0.00%     /data/local/tmp/TemporaryFile-LpPfkE
0.00%     /data/local/tmp/TemporaryFile-JTW8X9
0.00%     /apex/com.android.runtime/lib64/libopenjdk.so
0.00%     /data/local/tmp/TemporaryFile-VdJN2H
0.00%     /data/local/tmp/TemporaryFile-iL8owq
0.00%     /data/local/tmp/TemporaryFile-OBHtmw
0.00%     /data/local/tmp/TemporaryFile-Bb0enH
0.00%     /vendor/lib64/hw/gralloc.msmnile.so
0.00%     /apex/com.android.runtime/lib64/libnativehelper.so
0.00%     /data/local/tmp/TemporaryFile-SdSDIF
0.00%     /data/local/tmp/TemporaryFile-JImqtr
0.00%     /data/local/tmp/TemporaryFile-Ev8gva
0.00%     /data/local/tmp/TemporaryFile-VEhHSF
0.00%     /system/lib64/libz.so
0.00%     /system/lib64/vndk-sp-29/libcutils.so
0.00%     /system/lib64/libbinderthreadstate.so
0.00%     /data/local/tmp/TemporaryFile-Ew0kcF
0.00%     /system/lib64/vndk-sp-29/libz.so
0.00%     /data/local/tmp/TemporaryFile-czHkzC
0.00%     /data/local/tmp/TemporaryFile-IEJBWr
0.00%     /apex/com.android.runtime/lib64/libartpalette.so
0.00%     /data/local/tmp/TemporaryFile-5WSx7f
0.00%     /data/local/tmp/TemporaryFile-uELNz8
0.00%     /data/local/tmp/TemporaryFile-krOONZ
0.00%     /data/local/tmp/TemporaryFile-Q8AmOn
0.00%     /data/local/tmp/TemporaryFile-fI0QS6
0.00%     /data/local/tmp/TemporaryFile-vTHRtZ
0.00%     /data/local/tmp/TemporaryFile-98Dxag
0.00%     /data/local/tmp/TemporaryFile-2rggxg
0.00%     /data/local/tmp/TemporaryFile-hqNmCA
0.00%     /vendor/lib64/libadreno_utils.so
0.00%     /system/lib64/libpng.so
0.00%     /data/local/tmp/TemporaryFile-CLw814
0.00%     /apex/com.android.runtime/lib64/libdexfile.so
0.00%     /data/local/tmp/TemporaryFile-uTC7hI
0.00%     /data/local/tmp/TemporaryFile-den6Yw
0.00%     /data/local/tmp/TemporaryFile-8qb8Mx
0.00%     /data/local/tmp/TemporaryFile-faDxOB
0.00%     /data/local/tmp/TemporaryFile-AugKcm
0.00%     /vendor/lib64/libgrallocutils.so
0.00%     /vendor/lib64/libqdMetaData.so
0.00%     /data/local/tmp/TemporaryFile-6iG4L4
0.00%     /data/local/tmp/TemporaryFile-fWcqze
0.00%     /data/local/tmp/TemporaryFile-y3zpgv
0.00%     /system/lib64/libartpalette-system.so
0.00%     /data/local/tmp/TemporaryFile-puP2dN
0.00%     /system/lib64/libinput.so
0.00%     /apex/com.android.runtime/bin/linker64
0.00%     /data/local/tmp/TemporaryFile-EVATtt
0.00%     /data/local/tmp/TemporaryFile-AqtiKq
0.00%     /data/local/tmp/TemporaryFile-85DqlB
0.00%     /data/local/tmp/TemporaryFile-2mwWww
