Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 180 --call-graph fp --app net.daum.android.map
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 25975
Event count: 28656130789

Overhead  Shared Object
31.62%    /system/lib64/libhwui.so
22.29%    /data/local/tmp/TemporaryFile-KEvxDR
7.43%     /data/local/tmp/TemporaryFile-HCGBYS
7.08%     /data/local/tmp/TemporaryFile-WiRdvB
6.63%     /apex/com.android.runtime/lib64/libart.so
5.56%     /vendor/lib64/egl/libGLESv2_adreno.so
4.76%     [kernel.kallsyms]
3.62%     /data/local/tmp/TemporaryFile-dbXYOe
2.09%     /system/framework/arm64/boot-framework.oat
1.92%     /apex/com.android.runtime/lib64/libart-compiler.so
1.72%     /apex/com.android.runtime/lib64/bionic/libc.so
0.85%     /system/framework/arm64/boot.oat
0.53%     /apex/com.android.runtime/lib64/libprofile.so
0.51%     /system/lib64/libandroidfw.so
0.47%     /data/local/tmp/TemporaryFile-OG4QVA
0.42%     /apex/com.android.runtime/lib64/libartbase.so
0.29%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.27%     /system/lib64/libminikin.so
0.20%     /system/lib64/libbinder.so
0.16%     /system/lib64/libandroid_runtime.so
0.13%     /apex/com.android.runtime/lib64/libicuuc.so
0.13%     /system/lib64/libutils.so
0.10%     /system/framework/arm64/boot-core-libart.oat
0.09%     /data/app/net.daum.android.map-9b0gVETO3aSU74jtme4w5w==/lib/arm64/libK3fAndroid.so
0.09%     /system/lib64/libgui.so
0.08%     /system/lib64/libft2.so
0.08%     /system/lib64/libsqlite.so
0.07%     /system/lib64/libEGL.so
0.06%     /system/lib64/libc++.so
0.05%     /apex/com.android.runtime/lib64/libvixl.so
0.05%     unknown
0.04%     /vendor/lib/modules/wlan.ko
0.04%     /system/lib64/libui.so
0.03%     /vendor/lib64/libgsl.so
0.03%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.03%     /data/local/tmp/TemporaryFile-VDPA7V
0.02%     /system/lib64/libz.so
0.02%     /data/local/tmp/TemporaryFile-ByblsK
0.02%     /apex/com.android.runtime/lib64/bionic/libm.so
0.02%     /data/local/tmp/TemporaryFile-iOp3jR
0.02%     /vendor/lib64/libllvm-glnext.so
0.02%     /data/local/tmp/TemporaryFile-7upl8E
0.02%     /system/lib64/libGLESv2.so
0.02%     /vendor/lib64/egl/libEGL_adreno.so
0.02%     /data/local/tmp/TemporaryFile-fyyES5
0.02%     /data/local/tmp/TemporaryFile-KuOxH3
0.01%     /data/local/tmp/TemporaryFile-jfmyQ9
0.01%     /system/lib64/liblog.so
0.01%     /data/local/tmp/TemporaryFile-FHtJ1Z
0.01%     /apex/com.android.runtime/lib64/libandroidicu.so
0.01%     /apex/com.android.runtime/lib64/libdexfile.so
0.01%     /data/local/tmp/TemporaryFile-uuKmb2
0.01%     /data/local/tmp/TemporaryFile-5LwsqK
0.01%     /apex/com.android.runtime/lib64/libicui18n.so
0.01%     /data/local/tmp/TemporaryFile-ujCRjN
0.01%     /apex/com.android.conscrypt/lib64/libjavacrypto.so
0.01%     /data/local/tmp/TemporaryFile-NhQpJK
0.01%     /data/local/tmp/TemporaryFile-4EuCUf
0.01%     /apex/com.android.runtime/lib64/libjavacore.so
0.01%     /data/local/tmp/TemporaryFile-5NgdL8
0.01%     /vendor/lib64/hw/gralloc.sm6150.so
0.01%     /data/local/tmp/TemporaryFile-bp1OS7
0.01%     /data/local/tmp/TemporaryFile-0gMDrd
0.01%     /system/lib64/libGLESv1_CM.so
0.01%     /data/local/tmp/TemporaryFile-rykAVG
0.01%     /apex/com.android.conscrypt/lib64/libssl.so
0.01%     /data/local/tmp/TemporaryFile-IkLlCb
0.00%     /system/lib64/libbase.so
0.00%     /system/lib64/vndk-sp-29/libz.so
0.00%     /system/lib64/libcutils.so
0.00%     /apex/com.android.runtime/lib64/libopenjdk.so
0.00%     /data/local/tmp/TemporaryFile-W1mNSo
0.00%     /data/local/tmp/TemporaryFile-omsqnP
0.00%     /vendor/lib64/libqdMetaData.so
0.00%     /vendor/lib64/libgrallocutils.so
0.00%     /system/lib64/libharfbuzz_ng.so
0.00%     /apex/com.android.runtime/lib64/libnativehelper.so
0.00%     /vendor/lib64/libadreno_utils.so
0.00%     /data/local/tmp/TemporaryFile-2gwsu4
0.00%     /data/app/net.daum.android.map-9b0gVETO3aSU74jtme4w5w==/lib/arm64/librealm-jni.so
0.00%     /product/app/webview/webview.apk
0.00%     /data/local/tmp/TemporaryFile-2heiM4
0.00%     /apex/com.android.runtime/bin/linker64
0.00%     /data/local/tmp/TemporaryFile-X6pgc8
0.00%     /data/local/tmp/TemporaryFile-Rcf3FO
0.00%     /data/local/tmp/TemporaryFile-kRemw8
0.00%     /data/local/tmp/TemporaryFile-dF7mBO
0.00%     /system/lib64/vndk-sp-29/libcutils.so
0.00%     /data/local/tmp/TemporaryFile-uEUC0k
0.00%     /data/local/tmp/TemporaryFile-KmZvQX
0.00%     /system/framework/arm64/boot-okhttp.oat
0.00%     /system/lib64/libhidlbase.so
0.00%     /data/local/tmp/TemporaryFile-EMtGcb
0.00%     /data/local/tmp/TemporaryFile-p7sLOp
0.00%     /apex/com.android.conscrypt/lib64/libc++.so
0.00%     /system/lib64/libbinderthreadstate.so
0.00%     /data/local/tmp/TemporaryFile-HduLcT
0.00%     /data/local/tmp/TemporaryFile-aIh54y
0.00%     /data/local/tmp/TemporaryFile-IO8HwG
0.00%     /data/local/tmp/TemporaryFile-c5E2ra
0.00%     /data/local/tmp/TemporaryFile-UKwoPN
0.00%     /apex/com.android.runtime/lib64/libopenjdkjvm.so
0.00%     /data/local/tmp/TemporaryFile-9M8gBY
0.00%     /data/local/tmp/TemporaryFile-MqhBxJ
0.00%     /data/local/tmp/TemporaryFile-e24uX9
0.00%     /data/local/tmp/TemporaryFile-YQlu99
0.00%     /data/local/tmp/TemporaryFile-wvNOyO
0.00%     /system/lib64/libmedia_jni.so
0.00%     /data/local/tmp/TemporaryFile-3711Mt
0.00%     /system/lib64/libmedia.so
0.00%     /system/lib64/libartpalette-system.so
