Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 180 --call-graph fp --app net.daum.android.map
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 23660
Event count: 20602507022

Overhead  Shared Object
30.15%    /system/lib64/libhwui.so
23.63%    /data/local/tmp/TemporaryFile-TliJ5s
15.40%    /data/local/tmp/TemporaryFile-yc9WL3
7.07%     /apex/com.android.runtime/lib64/libart.so
6.43%     /vendor/lib64/egl/libGLESv2_adreno.so
5.87%     [kernel.kallsyms]
3.03%     /system/framework/arm64/boot-framework.oat
1.99%     /apex/com.android.runtime/lib64/bionic/libc.so
1.02%     /system/framework/arm64/boot.oat
0.80%     /apex/com.android.runtime/lib64/libart-compiler.so
0.77%     /system/lib64/libandroidfw.so
0.70%     /apex/com.android.runtime/lib64/libprofile.so
0.38%     /system/lib64/libbinder.so
0.33%     /apex/com.android.runtime/lib64/libartbase.so
0.29%     /system/lib64/libminikin.so
0.22%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.19%     /system/lib64/libandroid_runtime.so
0.15%     /system/lib64/libutils.so
0.15%     /apex/com.android.runtime/lib64/libicuuc.so
0.15%     /system/lib64/libsqlite.so
0.14%     /system/lib64/libgui.so
0.10%     /data/app/net.daum.android.map-9b0gVETO3aSU74jtme4w5w==/lib/arm64/libK3fAndroid.so
0.09%     /system/lib64/libui.so
0.08%     /system/lib64/libc++.so
0.05%     /system/framework/arm64/boot-core-libart.oat
0.04%     /system/lib64/liblog.so
0.04%     /system/lib64/libGLESv2.so
0.04%     /data/local/tmp/TemporaryFile-x7u6wU
0.04%     /vendor/lib64/libgsl.so
0.03%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.03%     unknown
0.03%     /data/local/tmp/TemporaryFile-sfwSAz
0.03%     /vendor/lib/modules/wlan.ko
0.03%     /data/local/tmp/TemporaryFile-YqqJnE
0.03%     /data/local/tmp/TemporaryFile-bUKnd5
0.03%     /apex/com.android.runtime/lib64/libvixl.so
0.03%     /data/local/tmp/TemporaryFile-9pEGKi
0.02%     /data/local/tmp/TemporaryFile-DHGhMz
0.02%     /system/lib64/libEGL.so
0.02%     /data/local/tmp/TemporaryFile-qsOjjX
0.02%     /apex/com.android.runtime/lib64/libnativehelper.so
0.02%     /data/local/tmp/TemporaryFile-TMYK6B
0.02%     /vendor/lib64/egl/libEGL_adreno.so
0.02%     /apex/com.android.runtime/lib64/libjavacore.so
0.02%     /system/lib64/libGLESv1_CM.so
0.01%     /system/lib64/libmedia_jni.so
0.01%     /data/local/tmp/TemporaryFile-odCtft
0.01%     /apex/com.android.runtime/lib64/libopenjdk.so
0.01%     /data/local/tmp/TemporaryFile-ElhplR
0.01%     /apex/com.android.runtime/lib64/libandroidicu.so
0.01%     /system/lib64/libz.so
0.01%     /apex/com.android.conscrypt/lib64/libssl.so
0.01%     /system/lib64/libcutils.so
0.01%     /apex/com.android.runtime/lib64/libicui18n.so
0.01%     /data/local/tmp/TemporaryFile-fNsXkq
0.01%     /data/local/tmp/TemporaryFile-s6BKmF
0.01%     /apex/com.android.runtime/lib64/bionic/libm.so
0.01%     /apex/com.android.conscrypt/lib64/libjavacrypto.so
0.01%     /data/local/tmp/TemporaryFile-mULo2R
0.01%     /data/local/tmp/TemporaryFile-GiZbq9
0.01%     /data/local/tmp/TemporaryFile-nvEkUD
0.01%     /vendor/lib64/libgralloccore.so
0.01%     /data/local/tmp/TemporaryFile-ufuz6i
0.01%     /data/local/tmp/TemporaryFile-smoSXx
0.00%     /data/local/tmp/TemporaryFile-bKK0dC
0.00%     /data/local/tmp/TemporaryFile-j2jRqN
0.00%     /system/lib64/libbase.so
0.00%     /data/local/tmp/TemporaryFile-Dcjpob
0.00%     /data/local/tmp/TemporaryFile-Frxunr
0.00%     /data/local/tmp/TemporaryFile-25m3RK
0.00%     /data/local/tmp/TemporaryFile-s0Gr4U
0.00%     /system/lib64/vndk-sp-29/libcutils.so
0.00%     /data/local/tmp/TemporaryFile-2kTVhh
0.00%     /data/local/tmp/TemporaryFile-q8ajoI
0.00%     /data/app/net.daum.android.map-9b0gVETO3aSU74jtme4w5w==/lib/arm64/librealm-jni.so
0.00%     /apex/com.android.runtime/lib64/libopenjdkjvm.so
0.00%     /system/framework/arm64/boot-okhttp.oat
0.00%     /data/local/tmp/TemporaryFile-40FT7f
0.00%     /data/local/tmp/TemporaryFile-kha6nX
0.00%     /vendor/lib64/hw/gralloc.sm6150.so
0.00%     /system/lib64/libartpalette-system.so
0.00%     /system/lib64/libpng.so
0.00%     /data/local/tmp/TemporaryFile-W6Uq2x
0.00%     /data/local/tmp/TemporaryFile-ueP9cJ
0.00%     /data/local/tmp/TemporaryFile-4KRQ33
0.00%     /vendor/lib64/libadreno_utils.so
0.00%     /vendor/lib64/libgrallocutils.so
0.00%     /data/local/tmp/TemporaryFile-GKmJf9
0.00%     /data/local/tmp/TemporaryFile-ffDfib
0.00%     /apex/com.android.runtime/lib64/libartpalette.so
0.00%     /apex/com.android.runtime/lib64/libdexfile.so
0.00%     /system/lib64/android.hardware.graphics.mapper@3.0.so
0.00%     /data/local/tmp/TemporaryFile-iHf0B3
0.00%     /apex/com.android.runtime/bin/linker64
0.00%     /data/local/tmp/TemporaryFile-A6rf9Y
0.00%     /system/lib64/libinput.so
0.00%     /data/local/tmp/TemporaryFile-Xtkm9n
0.00%     /system/lib64/libmedia.so
0.00%     /apex/com.android.runtime/lib64/bionic/libdl.so
