Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 180 --call-graph fp --app net.daum.android.map
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 27705
Event count: 28242974442

Overhead  Shared Object
32.44%    /system/lib64/libhwui.so
13.19%    /data/local/tmp/TemporaryFile-9Gi0FI
11.40%    [kernel.kallsyms]
6.92%     /apex/com.android.runtime/lib64/libart.so
6.19%     /vendor/lib64/egl/libGLESv2_adreno.so
5.30%     /data/local/tmp/TemporaryFile-a1HBUN
5.13%     /data/local/tmp/TemporaryFile-mKp4qr
3.33%     /data/local/tmp/TemporaryFile-9s01vC
3.18%     /data/local/tmp/TemporaryFile-6WALmi
2.25%     /system/framework/arm64/boot-framework.oat
1.77%     /apex/com.android.runtime/lib64/bionic/libc.so
1.71%     /apex/com.android.runtime/lib64/libart-compiler.so
0.91%     /data/local/tmp/TemporaryFile-Snrcn1
0.91%     /system/framework/arm64/boot.oat
0.72%     /apex/com.android.runtime/lib64/libprofile.so
0.44%     /system/lib64/libminikin.so
0.41%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.37%     /apex/com.android.runtime/lib64/libartbase.so
0.32%     /system/lib64/libandroidfw.so
0.30%     /system/lib64/libbinder.so
0.23%     /data/local/tmp/TemporaryFile-dpEmaL
0.17%     /system/lib64/libft2.so
0.17%     /system/lib64/libutils.so
0.15%     /system/lib64/libandroid_runtime.so
0.14%     /data/local/tmp/TemporaryFile-3Sd6e2
0.14%     /data/local/tmp/TemporaryFile-5j9DhI
0.13%     /system/lib64/libz.so
0.11%     /apex/com.android.runtime/lib64/libvixl.so
0.10%     /data/local/tmp/TemporaryFile-d9OBtg
0.10%     /system/lib64/libc++.so
0.09%     /system/lib64/libgui.so
0.09%     /system/framework/arm64/boot-core-libart.oat
0.09%     /data/local/tmp/TemporaryFile-9AXkKz
0.08%     /data/app/net.daum.android.map-xuQU6KDQJVQdNUOMqWa9fA==/lib/arm64/libK3fAndroid.so
0.07%     /system/lib64/libEGL.so
0.07%     /apex/com.android.runtime/lib64/libicuuc.so
0.06%     /vendor/lib64/libgsl.so
0.06%     /system/lib64/libsqlite.so
0.05%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.05%     /system/lib64/libharfbuzz_ng.so
0.05%     /system/lib64/libbase.so
0.04%     unknown
0.04%     /system/lib64/libui.so
0.03%     /vendor/lib64/egl/libEGL_adreno.so
0.03%     /system/lib64/libpng.so
0.03%     /system/lib64/libGLESv2.so
0.02%     /vendor/lib/modules/wlan.ko
0.02%     /vendor/lib64/libllvm-glnext.so
0.02%     /system/lib64/libGLESv1_CM.so
0.02%     /data/app/net.daum.android.map-xuQU6KDQJVQdNUOMqWa9fA==/lib/arm64/librealm-jni.so
0.02%     /apex/com.android.runtime/lib64/bionic/libm.so
0.02%     /apex/com.android.runtime/lib64/libnativehelper.so
0.01%     /system/framework/arm64/boot-okhttp.oat
0.01%     /data/local/tmp/TemporaryFile-divDhV
0.01%     /data/local/tmp/TemporaryFile-KK9Mg9
0.01%     /apex/com.android.runtime/lib64/libopenjdk.so
0.01%     /data/local/tmp/TemporaryFile-8FDZUP
0.01%     /data/local/tmp/TemporaryFile-aJbzdQ
0.01%     /system/lib64/libcutils.so
0.01%     /apex/com.android.runtime/lib64/libdexfile.so
0.01%     /vendor/lib64/libadreno_utils.so
0.01%     /data/local/tmp/TemporaryFile-20wyNw
0.01%     /apex/com.android.runtime/lib64/libicui18n.so
0.01%     /apex/com.android.runtime/lib64/libartpalette.so
0.01%     /data/local/tmp/TemporaryFile-k9mdZ4
0.01%     /data/local/tmp/TemporaryFile-63cNGR
0.01%     /data/local/tmp/TemporaryFile-ZxyKRZ
0.01%     /apex/com.android.conscrypt/lib64/libjavacrypto.so
0.01%     /data/local/tmp/TemporaryFile-jbZLWr
0.01%     /apex/com.android.conscrypt/lib64/libssl.so
0.01%     /apex/com.android.runtime/lib64/libjavacore.so
0.01%     /data/local/tmp/TemporaryFile-cKQyvq
0.01%     /system/lib64/vndk-sp-29/libz.so
0.01%     /system/lib64/liblog.so
0.01%     /data/local/tmp/TemporaryFile-tVuEhp
0.01%     /data/local/tmp/TemporaryFile-lH33nt
0.00%     /apex/com.android.runtime/lib64/libandroidicu.so
0.00%     /data/local/tmp/TemporaryFile-wZhBqW
0.00%     /data/local/tmp/TemporaryFile-AubfnK
0.00%     /vendor/lib64/libgrallocutils.so
0.00%     /data/local/tmp/TemporaryFile-dFZgNX
0.00%     /system/lib64/libmedia_jni.so
0.00%     /vendor/lib64/libqdMetaData.so
0.00%     /data/local/tmp/TemporaryFile-uNwnT6
0.00%     /data/local/tmp/TemporaryFile-bimgo7
0.00%     /data/local/tmp/TemporaryFile-OEEdh6
0.00%     /data/local/tmp/TemporaryFile-dIsbHW
0.00%     /system/lib64/libmedia.so
0.00%     /data/local/tmp/TemporaryFile-HJtVJd
0.00%     /data/local/tmp/TemporaryFile-fkRuln
0.00%     /system/lib64/libinput.so
0.00%     /data/local/tmp/TemporaryFile-GlNAZA
0.00%     /data/local/tmp/TemporaryFile-saHXzi
0.00%     /data/local/tmp/TemporaryFile-C9W0pU
0.00%     /data/local/tmp/TemporaryFile-jVZfUj
0.00%     /data/local/tmp/TemporaryFile-8n1gWm
0.00%     /data/local/tmp/TemporaryFile-PgwLGg
0.00%     /data/local/tmp/TemporaryFile-2CkmUK
0.00%     /data/local/tmp/TemporaryFile-gn93nA
0.00%     /data/local/tmp/TemporaryFile-E8YBTI
0.00%     /vendor/lib64/libgralloccore.so
0.00%     /data/local/tmp/TemporaryFile-bK2WZR
0.00%     /system/bin/app_process64
0.00%     /data/local/tmp/TemporaryFile-1wa4sh
0.00%     /data/local/tmp/TemporaryFile-M8qua0
0.00%     /data/local/tmp/TemporaryFile-HaGYr9
0.00%     /system/lib64/libaudioclient.so
0.00%     /data/local/tmp/TemporaryFile-w2v6Cj
0.00%     /data/local/tmp/TemporaryFile-bmbtt5
0.00%     /data/local/tmp/TemporaryFile-o61bj6
0.00%     /product/app/webview/webview.apk
0.00%     /system/lib64/libcrypto.so
0.00%     /system/lib64/libbinderthreadstate.so
0.00%     /system/lib64/libartpalette-system.so
