Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 180 --call-graph fp --app net.daum.android.map
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 27967
Event count: 29605501294

Overhead  Shared Object
35.43%    /system/lib64/libhwui.so
18.05%    /data/local/tmp/TemporaryFile-vIKb1K
11.36%    [kernel.kallsyms]
8.83%     /data/local/tmp/TemporaryFile-MaEeDw
6.88%     /vendor/lib64/egl/libGLESv2_adreno.so
5.74%     /apex/com.android.runtime/lib64/libart.so
3.83%     /data/local/tmp/TemporaryFile-SpfdPS
2.52%     /system/framework/arm64/boot-framework.oat
1.88%     /apex/com.android.runtime/lib64/bionic/libc.so
0.75%     /apex/com.android.runtime/lib64/libart-compiler.so
0.67%     /system/framework/arm64/boot.oat
0.46%     /apex/com.android.runtime/lib64/libprofile.so
0.45%     /data/local/tmp/TemporaryFile-dmUcuR
0.36%     /system/lib64/libminikin.so
0.33%     /data/local/tmp/TemporaryFile-CAvnKQ
0.32%     /apex/com.android.runtime/lib64/libartbase.so
0.30%     /system/lib64/libbinder.so
0.23%     /system/lib64/libandroidfw.so
0.18%     /system/lib64/libandroid_runtime.so
0.15%     /system/lib64/libutils.so
0.11%     /system/lib64/libgui.so
0.11%     /system/lib64/libft2.so
0.11%     /apex/com.android.runtime/lib64/libicuuc.so
0.09%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.07%     /system/lib64/libc++.so
0.06%     unknown
0.05%     /system/lib64/libui.so
0.05%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.05%     /vendor/lib64/egl/libEGL_adreno.so
0.04%     /data/app/net.daum.android.map-xuQU6KDQJVQdNUOMqWa9fA==/lib/arm64/libK3fAndroid.so
0.04%     /vendor/lib64/libgsl.so
0.04%     /data/local/tmp/TemporaryFile-qsJHr9
0.04%     /system/lib64/libsqlite.so
0.03%     /system/lib64/libEGL.so
0.03%     /apex/com.android.conscrypt/lib64/libjavacrypto.so
0.03%     /vendor/lib/modules/wlan.ko
0.03%     /system/lib64/libGLESv2.so
0.03%     /data/local/tmp/TemporaryFile-hTUAti
0.03%     /system/framework/arm64/boot-core-libart.oat
0.03%     /apex/com.android.runtime/lib64/libvixl.so
0.02%     /data/local/tmp/TemporaryFile-xF5WMD
0.02%     /system/lib64/libcutils.so
0.02%     /apex/com.android.runtime/lib64/libopenjdk.so
0.01%     /system/framework/arm64/boot-okhttp.oat
0.01%     /system/lib64/liblog.so
0.01%     /data/local/tmp/TemporaryFile-tMTCfq
0.01%     /data/local/tmp/TemporaryFile-GC03cF
0.01%     /data/app/net.daum.android.map-xuQU6KDQJVQdNUOMqWa9fA==/lib/arm64/librealm-jni.so
0.01%     /apex/com.android.conscrypt/lib64/libssl.so
0.01%     /vendor/lib64/hw/gralloc.msmnile.so
0.01%     /system/lib64/libGLESv1_CM.so
0.01%     /system/lib64/vndk-sp-29/libcutils.so
0.01%     /apex/com.android.runtime/lib64/libnativehelper.so
0.00%     /data/local/tmp/TemporaryFile-k4bMox
0.00%     /data/local/tmp/TemporaryFile-6gH9G3
0.00%     /data/local/tmp/TemporaryFile-T55RSx
0.00%     /apex/com.android.runtime/lib64/bionic/libm.so
0.00%     /data/local/tmp/TemporaryFile-LsR3M2
0.00%     /data/local/tmp/TemporaryFile-BkOSqH
0.00%     /vendor/lib64/libgralloccore.so
0.00%     /data/local/tmp/TemporaryFile-UDOYBB
0.00%     /vendor/lib64/libgrallocutils.so
0.00%     /data/local/tmp/TemporaryFile-qUgk3J
0.00%     /data/local/tmp/TemporaryFile-Rsl0aS
0.00%     /data/local/tmp/TemporaryFile-LZ3TfX
0.00%     /data/local/tmp/TemporaryFile-B0LYaQ
0.00%     /data/local/tmp/TemporaryFile-EIqwuT
0.00%     /apex/com.android.runtime/lib64/libjavacore.so
0.00%     /data/local/tmp/TemporaryFile-hRY6IX
0.00%     /system/lib64/libz.so
0.00%     /apex/com.android.runtime/lib64/libandroidicu.so
0.00%     /system/lib64/libinput.so
0.00%     /data/local/tmp/TemporaryFile-11Be2V
0.00%     /data/local/tmp/TemporaryFile-V8xiL4
0.00%     /apex/com.android.runtime/lib64/libicui18n.so
0.00%     /data/local/tmp/TemporaryFile-bO1t5A
0.00%     /data/local/tmp/TemporaryFile-mIHRZV
0.00%     /vendor/lib64/libqdMetaData.so
0.00%     /apex/com.android.runtime/lib64/libartpalette.so
0.00%     /vendor/lib64/libadreno_utils.so
0.00%     /system/lib64/libharfbuzz_ng.so
0.00%     /data/local/tmp/TemporaryFile-GPxcoy
0.00%     /data/local/tmp/TemporaryFile-SBYrU7
0.00%     /data/local/tmp/TemporaryFile-RTqpgN
0.00%     /system/lib64/libashmemd_client.so
0.00%     /data/local/tmp/TemporaryFile-MI9w6b
0.00%     /data/local/tmp/TemporaryFile-24EbZl
0.00%     /data/local/tmp/TemporaryFile-9tuAn1
0.00%     /data/local/tmp/TemporaryFile-kgZVy6
0.00%     /system/lib64/libziparchive.so
0.00%     /data/app/net.daum.android.map-xuQU6KDQJVQdNUOMqWa9fA==/oat/arm64/base.odex
0.00%     /system/lib64/libmedia.so
0.00%     /data/local/tmp/TemporaryFile-i13LXT
0.00%     /system/lib64/libartpalette-system.so
0.00%     /apex/com.android.runtime/lib64/libandroidio.so
0.00%     /data/local/tmp/TemporaryFile-3DhXz9
0.00%     /apex/com.android.runtime/lib64/bionic/libdl.so
