Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 90 --call-graph fp --app com.campmobile.snow
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 80027
Event count: 159989387316

Overhead  Shared Object
32.18%    /data/app/com.campmobile.snow-78dbfbHjWFYH7GKVuxiiGw==/lib/arm64/libkuru.so
20.35%    /apex/com.android.runtime/lib64/bionic/libc.so
14.63%    /data/app/com.campmobile.snow-78dbfbHjWFYH7GKVuxiiGw==/lib/arm64/libst_mobile.so
5.95%     /vendor/lib64/egl/libGLESv2_adreno.so
5.18%     /system/lib64/vndk-sp-29/libz.so
4.90%     /vendor/lib64/libllvm-glnext.so
3.33%     [kernel.kallsyms]
2.68%     /system/lib64/libhwui.so
1.87%     /data/app/com.campmobile.snow-78dbfbHjWFYH7GKVuxiiGw==/lib/arm64/libopencv_java4.so
1.83%     /data/app/com.campmobile.snow-78dbfbHjWFYH7GKVuxiiGw==/lib/arm64/libjpegturbo.so
1.64%     /apex/com.android.runtime/lib64/libart.so
1.43%     /system/lib64/libz.so
1.05%     /data/app/com.campmobile.snow-78dbfbHjWFYH7GKVuxiiGw==/lib/arm64/libFaceFitter.so
0.72%     /system/lib64/libEGL.so
0.55%     /system/framework/arm64/boot-framework.oat
0.19%     /apex/com.android.runtime/bin/linker64
0.15%     /system/framework/arm64/boot.oat
0.13%     /apex/com.android.runtime/lib64/bionic/libm.so
0.13%     /apex/com.android.runtime/lib64/libart-compiler.so
0.10%     /apex/com.android.runtime/lib64/libprofile.so
0.09%     /system/lib64/libandroid_runtime.so
0.08%     /apex/com.android.runtime/lib64/libartbase.so
0.06%     /data/local/tmp/TemporaryFile-RyBLn2
0.05%     /system/lib64/libbinder.so
0.05%     /data/local/tmp/TemporaryFile-Gxx99E
0.04%     /system/lib64/libutils.so
0.04%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.03%     /system/lib64/libGLESv3.so
0.03%     /system/lib64/libandroidfw.so
0.02%     /system/lib64/libgui.so
0.02%     /vendor/lib64/libgsl.so
0.02%     /system/lib64/libziparchive.so
0.02%     /system/framework/arm64/boot-core-libart.oat
0.02%     /data/app/com.campmobile.snow-78dbfbHjWFYH7GKVuxiiGw==/lib/arm64/libnative-lib.so
0.01%     unknown
0.01%     /data/local/tmp/TemporaryFile-Z5FRjH
0.01%     /system/lib64/libc++.so
0.01%     /data/local/tmp/TemporaryFile-JDODZa
0.01%     /data/local/tmp/TemporaryFile-74AKRf
0.01%     /data/local/tmp/TemporaryFile-1V6QTw
0.01%     /apex/com.android.runtime/lib64/libicuuc.so
0.01%     /data/local/tmp/TemporaryFile-RPawWo
0.01%     /system/lib64/libpng.so
0.01%     /apex/com.android.runtime/lib64/libicui18n.so
0.01%     /data/local/tmp/TemporaryFile-jAbtKH
0.01%     /system/lib64/libminikin.so
0.01%     /data/local/tmp/TemporaryFile-9nU13j
0.01%     /data/local/tmp/TemporaryFile-NW6tqN
0.01%     /data/local/tmp/TemporaryFile-RlZkeP
0.01%     /system/lib64/libui.so
0.01%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.01%     /data/local/tmp/TemporaryFile-HSI5di
0.01%     /data/local/tmp/TemporaryFile-kUl1QH
0.01%     /data/local/tmp/TemporaryFile-d8rFHt
0.01%     /system/lib64/vndk-sp-29/libc++.so
0.01%     /data/local/tmp/TemporaryFile-HQYQVn
0.01%     /data/local/tmp/TemporaryFile-cpeBmS
0.01%     /data/local/tmp/TemporaryFile-VdLpzz
0.01%     /apex/com.android.runtime/lib64/libvixl.so
0.01%     /data/local/tmp/TemporaryFile-WOYSfY
0.01%     /apex/com.android.runtime/lib64/libnativehelper.so
0.01%     /data/local/tmp/TemporaryFile-mES9GY
0.01%     /data/local/tmp/TemporaryFile-RIt9pm
0.01%     /data/local/tmp/TemporaryFile-2U9XJR
0.01%     /data/local/tmp/TemporaryFile-fcZCpJ
0.00%     /system/lib64/libsqlite.so
0.00%     /apex/com.android.runtime/lib64/libjavacore.so
0.00%     /data/local/tmp/TemporaryFile-ICcfaw
0.00%     /data/local/tmp/TemporaryFile-GjlTsi
0.00%     /data/local/tmp/TemporaryFile-engVQ3
0.00%     /data/local/tmp/TemporaryFile-fRUI20
0.00%     /data/local/tmp/TemporaryFile-BcmDC2
0.00%     /data/local/tmp/TemporaryFile-rsvWis
0.00%     /data/local/tmp/TemporaryFile-1nFqxA
0.00%     /data/local/tmp/TemporaryFile-3cNLt5
0.00%     /data/local/tmp/TemporaryFile-KJ5jTd
0.00%     /system/lib64/libft2.so
0.00%     /data/local/tmp/TemporaryFile-wcJIH4
0.00%     /system/lib64/libGLESv1_CM.so
0.00%     /data/local/tmp/TemporaryFile-1GcSRk
0.00%     /vendor/lib64/egl/libEGL_adreno.so
0.00%     /data/local/tmp/TemporaryFile-qaTJ4e
0.00%     /apex/com.android.conscrypt/lib64/libssl.so
0.00%     /data/local/tmp/TemporaryFile-keSZU4
0.00%     /data/local/tmp/TemporaryFile-0Qk893
0.00%     /system/lib64/libinput.so
0.00%     /data/local/tmp/TemporaryFile-fkoiHe
0.00%     /data/local/tmp/TemporaryFile-DB5DYm
0.00%     /data/app/com.campmobile.snow-78dbfbHjWFYH7GKVuxiiGw==/oat/arm64/base.odex
0.00%     /data/local/tmp/TemporaryFile-xAxL8s
0.00%     /apex/com.android.runtime/lib64/libdexfile.so
0.00%     /system/lib64/libGLESv2.so
0.00%     /apex/com.android.conscrypt/lib64/libjavacrypto.so
0.00%     /data/local/tmp/TemporaryFile-iWXYE5
0.00%     /data/local/tmp/TemporaryFile-Xyw3zG
0.00%     /data/local/tmp/TemporaryFile-8DTwL2
0.00%     /data/local/tmp/TemporaryFile-vZjrlW
0.00%     /data/local/tmp/TemporaryFile-7tdIfl
0.00%     /data/local/tmp/TemporaryFile-0nC2La
0.00%     /system/lib64/libsensor.so
0.00%     /data/app/com.campmobile.snow-78dbfbHjWFYH7GKVuxiiGw==/lib/arm64/libpboNative.so
0.00%     /data/local/tmp/TemporaryFile-h4g5F2
0.00%     /data/local/tmp/TemporaryFile-BkAhZl
0.00%     /data/local/tmp/TemporaryFile-DtCv3L
0.00%     /data/local/tmp/TemporaryFile-ZdfpCF
0.00%     /data/local/tmp/TemporaryFile-PfUxUV
0.00%     /data/local/tmp/TemporaryFile-4GAlkq
0.00%     /system/lib64/libcutils.so
0.00%     /system/lib64/libstagefright.so
0.00%     /data/local/tmp/TemporaryFile-7r1FXA
0.00%     /system/lib64/libbinderthreadstate.so
0.00%     /data/local/tmp/TemporaryFile-r8bqKR
0.00%     /data/local/tmp/TemporaryFile-t3p3ct
0.00%     /data/local/tmp/TemporaryFile-QbyBaQ
0.00%     /data/local/tmp/TemporaryFile-r2EFu8
0.00%     /data/local/tmp/TemporaryFile-vWG3TX
0.00%     /data/local/tmp/TemporaryFile-FKNNRe
0.00%     /data/local/tmp/TemporaryFile-Cdr8I4
0.00%     /data/local/tmp/TemporaryFile-q6BCcD
0.00%     /data/local/tmp/TemporaryFile-6AfmLK
0.00%     /data/local/tmp/TemporaryFile-NyRm6v
0.00%     /data/local/tmp/TemporaryFile-5fCzsP
0.00%     /data/local/tmp/TemporaryFile-K28L3X
0.00%     /data/local/tmp/TemporaryFile-RUCLL8
0.00%     /data/local/tmp/TemporaryFile-AOQkQK
0.00%     /vendor/lib64/libgrallocutils.so
0.00%     /data/local/tmp/TemporaryFile-FZ6ErQ
0.00%     /system/lib64/libcodec2_vndk.so
0.00%     /data/local/tmp/TemporaryFile-DRZp5W
0.00%     /apex/com.android.runtime/lib64/libopenjdk.so
0.00%     /data/local/tmp/TemporaryFile-Yzk466
0.00%     /data/local/tmp/TemporaryFile-WJ65xp
0.00%     /data/local/tmp/TemporaryFile-rnnM9w
0.00%     /data/local/tmp/TemporaryFile-VJbDUS
0.00%     /data/local/tmp/TemporaryFile-6uWUZZ
0.00%     /data/local/tmp/TemporaryFile-gllH2r
0.00%     /vendor/lib64/hw/gralloc.sm6150.so
0.00%     /apex/com.android.runtime/lib64/libandroidio.so
0.00%     /data/local/tmp/TemporaryFile-lUkuJP
0.00%     /system/lib64/libsfplugin_ccodec.so
0.00%     /data/local/tmp/TemporaryFile-XqYHyS
0.00%     /data/local/tmp/TemporaryFile-rzI4yH
0.00%     /apex/com.android.runtime/lib64/libandroidicu.so
0.00%     /data/local/tmp/TemporaryFile-1XVjE5
0.00%     /vendor/lib/modules/wlan.ko
0.00%     /system/lib64/libmedia_jni.so
0.00%     /system/bin/app_process64
0.00%     /vendor/lib64/libqdMetaData.so
0.00%     /system/lib64/libstagefright_foundation.so
0.00%     /data/local/tmp/TemporaryFile-aztWSe
