Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 90 --call-graph fp --app com.campmobile.snow
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 90770
Event count: 179156472500

Overhead  Shared Object
28.97%    /data/app/com.campmobile.snow-q69x-5fqFVFrZ9BgZ0cWbw==/lib/arm64/libkuru.so
18.66%    /data/app/com.campmobile.snow-q69x-5fqFVFrZ9BgZ0cWbw==/lib/arm64/libst_mobile.so
18.13%    /apex/com.android.runtime/lib64/bionic/libc.so
6.56%     /vendor/lib64/egl/libGLESv2_adreno.so
4.23%     /system/lib64/vndk-sp-29/libz.so
3.84%     [kernel.kallsyms]
3.64%     /vendor/lib64/libllvm-glnext.so
3.11%     /system/lib64/libhwui.so
2.70%     /data/app/com.campmobile.snow-q69x-5fqFVFrZ9BgZ0cWbw==/lib/arm64/libFaceFitter.so
2.54%     /data/app/com.campmobile.snow-q69x-5fqFVFrZ9BgZ0cWbw==/lib/arm64/libopencv_java4.so
1.63%     /data/app/com.campmobile.snow-q69x-5fqFVFrZ9BgZ0cWbw==/lib/arm64/libjpegturbo.so
1.35%     /apex/com.android.runtime/lib64/libart.so
1.13%     /system/lib64/libz.so
0.94%     /apex/com.android.runtime/lib64/libart-compiler.so
0.50%     /system/lib64/libEGL.so
0.47%     /system/framework/arm64/boot-framework.oat
0.18%     /apex/com.android.runtime/bin/linker64
0.15%     /apex/com.android.runtime/lib64/bionic/libm.so
0.14%     /system/framework/arm64/boot.oat
0.11%     /apex/com.android.runtime/lib64/libartbase.so
0.10%     /system/lib64/libandroid_runtime.so
0.08%     /apex/com.android.runtime/lib64/libprofile.so
0.05%     /data/local/tmp/TemporaryFile-tlZFV0
0.05%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.05%     /data/app/com.campmobile.snow-q69x-5fqFVFrZ9BgZ0cWbw==/oat/arm64/base.odex
0.04%     /system/lib64/libbinder.so
0.04%     /data/local/tmp/TemporaryFile-mivjYO
0.03%     /system/lib64/libutils.so
0.03%     /system/lib64/libGLESv3.so
0.02%     /system/lib64/libandroidfw.so
0.02%     /system/lib64/libgui.so
0.02%     /vendor/lib64/libgsl.so
0.02%     /data/local/tmp/TemporaryFile-8Y6h2p
0.02%     /system/lib64/libc++.so
0.02%     /system/framework/arm64/boot-core-libart.oat
0.02%     /data/app/com.campmobile.snow-q69x-5fqFVFrZ9BgZ0cWbw==/lib/arm64/libnative-lib.so
0.02%     /apex/com.android.runtime/lib64/libvixl.so
0.02%     /apex/com.android.runtime/lib64/libdexfile.so
0.01%     /data/local/tmp/TemporaryFile-TS1qbv
0.01%     unknown
0.01%     /data/local/tmp/TemporaryFile-T4ascl
0.01%     /system/lib64/libziparchive.so
0.01%     /data/local/tmp/TemporaryFile-9yFE2o
0.01%     /data/local/tmp/TemporaryFile-FC4Yn5
0.01%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.01%     /system/lib64/libui.so
0.01%     /data/local/tmp/TemporaryFile-EgBboe
0.01%     /system/lib64/libminikin.so
0.01%     /vendor/lib64/egl/libEGL_adreno.so
0.01%     /data/local/tmp/TemporaryFile-ldXhjv
0.01%     /data/local/tmp/TemporaryFile-9Iu4ty
0.01%     /data/local/tmp/TemporaryFile-QBfN86
0.01%     /data/local/tmp/TemporaryFile-02tGcz
0.01%     /system/lib64/vndk-sp-29/libc++.so
0.01%     /system/lib64/libGLESv1_CM.so
0.01%     /data/local/tmp/TemporaryFile-kIC6du
