Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 90 --call-graph fp --app com.snowcorp.soda.android
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 63720
Event count: 143778825449

Overhead  Shared Object
37.50%    /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libkuru.so
15.99%    /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libst_mobile.so
14.12%    /apex/com.android.runtime/lib64/bionic/libc.so
5.89%     /vendor/lib64/egl/libGLESv2_adreno.so
4.88%     /system/lib64/vndk-sp-29/libz.so
4.82%     /vendor/lib64/libllvm-glnext.so
3.82%     [kernel.kallsyms]
3.36%     /vendor/lib64/libllvm-qcom.so
1.64%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libopencv_java4.so
1.42%     /system/lib64/libhwui.so
1.35%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libFaceFitter.so
1.11%     /apex/com.android.runtime/lib64/libart.so
0.74%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libjpegturbo.so
0.63%     /system/lib64/libEGL.so
0.42%     /system/lib64/libz.so
0.36%     /system/framework/arm64/boot-framework.oat
0.22%     /apex/com.android.runtime/bin/linker64
0.18%     /apex/com.android.runtime/lib64/libart-compiler.so
0.13%     /data/local/tmp/TemporaryFile-2VNuOH
0.12%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libtensorflowlite_gpu_delegate.so
0.12%     /apex/com.android.runtime/lib64/bionic/libm.so
0.10%     /system/framework/arm64/boot.oat
0.08%     /system/lib64/vndk-sp-29/libc++.so
0.07%     /data/local/tmp/TemporaryFile-Uvvowx
0.06%     /apex/com.android.runtime/lib64/libprofile.so
0.06%     /data/local/tmp/TemporaryFile-KMq5HX
0.05%     /data/local/tmp/TemporaryFile-ZkXd5m
0.05%     /system/lib64/libbinder.so
0.05%     /apex/com.android.runtime/lib64/libartbase.so
0.04%     /system/lib64/libandroid_runtime.so
0.04%     /data/local/tmp/TemporaryFile-aI5osW
0.04%     /system/lib64/libutils.so
0.03%     /data/local/tmp/TemporaryFile-zOWaw2
0.03%     /data/local/tmp/TemporaryFile-NJ3kcB
0.03%     /system/lib64/libgui.so
0.03%     /system/lib64/libGLESv3.so
0.02%     /data/local/tmp/TemporaryFile-H4ajKg
0.02%     /vendor/lib64/libgsl.so
0.02%     /data/local/tmp/TemporaryFile-1flgaY
0.02%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libnative-lib.so
0.02%     /data/local/tmp/TemporaryFile-9L10Nh
0.02%     /data/local/tmp/TemporaryFile-MpZBYR
0.01%     /data/local/tmp/TemporaryFile-6GLIN3
0.01%     /system/lib64/libui.so
0.01%     /apex/com.android.runtime/lib64/libicuuc.so
0.01%     unknown
0.01%     /apex/com.android.runtime/lib64/libicui18n.so
0.01%     /data/local/tmp/TemporaryFile-yyIyRk
0.01%     /system/lib64/libminikin.so
0.01%     /system/lib64/libGLESv2.so
0.01%     /apex/com.android.runtime/lib64/libvixl.so
0.01%     /data/local/tmp/TemporaryFile-0I7I53
0.01%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.01%     /data/local/tmp/TemporaryFile-pf1rB3
0.01%     /system/lib64/libziparchive.so
0.01%     /data/local/tmp/TemporaryFile-dH343T
0.01%     /data/local/tmp/TemporaryFile-SGaaci
0.01%     /vendor/lib64/egl/libEGL_adreno.so
0.01%     /data/local/tmp/TemporaryFile-YNesjG
0.01%     /data/local/tmp/TemporaryFile-tCUxyu
0.01%     /system/lib64/libc++.so
0.01%     /data/local/tmp/TemporaryFile-aPLRqG
0.01%     /system/framework/arm64/boot-core-libart.oat
0.01%     /system/lib64/libGLESv1_CM.so
0.01%     /data/local/tmp/TemporaryFile-UeffqD
0.00%     /data/local/tmp/TemporaryFile-ncGLyK
0.00%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/oat/arm64/base.odex
0.00%     /data/local/tmp/TemporaryFile-785XMp
0.00%     /data/local/tmp/TemporaryFile-9mHFJL
0.00%     /data/local/tmp/TemporaryFile-3O7PLI
0.00%     /system/lib64/libjpeg.so
0.00%     /data/local/tmp/TemporaryFile-PSGCBa
0.00%     /data/local/tmp/TemporaryFile-0Z7Tcr
0.00%     /system/bin/app_process64
0.00%     /system/lib64/libcutils.so
0.00%     /data/local/tmp/TemporaryFile-9PyawA
0.00%     /system/lib64/libinput.so
0.00%     /data/local/tmp/TemporaryFile-HEsqhi
0.00%     /data/local/tmp/TemporaryFile-Upxpvf
0.00%     /data/local/tmp/TemporaryFile-3tfLex
0.00%     /data/local/tmp/TemporaryFile-uXGgMz
0.00%     /apex/com.android.runtime/lib64/libdexfile.so
0.00%     /system/lib64/libft2.so
0.00%     /data/local/tmp/TemporaryFile-wtTbTo
0.00%     /data/local/tmp/TemporaryFile-1xUK0A
0.00%     /vendor/lib64/libgrallocutils.so
0.00%     /data/local/tmp/TemporaryFile-Cw23GT
0.00%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libtensorflowlite_c.so
0.00%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libnelondk.so
0.00%     /system/lib64/libharfbuzz_ng.so
0.00%     /data/local/tmp/TemporaryFile-CDGjLN
0.00%     /data/local/tmp/TemporaryFile-NdxySe
0.00%     /data/local/tmp/TemporaryFile-c26cTI
0.00%     /data/local/tmp/TemporaryFile-JWRAP2
0.00%     /apex/com.android.runtime/lib64/libnativehelper.so
0.00%     /data/local/tmp/TemporaryFile-ARfmkw
0.00%     /apex/com.android.runtime/lib64/libjavacore.so
0.00%     /data/local/tmp/TemporaryFile-3LnAFG
0.00%     /data/local/tmp/TemporaryFile-lMH9Xz
0.00%     /system/lib64/libandroidfw.so
0.00%     /data/local/tmp/TemporaryFile-GSKgfK
0.00%     /vendor/lib64/libqdMetaData.so
0.00%     /data/local/tmp/TemporaryFile-WQL7SJ
0.00%     /vendor/lib64/libadreno_utils.so
0.00%     /data/local/tmp/TemporaryFile-lnvClw
0.00%     /data/local/tmp/TemporaryFile-v9Lm2c
0.00%     /system/lib64/libsensor.so
0.00%     /data/local/tmp/TemporaryFile-yJiXVQ
0.00%     /data/local/tmp/TemporaryFile-qLUKQi
0.00%     /vendor/lib/modules/wlan.ko
0.00%     /data/local/tmp/TemporaryFile-XLEsEJ
0.00%     /vendor/lib64/hw/gralloc.sm6150.so
0.00%     /system/lib64/libbinderthreadstate.so
0.00%     /data/local/tmp/TemporaryFile-ueQQFb
0.00%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.00%     /product/app/webview/webview.apk
0.00%     /apex/com.android.conscrypt/lib64/libssl.so
0.00%     /system/framework/arm64/boot-okhttp.oat
0.00%     /apex/com.android.runtime/lib64/libopenjdk.so
