Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 90 --call-graph fp --app com.snowcorp.soda.android
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 69321
Event count: 146048492492

Overhead  Shared Object
41.66%    /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libkuru.so
14.37%    /apex/com.android.runtime/lib64/bionic/libc.so
13.59%    /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libst_mobile.so
6.36%     /vendor/lib64/egl/libGLESv2_adreno.so
5.14%     /system/lib64/vndk-sp-29/libz.so
3.38%     /vendor/lib64/libllvm-qcom.so
3.36%     [kernel.kallsyms]
2.38%     /vendor/lib64/libllvm-glnext.so
1.76%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libopencv_java4.so
1.50%     /system/lib64/libhwui.so
1.40%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libFaceFitter.so
0.97%     /apex/com.android.runtime/lib64/libart.so
0.81%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libjpegturbo.so
0.67%     /system/lib64/libEGL.so
0.41%     /system/lib64/libz.so
0.36%     /system/framework/arm64/boot-framework.oat
0.23%     /apex/com.android.runtime/bin/linker64
0.15%     /data/local/tmp/TemporaryFile-idaAuJ
0.12%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libtensorflowlite_gpu_delegate.so
0.11%     /apex/com.android.runtime/lib64/libart-compiler.so
0.10%     /system/framework/arm64/boot.oat
0.09%     /data/local/tmp/TemporaryFile-MwcrUs
0.09%     /apex/com.android.runtime/lib64/bionic/libm.so
0.07%     /system/lib64/vndk-sp-29/libc++.so
0.06%     /data/local/tmp/TemporaryFile-OJVI34
0.06%     /data/local/tmp/TemporaryFile-uImCes
0.05%     /system/lib64/libbinder.so
0.05%     /data/local/tmp/TemporaryFile-6MLPRU
0.05%     /system/lib64/libandroid_runtime.so
0.04%     /apex/com.android.runtime/lib64/libprofile.so
0.04%     /system/lib64/libGLESv3.so
0.04%     /system/lib64/libgui.so
0.04%     /data/local/tmp/TemporaryFile-9LTMgY
0.03%     /data/local/tmp/TemporaryFile-NtmJgg
0.03%     /system/lib64/libutils.so
0.03%     /apex/com.android.runtime/lib64/libartbase.so
0.03%     /data/local/tmp/TemporaryFile-T47St2
0.02%     /data/local/tmp/TemporaryFile-diryHB
0.02%     /data/local/tmp/TemporaryFile-vq0THT
0.02%     /data/local/tmp/TemporaryFile-ia9I4M
0.02%     /vendor/lib64/libgsl.so
0.01%     /apex/com.android.runtime/lib64/libicuuc.so
0.01%     unknown
0.01%     /system/lib64/libui.so
0.01%     /data/local/tmp/TemporaryFile-NsqCuK
0.01%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.01%     /system/lib64/libc++.so
0.01%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libnative-lib.so
0.01%     /system/lib64/libziparchive.so
0.01%     /data/local/tmp/TemporaryFile-XgKu25
0.01%     /data/local/tmp/TemporaryFile-Vgv1vc
0.01%     /data/local/tmp/TemporaryFile-1v55Pp
0.01%     /data/local/tmp/TemporaryFile-gHMpY7
0.01%     /data/local/tmp/TemporaryFile-7cFb56
0.01%     /vendor/lib64/egl/libEGL_adreno.so
0.01%     /data/local/tmp/TemporaryFile-GXAQqO
0.01%     /system/lib64/libminikin.so
0.01%     /system/framework/arm64/boot-core-libart.oat
0.01%     /data/local/tmp/TemporaryFile-o4Bkba
0.01%     /system/lib64/libandroidfw.so
0.01%     /data/local/tmp/TemporaryFile-z8PhnK
0.01%     /data/local/tmp/TemporaryFile-xbdWAP
0.01%     /data/local/tmp/TemporaryFile-NpFK0K
0.00%     /system/lib64/libpng.so
0.00%     /data/local/tmp/TemporaryFile-q71w77
0.00%     /data/local/tmp/TemporaryFile-4aRP6p
0.00%     /data/local/tmp/TemporaryFile-Tzq18g
0.00%     /data/local/tmp/TemporaryFile-ivysY5
0.00%     /data/local/tmp/TemporaryFile-DCuq9u
0.00%     /data/local/tmp/TemporaryFile-RPmW1q
0.00%     /data/local/tmp/TemporaryFile-HhLRt4
0.00%     /data/local/tmp/TemporaryFile-YSXMiY
0.00%     /system/bin/app_process64
0.00%     /data/local/tmp/TemporaryFile-PGWFuV
0.00%     /data/local/tmp/TemporaryFile-21chmd
0.00%     /apex/com.android.runtime/lib64/libjavacore.so
0.00%     /system/lib64/libGLESv2.so
0.00%     /data/local/tmp/TemporaryFile-tgayZn
0.00%     /apex/com.android.runtime/lib64/libnativehelper.so
0.00%     /data/local/tmp/TemporaryFile-TshxtT
0.00%     /system/lib64/libinput.so
0.00%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libnelondk.so
0.00%     /system/lib64/libsync.so
0.00%     /vendor/lib64/hw/gralloc.sm6150.so
0.00%     /data/local/tmp/TemporaryFile-fj5Qdg
0.00%     /data/local/tmp/TemporaryFile-G1HKpG
0.00%     /apex/com.android.runtime/lib64/libdexfile.so
0.00%     /data/local/tmp/TemporaryFile-1p7XFZ
0.00%     /system/lib64/libcutils.so
0.00%     /data/local/tmp/TemporaryFile-M5d1IU
0.00%     /apex/com.android.runtime/lib64/libicui18n.so
0.00%     /vendor/lib64/libgrallocutils.so
0.00%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/lib/arm64/libtensorflowlite_c.so
0.00%     /system/lib64/libcamera_client.so
0.00%     /data/app/com.snowcorp.soda.android-TOuzhZYGkhkpjxVOV8EZCg==/oat/arm64/base.odex
0.00%     /data/local/tmp/TemporaryFile-p1rox0
0.00%     /vendor/lib/modules/wlan.ko
0.00%     /apex/com.android.runtime/lib64/libvixl.so
0.00%     /data/local/tmp/TemporaryFile-f8KGBq
0.00%     /system/lib64/libartpalette-system.so
0.00%     /system/lib64/libGLESv1_CM.so
0.00%     /vendor/lib64/libCB.so
0.00%     /apex/com.android.runtime/lib64/libopenjdk.so
0.00%     /system/lib64/libsensor.so
