Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 90 --call-graph fp --app com.snowcorp.soda.android
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 69190
Event count: 171778992966

Overhead  Shared Object
35.21%    /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libkuru.so
19.07%    /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libst_mobile.so
13.21%    /apex/com.android.runtime/lib64/bionic/libc.so
6.52%     /vendor/lib64/egl/libGLESv2_adreno.so
4.40%     /system/lib64/vndk-sp-29/libz.so
3.96%     [kernel.kallsyms]
3.91%     /vendor/lib64/libllvm-glnext.so
2.80%     /vendor/lib64/libllvm-qcom.so
2.14%     /system/lib64/libhwui.so
2.09%     /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libopencv_java4.so
1.36%     /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libFaceFitter.so
1.23%     /apex/com.android.runtime/lib64/libart.so
0.68%     /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libjpegturbo.so
0.47%     /system/lib64/libEGL.so
0.42%     /system/lib64/libz.so
0.33%     /system/framework/arm64/boot-framework.oat
0.28%     /apex/com.android.runtime/lib64/libart-compiler.so
0.19%     /apex/com.android.runtime/bin/linker64
0.13%     /apex/com.android.runtime/lib64/bionic/libm.so
0.12%     /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libtensorflowlite_gpu_delegate.so
0.11%     /system/framework/arm64/boot.oat
0.10%     /data/local/tmp/TemporaryFile-wSx8X9
0.08%     /data/local/tmp/TemporaryFile-uzK3vO
0.07%     /apex/com.android.runtime/lib64/libartbase.so
0.07%     /data/local/tmp/TemporaryFile-aKMClC
0.07%     /system/lib64/vndk-sp-29/libc++.so
0.05%     /data/local/tmp/TemporaryFile-A0KRTh
0.05%     /apex/com.android.runtime/lib64/libprofile.so
0.05%     /system/lib64/libandroid_runtime.so
0.05%     /data/local/tmp/TemporaryFile-i3CXZb
0.04%     /system/lib64/libbinder.so
0.04%     /system/lib64/libGLESv3.so
0.04%     /data/local/tmp/TemporaryFile-un7IbD
0.04%     /data/local/tmp/TemporaryFile-aJGHTQ
0.03%     /data/local/tmp/TemporaryFile-EfZnpd
0.03%     /system/lib64/libjpeg.so
0.03%     /data/local/tmp/TemporaryFile-1TtOZJ
0.03%     /system/lib64/libutils.so
0.03%     /data/local/tmp/TemporaryFile-L9Bdaj
0.03%     unknown
0.03%     /system/lib64/libgui.so
0.02%     /data/local/tmp/TemporaryFile-Gnc0dr
0.02%     /vendor/lib64/libgsl.so
0.02%     /data/local/tmp/TemporaryFile-9x6jAB
0.02%     /system/lib64/libziparchive.so
0.02%     /data/local/tmp/TemporaryFile-w42v8B
0.01%     /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libnative-lib.so
0.01%     /data/local/tmp/TemporaryFile-QnFptB
0.01%     /data/local/tmp/TemporaryFile-z15dDt
0.01%     /apex/com.android.runtime/lib64/libvixl.so
0.01%     /data/local/tmp/TemporaryFile-Qp9mbO
0.01%     /system/lib64/libui.so
0.01%     /data/local/tmp/TemporaryFile-kq26e0
0.01%     /data/local/tmp/TemporaryFile-F0pkTn
0.01%     /system/lib64/libc++.so
0.01%     /system/lib64/libft2.so
0.01%     /data/local/tmp/TemporaryFile-Wz2ZZd
0.01%     /system/lib64/libGLESv1_CM.so
0.01%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.01%     /system/lib64/libminikin.so
0.01%     /data/local/tmp/TemporaryFile-GLcmVM
0.01%     /data/local/tmp/TemporaryFile-ogoWs1
0.01%     /apex/com.android.runtime/lib64/libicuuc.so
0.01%     /system/lib64/libandroidfw.so
0.01%     /data/local/tmp/TemporaryFile-5KCb0H
0.01%     /data/local/tmp/TemporaryFile-mkgMfz
0.01%     /vendor/lib64/egl/libEGL_adreno.so
0.01%     /data/local/tmp/TemporaryFile-o1eCyX
0.01%     /data/local/tmp/TemporaryFile-xx8nhf
0.00%     /data/local/tmp/TemporaryFile-902xmV
0.00%     /system/lib64/libpng.so
0.00%     /system/lib64/libGLESv2.so
0.00%     /apex/com.android.runtime/lib64/libicui18n.so
0.00%     /system/bin/app_process64
0.00%     /system/lib64/libinput.so
0.00%     /system/lib64/libharfbuzz_ng.so
0.00%     /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libnelondk.so
0.00%     /data/local/tmp/TemporaryFile-3BHJ1o
0.00%     /system/lib64/libcutils.so
