Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 90 --call-graph fp --app com.snowcorp.soda.android
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 68475
Event count: 161802394659

Overhead  Shared Object
36.32%    /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libkuru.so
19.11%    /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libst_mobile.so
13.50%    /apex/com.android.runtime/lib64/bionic/libc.so
6.95%     /vendor/lib64/egl/libGLESv2_adreno.so
4.28%     /system/lib64/vndk-sp-29/libz.so
3.57%     [kernel.kallsyms]
3.02%     /vendor/lib64/libllvm-qcom.so
2.53%     /vendor/lib64/libllvm-glnext.so
2.22%     /system/lib64/libhwui.so
1.98%     /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libopencv_java4.so
1.59%     /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libFaceFitter.so
0.92%     /apex/com.android.runtime/lib64/libart.so
0.74%     /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libjpegturbo.so
0.66%     /system/lib64/libEGL.so
0.37%     /system/lib64/libz.so
0.33%     /system/framework/arm64/boot-framework.oat
0.19%     /apex/com.android.runtime/bin/linker64
0.13%     /apex/com.android.runtime/lib64/bionic/libm.so
0.11%     /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libtensorflowlite_gpu_delegate.so
0.11%     /system/framework/arm64/boot.oat
0.08%     /data/local/tmp/TemporaryFile-9RZ1Jv
0.08%     /data/local/tmp/TemporaryFile-Va0HZC
0.08%     /system/lib64/vndk-sp-29/libc++.so
0.07%     /data/local/tmp/TemporaryFile-wiYiCV
0.07%     /data/local/tmp/TemporaryFile-M0f4DR
0.06%     /data/local/tmp/TemporaryFile-knyy8o
0.05%     /system/lib64/libbinder.so
0.05%     /apex/com.android.runtime/lib64/libart-compiler.so
0.04%     /system/lib64/libandroid_runtime.so
0.04%     /data/local/tmp/TemporaryFile-PANdjU
0.04%     /data/local/tmp/TemporaryFile-WFwYfG
0.04%     /system/lib64/libGLESv3.so
0.04%     /data/local/tmp/TemporaryFile-Hmj4Ki
0.04%     /data/local/tmp/TemporaryFile-qarPkG
0.04%     /system/lib64/libutils.so
0.03%     /data/local/tmp/TemporaryFile-NxZRra
0.03%     /data/local/tmp/TemporaryFile-oMK0Gr
0.03%     /apex/com.android.runtime/lib64/libartbase.so
0.03%     unknown
0.03%     /data/local/tmp/TemporaryFile-KmQuoY
0.03%     /apex/com.android.runtime/lib64/libprofile.so
0.02%     /data/local/tmp/TemporaryFile-0VJzVv
0.02%     /system/lib64/libgui.so
0.02%     /vendor/lib64/libgsl.so
0.02%     /data/local/tmp/TemporaryFile-s894vz
0.02%     /data/local/tmp/TemporaryFile-0Kjvrc
0.02%     /data/local/tmp/TemporaryFile-ekRJdY
0.02%     /system/lib64/libGLESv2.so
0.02%     /system/lib64/libziparchive.so
0.02%     /data/local/tmp/TemporaryFile-yrGqvS
0.01%     /system/lib64/libui.so
0.01%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.01%     /system/lib64/libc++.so
0.01%     /vendor/lib64/egl/libEGL_adreno.so
0.01%     /apex/com.android.runtime/lib64/libicuuc.so
0.01%     /data/local/tmp/TemporaryFile-cxL9iq
0.01%     /data/local/tmp/TemporaryFile-GWoaMK
0.01%     /system/framework/arm64/boot-core-libart.oat
0.01%     /data/local/tmp/TemporaryFile-OvSWvF
0.01%     /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libnative-lib.so
0.01%     /data/local/tmp/TemporaryFile-S8Mt2P
0.01%     /system/lib64/libminikin.so
0.01%     /vendor/lib64/libCB.so
0.01%     /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libtensorflowlite_c.so
0.01%     /system/lib64/libandroidfw.so
0.00%     /system/lib64/libinput.so
0.00%     /apex/com.android.runtime/lib64/libnativehelper.so
0.00%     /system/lib64/libGLESv1_CM.so
0.00%     /data/local/tmp/TemporaryFile-9hbfBw
0.00%     /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/oat/arm64/base.odex
0.00%     /system/lib64/libsync.so
0.00%     /data/local/tmp/TemporaryFile-Xo6m83
0.00%     /apex/com.android.runtime/lib64/libdexfile.so
0.00%     /data/local/tmp/TemporaryFile-CSl9O5
0.00%     /data/app/com.snowcorp.soda.android-j9IdYLa6NO6zozeBSQVUJg==/lib/arm64/libnelondk.so
0.00%     /data/local/tmp/TemporaryFile-UkPa0s
0.00%     /apex/com.android.runtime/lib64/libopenjdk.so
0.00%     /system/framework/arm64/boot-okhttp.oat
0.00%     /data/local/tmp/TemporaryFile-bSGIJf
0.00%     /data/local/tmp/TemporaryFile-S96cJt
0.00%     /data/local/tmp/TemporaryFile-n7t3Tz
0.00%     /system/lib64/libcutils.so
0.00%     /data/local/tmp/TemporaryFile-sgqYPL
0.00%     /data/local/tmp/TemporaryFile-kceEIj
0.00%     /system/bin/app_process64
0.00%     /data/local/tmp/TemporaryFile-bs6Ukp
0.00%     /data/local/tmp/TemporaryFile-kmFeUl
0.00%     /data/local/tmp/TemporaryFile-SX4S5X
0.00%     /system/lib64/libbinderthreadstate.so
0.00%     /data/local/tmp/TemporaryFile-44Js3B
0.00%     /data/local/tmp/TemporaryFile-Iaxlgi
0.00%     /system/lib64/vndk-sp-29/libcutils.so
0.00%     /apex/com.android.runtime/lib64/libicui18n.so
0.00%     /data/local/tmp/TemporaryFile-xTELPa
0.00%     /vendor/lib64/libadreno_utils.so
0.00%     /system/lib64/libsensor.so
0.00%     /data/local/tmp/TemporaryFile-5QDPlw
0.00%     /data/local/tmp/TemporaryFile-RPOyHI
0.00%     /vendor/lib64/libqdMetaData.so
0.00%     /data/local/tmp/TemporaryFile-bDAIRg
0.00%     /data/local/tmp/TemporaryFile-eWWNCG
0.00%     /vendor/lib64/hw/gralloc.msmnile.so
0.00%     /data/local/tmp/TemporaryFile-YXAMRL
0.00%     /apex/com.android.runtime/lib64/libjavacore.so
0.00%     /system/lib64/libsqlite.so
0.00%     /product/app/webview/webview.apk
0.00%     /data/local/tmp/TemporaryFile-rqULVP
0.00%     /data/local/tmp/TemporaryFile-J5ue5q
0.00%     /system/lib64/libashmemd_client.so
