Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 180 --call-graph fp --app tv.twitch.android.app
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 97988
Event count: 39132806751

Overhead  Shared Object
23.12%    /apex/com.android.runtime/lib64/libart.so
22.78%    [kernel.kallsyms]
13.35%    /apex/com.android.runtime/lib64/bionic/libc.so
8.40%     /system/lib64/libhwui.so
7.08%     /system/framework/arm64/boot-core-libart.oat
5.97%     /system/framework/arm64/boot.oat
2.94%     /vendor/lib64/egl/libGLESv2_adreno.so
2.09%     /data/app/tv.twitch.android.app-J5v2HBMCqOECPogfADxVVA==/split_config.arm64_v8a.apk
1.51%     /data/local/tmp/TemporaryFile-rctXxS
1.31%     /system/framework/arm64/boot-framework.oat
0.99%     /apex/com.android.runtime/lib64/libicuuc.so
0.85%     /apex/com.android.runtime/lib64/libart-compiler.so
0.67%     /system/lib64/libutils.so
0.61%     /system/lib64/libsfplugin_ccodec.so
0.53%     /system/lib64/libstagefright_foundation.so
0.53%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.51%     /system/lib64/libstagefright.so
0.48%     /apex/com.android.runtime/lib64/libartbase.so
0.42%     /system/lib64/libmeminfo.so
0.38%     /apex/com.android.runtime/lib64/libprofile.so
0.31%     /system/lib64/libandroid_runtime.so
0.30%     /system/lib64/libhidlbase.so
0.28%     /system/lib64/libcodec2_hidl_client@1.0.so
0.28%     /data/local/tmp/TemporaryFile-JXmpdP
0.27%     /system/lib64/libc++.so
0.27%     /system/lib64/libcodec2_vndk.so
0.20%     /system/lib64/libbinder.so
0.19%     /system/lib64/libstagefright_bufferpool@2.0.1.so
0.19%     /apex/com.android.runtime/lib64/libjavacore.so
0.18%     /data/local/tmp/TemporaryFile-c01Z7P
0.16%     /system/lib64/libgui.so
0.14%     /data/local/tmp/TemporaryFile-Xot3nR
0.14%     /data/local/tmp/TemporaryFile-r3jRr7
0.14%     /system/lib64/android.hardware.media.c2@1.0.so
0.12%     /system/lib64/libmedia_jni.so
0.11%     /apex/com.android.runtime/lib64/libdexfile.so
0.11%     /data/local/tmp/TemporaryFile-I0Ctll
0.08%     /data/local/tmp/TemporaryFile-8mMkPs
0.08%     /data/local/tmp/TemporaryFile-mF7xpU
0.07%     /system/lib64/libui.so
0.07%     /system/lib64/libbase.so
0.07%     /data/local/tmp/TemporaryFile-yQ9Vmi
0.06%     /data/local/tmp/TemporaryFile-2KLNyO
0.06%     unknown
0.06%     /apex/com.android.runtime/lib64/bionic/libdl.so
0.06%     /apex/com.android.conscrypt/lib64/libssl.so
0.06%     /apex/com.android.runtime/lib64/libopenjdk.so
0.05%     /data/local/tmp/TemporaryFile-NaKjzx
0.05%     /vendor/lib/modules/wlan.ko
0.05%     /data/local/tmp/TemporaryFile-ITXKXF
0.05%     /system/lib64/libcodec2_client.so
0.05%     /vendor/lib64/libgsl.so
0.05%     /data/local/tmp/TemporaryFile-Y8YaWq
0.04%     /data/local/tmp/TemporaryFile-w6fsNP
0.04%     /system/lib64/libEGL.so
0.04%     /data/local/tmp/TemporaryFile-r66wly
0.04%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.04%     /data/local/tmp/TemporaryFile-htg8Lj
0.04%     /data/local/tmp/TemporaryFile-yopbiM
0.04%     /vendor/lib64/egl/libEGL_adreno.so
0.03%     /data/local/tmp/TemporaryFile-gjXl9R
0.03%     /apex/com.android.runtime/lib64/libvixl.so
0.03%     /data/local/tmp/TemporaryFile-ogHBVv
0.03%     /data/local/tmp/TemporaryFile-8s4kFs
0.03%     /data/local/tmp/TemporaryFile-AsOvBE
