Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 180 --call-graph fp --app tv.twitch.android.app
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 63226
Event count: 38376088219

Overhead  Shared Object
23.19%    [kernel.kallsyms]
19.69%    /apex/com.android.runtime/lib64/libart.so
14.25%    /apex/com.android.runtime/lib64/bionic/libc.so
8.45%     /system/lib64/libhwui.so
7.78%     /system/framework/arm64/boot-core-libart.oat
7.14%     /system/framework/arm64/boot.oat
2.94%     /vendor/lib64/egl/libGLESv2_adreno.so
2.16%     /data/app/tv.twitch.android.app-J5v2HBMCqOECPogfADxVVA==/split_config.arm64_v8a.apk
1.59%     /data/local/tmp/TemporaryFile-u5gMYL
1.33%     /system/framework/arm64/boot-framework.oat
1.13%     /apex/com.android.runtime/lib64/libicuuc.so
0.73%     /system/lib64/libutils.so
0.67%     /system/lib64/libsfplugin_ccodec.so
0.62%     /data/local/tmp/TemporaryFile-YkNzIA
0.60%     /system/lib64/libmeminfo.so
0.55%     /system/lib64/libstagefright.so
0.54%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.52%     /system/lib64/libstagefright_foundation.so
0.40%     /system/lib64/libc++.so
0.36%     /system/lib64/libandroid_runtime.so
0.34%     /apex/com.android.runtime/lib64/libprofile.so
0.33%     /system/lib64/libhidlbase.so
0.28%     /system/lib64/libcodec2_vndk.so
0.25%     /apex/com.android.runtime/lib64/libart-compiler.so
0.25%     /system/lib64/libcodec2_hidl_client@1.0.so
0.23%     /apex/com.android.runtime/lib64/libjavacore.so
0.19%     /system/lib64/libstagefright_bufferpool@2.0.1.so
0.19%     /data/local/tmp/TemporaryFile-mlj5Wo
0.18%     /data/local/tmp/TemporaryFile-tiH8BR
0.17%     /data/local/tmp/TemporaryFile-pUaouP
0.17%     /system/lib64/libbinder.so
0.16%     /apex/com.android.runtime/lib64/libdexfile.so
0.15%     /system/lib64/android.hardware.media.c2@1.0.so
0.14%     /system/lib64/libgui.so
0.13%     /system/lib64/libmedia_jni.so
0.12%     /data/local/tmp/TemporaryFile-1RKUnV
0.12%     /data/local/tmp/TemporaryFile-UFUoov
0.12%     /apex/com.android.runtime/lib64/libartbase.so
0.12%     /data/local/tmp/TemporaryFile-ENmz6z
0.11%     /data/local/tmp/TemporaryFile-u3BlcF
0.10%     unknown
0.10%     /data/local/tmp/TemporaryFile-N7xmI6
0.08%     /data/local/tmp/TemporaryFile-tWGoAy
0.08%     /system/lib64/libbase.so
0.07%     /system/lib64/libui.so
0.06%     /system/lib64/libcodec2_client.so
0.06%     /apex/com.android.runtime/lib64/bionic/libdl.so
0.05%     /vendor/lib64/libgsl.so
0.05%     /data/local/tmp/TemporaryFile-zEc4EP
0.05%     /apex/com.android.conscrypt/lib64/libssl.so
0.05%     /apex/com.android.runtime/lib64/libopenjdk.so
0.05%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.05%     /data/local/tmp/TemporaryFile-8nl3RU
0.04%     /data/local/tmp/TemporaryFile-UwBVRh
0.04%     /system/lib64/libmedia_omx.so
0.04%     /apex/com.android.runtime/lib64/libnativehelper.so
0.03%     /vendor/lib64/egl/libEGL_adreno.so
0.03%     /data/local/tmp/TemporaryFile-1SpdUA
0.03%     /data/local/tmp/TemporaryFile-GRaThz
0.03%     /system/lib64/libcutils.so
0.03%     /data/local/tmp/TemporaryFile-0hKtIK
0.03%     /system/lib64/libEGL.so
0.03%     /vendor/lib64/libgrallocutils.so
0.03%     /data/local/tmp/TemporaryFile-ov1bIa
0.02%     /vendor/lib/modules/wlan.ko
0.02%     /system/lib64/libaudioclient.so
0.02%     /data/local/tmp/TemporaryFile-SK0Ysq
0.02%     /vendor/lib64/libgralloccore.so
0.02%     /apex/com.android.runtime/lib64/libandroidio.so
0.02%     /apex/com.android.conscrypt/lib64/libjavacrypto.so
0.02%     /apex/com.android.runtime/lib64/libartpalette.so
0.02%     /system/lib64/libbinderthreadstate.so
0.02%     /data/local/tmp/TemporaryFile-YTfHNk
0.02%     /system/lib64/libGLESv2.so
0.02%     /system/lib64/android.hardware.graphics.bufferqueue@2.0.so
0.01%     /apex/com.android.runtime/lib64/libvixl.so
0.01%     /system/lib64/android.hardware.graphics.mapper@3.0.so
0.01%     /system/lib64/libartpalette-system.so
0.01%     /system/lib64/libGLESv1_CM.so
0.01%     /data/local/tmp/TemporaryFile-ETWbn2
0.01%     /data/local/tmp/TemporaryFile-BSO8G6
0.01%     /data/local/tmp/TemporaryFile-qf0CCm
0.01%     /data/app/tv.twitch.android.app-J5v2HBMCqOECPogfADxVVA==/oat/arm64/base.odex
0.01%     /data/local/tmp/TemporaryFile-6WzRLr
0.01%     /data/local/tmp/TemporaryFile-3jLLIC
0.01%     /system/lib64/vndk-sp-29/libcutils.so
0.01%     /data/local/tmp/TemporaryFile-yzvQ0v
0.01%     /data/local/tmp/TemporaryFile-SrAut2
0.01%     /data/local/tmp/TemporaryFile-LyuV0z
0.01%     /data/local/tmp/TemporaryFile-mW1vcz
0.01%     /data/local/tmp/TemporaryFile-VYOIxr
0.00%     /system/lib64/libandroid.so
0.00%     /vendor/lib64/libqdMetaData.so
0.00%     /data/local/tmp/TemporaryFile-lkZEOA
0.00%     /data/local/tmp/TemporaryFile-u783H3
0.00%     /system/lib64/libsync.so
0.00%     /system/lib64/libinput.so
0.00%     /system/lib64/vndk-sp-29/libc++.so
0.00%     /apex/com.android.conscrypt/lib64/libc++.so
0.00%     /system/lib64/libion.so
0.00%     /data/local/tmp/TemporaryFile-dkJnya
0.00%     /vendor/lib64/libadreno_utils.so
0.00%     /vendor/lib64/hw/android.hardware.graphics.mapper@3.0-impl-qti-display.so
0.00%     /data/local/tmp/TemporaryFile-G1bofq
0.00%     /vendor/lib64/hw/gralloc.sm6150.so
0.00%     /data/local/tmp/TemporaryFile-1eXFhI
0.00%     /apex/com.android.runtime/bin/linker64
0.00%     /apex/com.android.runtime/lib64/libopenjdkjvm.so
0.00%     /data/local/tmp/TemporaryFile-r01mHE
0.00%     /system/lib64/libandroidfw.so
0.00%     /data/local/tmp/TemporaryFile-DmStX6
0.00%     /product/app/webview/webview.apk
