Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 180 --call-graph fp --app tv.twitch.android.app
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 74814
Event count: 42401758645

Overhead  Shared Object
25.59%    [kernel.kallsyms]
18.98%    /apex/com.android.runtime/lib64/libart.so
12.64%    /system/lib64/libhwui.so
12.21%    /apex/com.android.runtime/lib64/bionic/libc.so
6.05%     /system/framework/arm64/boot-core-libart.oat
5.38%     /system/framework/arm64/boot.oat
4.55%     /vendor/lib64/egl/libGLESv2_adreno.so
1.92%     /data/app/tv.twitch.android.app-0BMunI2woR2CQG3mQdumhg==/split_config.arm64_v8a.apk
0.97%     /apex/com.android.runtime/lib64/libicuuc.so
0.91%     /apex/com.android.runtime/lib64/libart-compiler.so
0.85%     /system/lib64/libutils.so
0.80%     /data/local/tmp/TemporaryFile-sTYpMT
0.72%     /system/framework/arm64/boot-framework.oat
0.50%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.50%     /system/lib64/libsfplugin_ccodec.so
0.46%     /apex/com.android.runtime/lib64/libprofile.so
0.46%     /system/lib64/libmeminfo.so
0.42%     /apex/com.android.runtime/lib64/libartbase.so
0.39%     /system/lib64/libstagefright_foundation.so
0.39%     /data/local/tmp/TemporaryFile-uomX4O
0.35%     /system/lib64/libstagefright.so
0.34%     /data/local/tmp/TemporaryFile-17Mz7d
0.26%     /system/lib64/libhidlbase.so
0.25%     /system/lib64/libandroid_runtime.so
0.25%     /system/lib64/libc++.so
0.25%     /system/lib64/libcodec2_vndk.so
0.22%     /system/lib64/libcodec2_hidl_client@1.0.so
0.18%     /system/lib64/libbinder.so
0.15%     /system/lib64/libstagefright_bufferpool@2.0.1.so
0.15%     /system/lib64/libgui.so
0.15%     /apex/com.android.runtime/lib64/libjavacore.so
0.14%     /system/lib64/android.hardware.media.c2@1.0.so
0.12%     /data/local/tmp/TemporaryFile-BltVkL
0.10%     /data/local/tmp/TemporaryFile-5ikmel
0.09%     /system/lib64/libmedia_jni.so
0.09%     /data/local/tmp/TemporaryFile-uoZ6Jv
0.08%     unknown
0.07%     /apex/com.android.runtime/lib64/libdexfile.so
