Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 180 --call-graph fp --app tv.twitch.android.app
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 76606
Event count: 43672608728

Overhead  Shared Object
24.89%    [kernel.kallsyms]
18.60%    /apex/com.android.runtime/lib64/libart.so
13.32%    /apex/com.android.runtime/lib64/bionic/libc.so
12.44%    /system/lib64/libhwui.so
6.76%     /system/framework/arm64/boot-core-libart.oat
5.80%     /system/framework/arm64/boot.oat
4.43%     /vendor/lib64/egl/libGLESv2_adreno.so
1.83%     /data/app/tv.twitch.android.app-0BMunI2woR2CQG3mQdumhg==/split_config.arm64_v8a.apk
1.25%     /data/local/tmp/TemporaryFile-lgC2Rl
1.03%     /apex/com.android.runtime/lib64/libicuuc.so
0.97%     /system/framework/arm64/boot-framework.oat
0.83%     /system/lib64/libutils.so
0.58%     /system/lib64/libmeminfo.so
0.48%     /system/lib64/libsfplugin_ccodec.so
0.47%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.39%     /system/lib64/libstagefright_foundation.so
0.38%     /data/local/tmp/TemporaryFile-0KUIvr
0.35%     /system/lib64/libstagefright.so
0.32%     /system/lib64/libandroid_runtime.so
0.31%     /apex/com.android.runtime/lib64/libprofile.so
0.27%     /system/lib64/libhidlbase.so
0.27%     /system/lib64/libc++.so
0.26%     /system/lib64/libcodec2_vndk.so
0.25%     /data/local/tmp/TemporaryFile-rXh9Za
0.22%     /data/local/tmp/TemporaryFile-WlIXiG
0.21%     /system/lib64/libcodec2_hidl_client@1.0.so
0.18%     /data/local/tmp/TemporaryFile-zvj0mU
0.16%     /apex/com.android.runtime/lib64/libdexfile.so
0.16%     /data/local/tmp/TemporaryFile-K3aEUT
0.16%     /system/lib64/libstagefright_bufferpool@2.0.1.so
0.15%     /system/lib64/libbinder.so
0.15%     /apex/com.android.runtime/lib64/libartbase.so
0.13%     /system/lib64/android.hardware.media.c2@1.0.so
0.13%     /apex/com.android.runtime/lib64/libart-compiler.so
0.11%     /data/local/tmp/TemporaryFile-M2DLlD
0.10%     /system/lib64/libgui.so
0.10%     /apex/com.android.runtime/lib64/libjavacore.so
0.09%     /system/lib64/libmedia_jni.so
0.08%     unknown
0.07%     /vendor/lib64/libgsl.so
0.07%     /apex/com.android.conscrypt/lib64/libssl.so
0.07%     /data/local/tmp/TemporaryFile-raRZwp
0.07%     /system/lib64/libui.so
0.06%     /data/local/tmp/TemporaryFile-zPaPRb
0.06%     /data/local/tmp/TemporaryFile-mgXdaY
0.05%     /system/lib64/libbase.so
0.05%     /apex/com.android.runtime/lib64/bionic/libdl.so
0.04%     /data/local/tmp/TemporaryFile-wfPKoN
0.04%     /apex/com.android.runtime/lib64/libopenjdk.so
0.04%     /data/local/tmp/TemporaryFile-ROftIG
0.04%     /system/lib64/libmedia_omx.so
0.04%     /system/lib64/libEGL.so
0.04%     /vendor/lib64/egl/libEGL_adreno.so
0.04%     /data/local/tmp/TemporaryFile-hmuctg
0.04%     /system/lib64/libcodec2_client.so
0.03%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.03%     /data/local/tmp/TemporaryFile-V1m81X
0.03%     /data/local/tmp/TemporaryFile-58d8hJ
0.03%     /data/local/tmp/TemporaryFile-DyvzzV
0.03%     /data/local/tmp/TemporaryFile-JkjY0b
0.03%     /data/local/tmp/TemporaryFile-LRHny2
0.02%     /apex/com.android.conscrypt/lib64/libjavacrypto.so
0.02%     /system/lib64/libbinderthreadstate.so
0.02%     /apex/com.android.runtime/lib64/libnativehelper.so
0.02%     /apex/com.android.runtime/lib64/libandroidio.so
0.02%     /data/local/tmp/TemporaryFile-sKp690
0.02%     /data/local/tmp/TemporaryFile-Qsd65o
0.02%     /system/lib64/libGLESv2.so
0.02%     /system/lib64/libGLESv1_CM.so
0.02%     /data/local/tmp/TemporaryFile-W7Jg84
0.02%     /system/lib64/libcutils.so
0.02%     /vendor/lib/modules/wlan.ko
0.01%     /vendor/lib64/libgralloccore.so
0.01%     /apex/com.android.runtime/lib64/libvixl.so
0.01%     /system/lib64/libaudioclient.so
0.01%     /system/lib64/android.hardware.graphics.bufferqueue@2.0.so
0.01%     /data/local/tmp/TemporaryFile-6FUnL8
0.01%     /data/local/tmp/TemporaryFile-ByCPRg
0.01%     /data/local/tmp/TemporaryFile-XDb9Lb
0.01%     /vendor/lib64/libgrallocutils.so
0.01%     /system/lib64/libandroidfw.so
0.01%     /data/local/tmp/TemporaryFile-6U9r7P
0.01%     /system/lib64/android.hardware.graphics.mapper@3.0.so
0.01%     /system/lib64/vndk-sp-29/libcutils.so
0.01%     /data/local/tmp/TemporaryFile-pQTuTY
0.01%     /system/lib64/libminikin.so
0.01%     /apex/com.android.runtime/bin/linker64
0.01%     /apex/com.android.conscrypt/lib64/libc++.so
0.00%     /system/lib64/libartpalette-system.so
0.00%     /vendor/lib64/hw/gralloc.msmnile.so
0.00%     /system/lib64/libandroid.so
0.00%     /data/local/tmp/TemporaryFile-cfjtCj
0.00%     /system/lib64/libinput.so
0.00%     /data/local/tmp/TemporaryFile-3jRmAX
0.00%     /system/lib64/libion.so
0.00%     /data/local/tmp/TemporaryFile-IAjuXL
0.00%     /vendor/lib64/hw/android.hardware.graphics.mapper@3.0-impl-qti-display.so
0.00%     /vendor/lib64/libadreno_utils.so
0.00%     /vendor/lib64/libqdMetaData.so
0.00%     /data/app/tv.twitch.android.app-0BMunI2woR2CQG3mQdumhg==/oat/arm64/base.odex
0.00%     /data/local/tmp/TemporaryFile-TYtBF5
0.00%     /data/local/tmp/TemporaryFile-gM6ZiE
0.00%     /data/local/tmp/TemporaryFile-pLssRv
0.00%     /system/lib64/android.hardware.media.bufferpool@2.0.so
0.00%     /apex/com.android.runtime/lib64/libopenjdkjvm.so
0.00%     /apex/com.android.runtime/lib64/libartpalette.so
0.00%     /product/app/webview/webview.apk
0.00%     /system/lib64/vndk-sp-29/libc++.so
0.00%     /apex/com.android.runtime/lib64/libicui18n.so
0.00%     /data/local/tmp/TemporaryFile-wH014s
0.00%     /data/local/tmp/TemporaryFile-JYa8TK
0.00%     /data/local/tmp/TemporaryFile-TCnwo4
0.00%     /data/local/tmp/TemporaryFile-w0aps6
