Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 90 --call-graph fp --app com.gorgeous.liteinternational
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 70985
Event count: 143029223645

Overhead  Symbol
1.29%     split_config.arm64_v8a.apk[+d2870c]
0.90%     split_config.arm64_v8a.apk[+e65ebc]
0.74%     split_config.arm64_v8a.apk[+8bbbcc]
0.68%     split_config.arm64_v8a.apk[+e65ecc]
0.66%     split_config.arm64_v8a.apk[+e65ec0]
0.63%     split_config.arm64_v8a.apk[+d28710]
0.57%     split_config.arm64_v8a.apk[+d286f4]
0.43%     split_config.arm64_v8a.apk[+e65ed4]
0.43%     split_config.arm64_v8a.apk[+df3c4]
0.39%     split_config.arm64_v8a.apk[+df3c0]
0.38%     split_config.arm64_v8a.apk[+e6ab18]
0.32%     split_config.arm64_v8a.apk[+d286f8]
0.32%     split_config.arm64_v8a.apk[+e6b5c4]
0.31%     split_config.arm64_v8a.apk[+e6ab44]
0.30%     split_config.arm64_v8a.apk[+e6ab1c]
0.28%     split_config.arm64_v8a.apk[+e6ab40]
0.28%     split_config.arm64_v8a.apk[+e65d9c]
0.26%     split_config.arm64_v8a.apk[+e6ab20]
0.26%     split_config.arm64_v8a.apk[+e65dcc]
0.26%     split_config.arm64_v8a.apk[+e66220]
0.25%     split_config.arm64_v8a.apk[+ae7f04]
0.24%     split_config.arm64_v8a.apk[+e66224]
0.24%     split_config.arm64_v8a.apk[+e6ab3c]
0.24%     split_config.arm64_v8a.apk[+e66218]
0.22%     split_config.arm64_v8a.apk[+e661d4]
0.22%     split_config.arm64_v8a.apk[+e6ab38]
0.22%     split_config.arm64_v8a.apk[+8bbbd4]
0.22%     split_config.arm64_v8a.apk[+e6ab24]
0.22%     split_config.arm64_v8a.apk[+ae7f00]
0.21%     split_config.arm64_v8a.apk[+3937a0]
0.21%     split_config.arm64_v8a.apk[+e6b5bc]
0.21%     split_config.arm64_v8a.apk[+e6b204]
0.20%     split_config.arm64_v8a.apk[+e6b200]
0.20%     split_config.arm64_v8a.apk[+e6b1e0]
0.20%     split_config.arm64_v8a.apk[+e6ab30]
0.20%     split_config.arm64_v8a.apk[+ae7eb4]
0.19%     split_config.arm64_v8a.apk[+e6b1d8]
0.19%     split_config.arm64_v8a.apk[+e661dc]
0.19%     split_config.arm64_v8a.apk[+e66214]
0.19%     split_config.arm64_v8a.apk[+e6aadc]
0.19%     split_config.arm64_v8a.apk[+df3cc]
0.18%     split_config.arm64_v8a.apk[+e6b474]
0.18%     split_config.arm64_v8a.apk[+e661f4]
0.18%     split_config.arm64_v8a.apk[+e6b1f4]
0.18%     split_config.arm64_v8a.apk[+e6a66c]
0.18%     split_config.arm64_v8a.apk[+e6a680]
0.18%     split_config.arm64_v8a.apk[+e6b1d0]
0.18%     split_config.arm64_v8a.apk[+e6b1fc]
0.17%     split_config.arm64_v8a.apk[+ae7ef4]
0.17%     split_config.arm64_v8a.apk[+e6aad8]
0.17%     split_config.arm64_v8a.apk[+e661fc]
0.17%     split_config.arm64_v8a.apk[+e6aad0]
0.16%     split_config.arm64_v8a.apk[+e6b1f8]
0.16%     split_config.arm64_v8a.apk[+ae7eb8]
0.16%     split_config.arm64_v8a.apk[+8bbbb4]
0.16%     split_config.arm64_v8a.apk[+e661ec]
0.16%     split_config.arm64_v8a.apk[+e6a640]
0.16%     split_config.arm64_v8a.apk[+e661f8]
0.16%     split_config.arm64_v8a.apk[+ae7ecc]
0.16%     split_config.arm64_v8a.apk[+e6621c]
0.16%     split_config.arm64_v8a.apk[+e661d8]
0.16%     split_config.arm64_v8a.apk[+e6b5a0]
0.15%     split_config.arm64_v8a.apk[+ae7efc]
0.15%     split_config.arm64_v8a.apk[+cee3ac]
0.15%     split_config.arm64_v8a.apk[+e6b1e8]
