Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 90 --call-graph fp --app com.gorgeous.liteinternational
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 12218
Event count: 11599146416

Overhead  Symbol
24.94%    __schedule
3.54%     buffered_rmqueue
3.21%     clear_page
3.05%     el0_da
2.81%     __pi___dma_flush_area
2.74%     handle_pte_fault
2.67%     __pi___clean_dcache_area_poc
2.50%     el0_svc_naked
1.96%     find_get_pages_range_tag.cfi
1.90%     adreno_ringbuffer_submit.cfi
1.85%     try_to_wake_up
1.63%     eventfd_write.cfi
1.54%     arch_counter_get_cntvct.cfi
1.54%     mem_cgroup_commit_charge.cfi
1.42%     __seccomp_filter
1.38%     do_page_fault.cfi
1.14%     __run_timers
1.11%     free_hot_cold_page.cfi
1.09%     release_pages.cfi
1.08%     __wake_up_sync.cfi
1.04%     pagevec_lru_move_fn
0.95%     try_charge
0.87%     page_remove_rmap.cfi
0.80%     __alloc_pages_nodemask.cfi
0.74%     handle_mm_fault.cfi
0.73%     get_mem_cgroup_from_mm
0.72%     f2fs_fsync_node_pages.cfi
0.60%     zap_pte_range
0.58%     syscall_trace_enter.cfi
0.57%     mark_page_accessed.cfi
0.56%     __softirqentry_text_start
0.55%     __arch_copy_to_user
0.52%     scsi_request_fn.cfi
0.50%     get_page_from_freelist
0.50%     alloc_set_pte.cfi
0.50%     arm_smmu_map_sg.cfi
0.44%     mem_cgroup_try_charge.cfi
0.43%     ufs_qcom_pm_qos_req_start.cfi
0.43%     mm_event_end.cfi
0.37%     __d_lookup_rcu.cfi
0.35%     kgsl_sharedmem_page_alloc_user.cfi
0.34%     sg_alloc_table_from_pages.cfi
0.33%     $x.383
0.32%     __pi_strcmp
0.30%     kmem_cache_alloc.cfi
0.30%     persistent_ram_write_user.cfi
0.29%     ufshcd_queuecommand.cfi
0.29%     file_update_time.cfi
0.28%     __check_object_size.cfi
0.27%     memset
0.26%     avc_lookup
0.26%     hrtimer_start_range_ns.cfi
0.25%     _gpu_set_svm_region
0.25%     __wake_up.cfi
0.25%     radix_tree_next_chunk.cfi
0.24%     finish_task_switch
0.23%     ufs_qcom_ice_req_setup.cfi
0.23%     do_mem_abort.cfi
0.22%     syscall_trace_exit.cfi
0.22%     binder_transaction
0.22%     unmap_page_range.cfi
0.21%     link_path_walk
0.20%     __cpuset_node_allowed.cfi
0.18%     selinux_inode_permission.cfi
0.18%     arch_counter_read.cfi
0.18%     rcu_process_callbacks.cfi
0.17%     binder_thread_read
0.17%     __sys_trace
0.16%     find_get_entry.cfi
0.16%     futex_wake
0.16%     vmacache_find.cfi
0.15%     lru_cache_add_active_or_unevictable.cfi
0.15%     __lru_cache_add
0.15%     __alloc_fd.cfi
0.15%     adreno_get_submit_time
0.15%     generic_permission.cfi
0.15%     record_stat
0.15%     fput.cfi
0.14%     walk_component
0.14%     lookup_fast
0.14%     __arch_copy_from_user
0.14%     symcmp.cfi
0.13%     __call_rcu
0.13%     __get_request
0.13%     _adreno_dispatcher_issuecmds
0.13%     alloc_vmap_area
0.13%     do_translation_fault.cfi
0.13%     kmem_cache_alloc_trace.cfi
0.13%     __add_to_page_cache_locked
0.13%     __kmalloc.cfi
0.12%     sys_sched_yield.cfi
0.12%     __wake_up_sync_key.cfi
0.12%     page_add_new_anon_rmap.cfi
0.12%     uncharge_list
0.12%     hashtab_search.cfi
0.12%     note_gp_changes
0.12%     selinux_file_ioctl.cfi
0.12%     kfree.cfi
0.11%     kgsl_add_fence_event.cfi
0.11%     kgsl_mem_entry_attach_process
0.11%     __do_fault
0.11%     dput.cfi
0.11%     ufshcd_hold.cfi
0.11%     adreno_ringbuffer_addcmds
0.10%     kmem_cache_free.cfi
0.10%     f2fs_is_valid_blkaddr.cfi
0.10%     unlock_page.cfi
0.10%     mutex_spin_on_owner
0.10%     kgsl_pool_alloc_page.cfi
0.10%     fsnotify.cfi
0.10%     __pi___inval_cache_range
0.09%     proc_time_in_state_show.cfi
0.09%     do_munmap.cfi
0.09%     context_struct_to_string
0.09%     rwsem_spin_on_owner
0.09%     binder_dec_node_tmpref
0.09%     __inode_permission2.cfi
0.09%     free_pcp_prepare
0.08%     __fsnotify_parent.cfi
0.08%     adreno_readtimestamp.cfi
0.08%     mmap_region.cfi
0.08%     set_page_dirty.cfi
0.08%     rebalance_domains
0.08%     __pi_memcmp
0.08%     adreno_dispatcher_queue_cmds.cfi
0.08%     do_mem_abort
0.08%     selinux_file_permission.cfi
0.08%     do_translation_fault
0.08%     anon_inode_getfile.cfi
0.08%     vm_normal_page.cfi
0.08%     _update_wptr.47362
0.07%     free_hot_cold_page_list.cfi
0.07%     __mnt_want_write.cfi
0.07%     binder_thread_write
0.07%     fpsimd_load_state
0.07%     memcpy
0.07%     sys_epoll_wait
0.07%     __legitimize_mnt.cfi
