Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 14218
Event count: 2289528109

Overhead  Symbol
15.46%    try_to_wake_up
12.81%    __wake_up_sync.cfi
3.56%     binder_transaction
3.07%     el0_svc_naked
2.44%     __wake_up.cfi
1.88%     __run_timers
1.86%     change_protection_range
1.84%     binder_alloc_do_buffer_copy
1.77%     binder_thread_read
1.75%     __seccomp_filter
1.69%     set_user_nice.cfi
1.60%     binder_thread_write
1.50%     __softirqentry_text_start
1.48%     hrtimer_start_range_ns.cfi
1.45%     futex_wake
1.44%     __check_object_size.cfi
1.36%     __schedule
1.26%     memcpy
0.92%     binder_proc_transaction
0.91%     sys_epoll_wait
0.89%     avc_lookup
0.84%     binder_dec_node_tmpref
0.83%     syscall_trace_enter.cfi
0.82%     buffered_rmqueue
0.76%     el0_da
0.76%     $x.383
0.76%     kfree.cfi
0.75%     futex_wait_queue_me
0.72%     futex_wait_setup
0.71%     binder_proc_dec_tmpref
0.69%     __arch_copy_from_user
0.65%     binder_transaction_buffer_release
0.56%     binder_get_thread
0.54%     syscall_trace_exit.cfi
0.52%     selinux_file_ioctl
0.50%     memset
0.49%     clear_page
0.49%     binder_alloc_prepare_to_free.cfi
0.49%     __arch_copy_to_user
0.47%     binder_dec_node_nilocked
0.46%     binder_ioctl_write_read
0.45%     selinux_file_ioctl.cfi
0.42%     handle_pte_fault
0.42%     kmem_cache_alloc_trace.cfi
0.42%     binder_alloc_new_buf.cfi
0.41%     finish_task_switch
0.41%     do_futex.cfi
0.41%     binder_insert_free_buffer
0.39%     __sys_trace
0.36%     __call_rcu
0.36%     __fget_light
0.35%     binder_alloc_copy_user_to_buffer.cfi
0.35%     binder_ioctl.cfi
0.34%     fput.cfi
0.33%     do_notify_resume.cfi
0.33%     fpsimd_load_state
0.33%     free_hot_cold_page.cfi
0.28%     eventfd_write.cfi
0.28%     get_mem_cgroup_from_mm
0.28%     do_page_fault.cfi
0.28%     prepare_to_wait.cfi
