Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 3600
Event count: 1113889669

Overhead  Symbol
3.26%     art::ProfileSaver::FetchAndCacheResolvedClassesAndMethods(bool)
3.04%     void art::gc::collector::ConcurrentCopying::MarkRoot<false>(art::Thread*, art::mirror::CompressedReference<art::mirror::Object>*)
2.85%     art::Thread::DecodeJObject(_jobject*) const
2.70%     art_quick_invoke_stub
2.67%     MterpInvokeInterface
2.58%     void art::gc::collector::ConcurrentCopying::Process<true>(art::mirror::Object*, art::MemberOffset)
2.55%     MterpInvokeVirtualQuick
2.19%     void art::mirror::Object::VisitReferences<true, (art::VerifyObjectFlags)0, (art::ReadBarrierOption)1, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true>, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> >(art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> const&, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> const&)
2.02%     art_quick_imt_conflict_trampoline
1.87%     art::(anonymous namespace)::ArgArray::BuildArgArrayFromVarArgs(art::ScopedObjectAccessAlreadyRunnable const&, art::ObjPtr<art::mirror::Object>, std::__va_list)
1.85%     bool art::interpreter::DoCall<false, false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, art::JValue*)
1.79%     art::JValue art::InvokeVirtualOrInterfaceWithVarArgs<art::ArtMethod*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, art::ArtMethod*, std::__va_list)
1.76%     @plt
1.67%     art::CodeInfo::DecodeInlineInfoOnly(art::OatQuickMethodHeader const*)
1.53%     art::IndirectReferenceTable::Add(art::IRTSegmentState, art::ObjPtr<art::mirror::Object>, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
1.46%     art::GoToRunnable(art::Thread*)
1.23%     art::ArtMethod::Invoke(art::Thread*, unsigned int*, unsigned int, art::JValue*, char const*)
1.16%     artQuickToInterpreterBridge
1.05%     art::CodeInfo::GetStackMapForNativePcOffset(unsigned int, art::InstructionSet) const
1.04%     artAllocStringFromCharsFromCodeRegionTLAB
1.03%     art::JNI<false>::GetLongField(_JNIEnv*, _jobject*, _jfieldID*)
1.02%     art::jit::Jit::InvokeVirtualOrInterface(art::ObjPtr<art::mirror::Object>, art::ArtMethod*, unsigned int, art::ArtMethod*)
1.01%     art_quick_lock_object
1.01%     art::jit::JitCodeCache::GetProfiledMethods(std::__1::set<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::less<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > > const&, std::__1::vector<art::ProfileMethodInfo, std::__1::allocator<art::ProfileMethodInfo> >&)
0.99%     art_quick_unlock_object
0.94%     art::Mutex::ExclusiveUnlock(art::Thread*)
0.85%     art::mirror::Class::FindVirtualMethodForVirtualOrInterface(art::ArtMethod*, art::PointerSize)
0.82%     art::interpreter::ArtInterpreterToCompiledCodeBridge(art::Thread*, art::ArtMethod*, art::ShadowFrame*, unsigned short, art::JValue*)
0.80%     void art::Monitor::Lock<(art::LockReason)1>(art::Thread*)
0.79%     art::gc::ReferenceProcessor::GetReferent(art::Thread*, art::ObjPtr<art::mirror::Reference>)
0.78%     MterpInvokeDirect
0.75%     art::Reference_getReferent(_JNIEnv*, _jobject*)
0.72%     art::ClassLinker::ShouldUseInterpreterEntrypoint(art::ArtMethod*, void const*)
0.70%     art_quick_to_interpreter_bridge
0.70%     MterpInvokeStatic
0.70%     art::gc::collector::ConcurrentCopying::Copy(art::Thread*, art::mirror::Object*, art::mirror::Object*, art::MemberOffset)
0.69%     art::Monitor::TryLock(art::Thread*, bool)
0.69%     art::JNI<false>::DeleteLocalRef(_JNIEnv*, _jobject*)
0.67%     art::JNI<false>::CallVoidMethodV(_JNIEnv*, _jobject*, _jmethodID*, std::__va_list)
0.67%     art::Mutex::ExclusiveTryLockWithSpinning(art::Thread*)
0.67%     art_quick_indexof
0.66%     art::ProfilingInfo::GetInlineCache(unsigned int)
0.65%     art::JNI<false>::GetByteArrayRegion(_JNIEnv*, _jbyteArray*, int, int, signed char*)
0.64%     art::gc::Heap::IsNonDiscontinuousSpaceHeapAddress(void const*) const
0.63%     art::jit::Jit::MethodEntered(art::Thread*, art::ArtMethod*)
0.61%     art::JniMethodEnd(unsigned int, art::Thread*)
0.59%     void art::gc::accounting::SpaceBitmap<8ul>::VisitMarkedRange<art::gc::collector::ConcurrentCopying::CopyingPhase()::$_8 const&>(unsigned long, unsigned long, art::gc::collector::ConcurrentCopying::CopyingPhase()::$_8 const&&&) const
0.58%     art::Monitor::MonitorEnter(art::Thread*, art::ObjPtr<art::mirror::Object>, bool)
0.58%     art::Monitor::MonitorExit(art::Thread*, art::ObjPtr<art::mirror::Object>)
0.57%     art::gc::collector::ConcurrentCopying::PushOntoMarkStack(art::Thread*, art::mirror::Object*)
0.56%     art::JNI<false>::FindClass(_JNIEnv*, char const*)
0.55%     adler32_z
0.53%     art::ResolveVerifyAndClinit(art::dex::TypeIndex, art::ArtMethod*, art::Thread*, bool, bool)
0.50%     MterpSetUpHotnessCountdown
0.49%     art::gc::collector::ConcurrentCopying::VisitRoots(art::mirror::CompressedReference<art::mirror::Object>**, unsigned long, art::RootInfo const&)
0.48%     art_quick_alloc_object_resolved_region_tlab
0.48%     art::ArtMethod* art::ClassLinker::ResolveMethod<(art::ClassLinker::ResolveMode)0>(art::Thread*, unsigned int, art::ArtMethod*, art::InvokeType)
0.46%     art::QuickArgumentVisitor::VisitArguments()
0.45%     MterpCheckCast
0.45%     art::jit::Jit::MaybeCompileMethod(art::Thread*, art::ArtMethod*, unsigned int, unsigned int, bool)
0.44%     art::interpreter::Execute(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame&, art::JValue, bool, bool) (.llvm.6432830707213048161)
0.44%     art::ObjPtr<art::mirror::PrimitiveArray<signed char> > art::JNI<false>::DecodeAndCheckArrayType<_jbyteArray*, signed char, art::mirror::PrimitiveArray<signed char> >(art::ScopedObjectAccess&, _jbyteArray*, char const*, char const*)
0.43%     art::GenericJniMethodEnd(art::Thread*, unsigned int, jvalue, unsigned long, art::ArtMethod*)
0.42%     artQuickGenericJniTrampoline
0.42%     art::GetCalleeSaveMethodCaller(art::ArtMethod**, art::CalleeSaveType, bool)
0.42%     art::JNI<false>::GetStringUTFChars(_JNIEnv*, _jstring*, unsigned char*)
0.41%     void art::interpreter::ExecuteSwitchImplCpp<true, false>(art::interpreter::SwitchImplContext*)
0.41%     art::JNI<false>::GetArrayLength(_JNIEnv*, _jarray*)
0.41%     art::JniMethodEndWithReferenceHandleResult(_jobject*, unsigned int, art::Thread*)
0.40%     art::IndirectReferenceTable::GetChecked(void*) const
0.40%     art::ClassTable::Lookup(char const*, unsigned long)
0.40%     art::Mutex::ExclusiveLock(art::Thread*)
0.40%     MterpCommonTakenBranchNoFlags
0.38%     art::Monitor::Unlock(art::Thread*)
0.38%     art::mirror::Class::FindClassMethod(art::ObjPtr<art::mirror::DexCache>, unsigned int, art::PointerSize)
0.37%     art::JniMethodEndWithReference(_jobject*, unsigned int, art::Thread*)
0.37%     MterpNewInstance
0.36%     art::JNI<false>::CallObjectMethodV(_JNIEnv*, _jobject*, _jmethodID*, std::__va_list)
0.34%     art::interpreter::UseFastInterpreterToInterpreterInvoke(art::ArtMethod*)
0.33%     art::gc::space::RegionSpace::PoisonDeadObjectsInUnevacuatedRegion(art::gc::space::RegionSpace::Region*)
0.33%     art::DoGetCalleeSaveMethodCaller(art::ArtMethod*, unsigned long, bool) (.llvm.18434413198648332370)
0.33%     art::JniMethodFastEnd(unsigned int, art::Thread*)
0.33%     art::CodeInfo::DecodeFrameInfo(unsigned char const*)
0.33%     art::ArtMethod::GetOatQuickMethodHeader(unsigned long)
0.32%     art::gc::collector::ConcurrentCopying::ProcessMarkStackRef(art::mirror::Object*)
0.32%     art::JNI<false>::CallLongMethodV(_JNIEnv*, _jobject*, _jmethodID*, std::__va_list)
0.31%     mterp_op_iget_object_quick
0.31%     art::CodeInfo::GetInlineInfosOf(art::StackMap) const
0.29%     art::OatQuickMethodHeader::GetCodeSize() const
0.28%     art::System_arraycopy(_JNIEnv*, _jclass*, _jobject*, int, _jobject*, int, int)
0.27%     art::JniMethodStart(art::Thread*)
0.27%     art_quick_lock_object_no_inline
0.26%     art::String_fastSubstring(_JNIEnv*, _jobject*, int, int)
0.26%     art::JNI<false>::ReleaseStringChars(_JNIEnv*, _jstring*, unsigned short const*)
0.25%     art::jit::JitCodeCache::ContainsPc(void const*) const
0.25%     mterp_op_invoke_static
0.25%     art::ClassLinker::VisitClassRoots(art::RootVisitor*, art::VisitRootFlags)
0.25%     art::JNI<false>::GetStringChars(_JNIEnv*, _jstring*, unsigned char*)
0.24%     mterp_op_const_4
0.24%     art_quick_alloc_object_initialized_region_tlab
0.24%     mterp_op_invoke_virtual_quick
0.24%     art::ReaderWriterMutex::ExclusiveUnlock(art::Thread*)
0.23%     art::GetResolvedMethod(art::ArtMethod*, art::CodeInfo const&, art::BitTableRange<art::InlineInfo> const&)
0.23%     art::mirror::Class::FindInterfaceMethod(std::__1::basic_string_view<char, std::__1::char_traits<char> >, art::Signature const&, art::PointerSize)
0.22%     artLockObjectFromCode
0.22%     art::jit::JitCodeCache::SweepRootTables(art::IsMarkedVisitor*)
0.22%     art::Runtime::ProcessWeakClass(art::GcRoot<art::mirror::Class>*, art::IsMarkedVisitor*, art::mirror::Class*)
0.21%     art::JNI<false>::NewObjectV(_JNIEnv*, _jclass*, _jmethodID*, std::__va_list)
0.21%     art::JValue art::InvokeWithVarArgs<art::ArtMethod*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, art::ArtMethod*, std::__va_list)
0.21%     MterpAddHotnessBatch
0.21%     art::CharsetUtils_toUtf8Bytes(_JNIEnv*, _jclass*, _jstring*, int, int)
0.21%     art::RuntimeCallbacks::BeginDefineClass()
0.20%     mterp_op_return_object
0.20%     MterpInvokeSuper
0.20%     art::ConditionVariable::WaitHoldingLocks(art::Thread*)
0.20%     art::IndirectReferenceTable::Remove(art::IRTSegmentState, void*)
0.20%     mterp_op_if_eqz
0.20%     art::JNI<false>::ReleasePrimitiveArray(art::ScopedObjectAccess&, art::ObjPtr<art::mirror::Array>, unsigned long, void*, int)
