Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 4573
Event count: 4669516611

Overhead  Symbol
1.47%     libopusV2JNI.so[+15090]
1.35%     libopusV2JNI.so[+f788]
1.33%     libopusV2JNI.so[+f790]
1.08%     libopusV2JNI.so[+14a80]
1.03%     libopusV2JNI.so[+f7a8]
0.93%     libopusV2JNI.so[+f79c]
0.88%     libopusV2JNI.so[+150b8]
0.86%     libopusV2JNI.so[+15080]
0.77%     libopusV2JNI.so[+14ff0]
0.73%     libopusV2JNI.so[+b8ec]
0.59%     libopusV2JNI.so[+14a94]
0.58%     libopusV2JNI.so[+b8e0]
0.58%     libopusV2JNI.so[+16948]
0.56%     libopusV2JNI.so[+150cc]
0.55%     libopusV2JNI.so[+b0e8]
0.51%     libopusV2JNI.so[+136e8]
0.50%     libopusV2JNI.so[+f3b0]
0.50%     libopusV2JNI.so[+b8f0]
0.48%     libopusV2JNI.so[+13584]
0.47%     libopusV2JNI.so[+16940]
0.45%     libopusV2JNI.so[+11984]
0.43%     libopusV2JNI.so[+145f8]
0.43%     libopusV2JNI.so[+b0e4]
0.42%     libopusV2JNI.so[+1693c]
0.41%     libopusV2JNI.so[+132b4]
0.41%     libopusV2JNI.so[+b0ec]
0.41%     libopusV2JNI.so[+b104]
0.40%     libopusV2JNI.so[+14aa0]
0.40%     libopusV2JNI.so[+15060]
0.39%     libopusV2JNI.so[+15250]
0.39%     libopusV2JNI.so[+145fc]
0.38%     libopusV2JNI.so[+16db0]
0.36%     libopusV2JNI.so[+1458c]
0.36%     libopusV2JNI.so[+b0bc]
0.36%     libopusV2JNI.so[+14a8c]
0.36%     libopusV2JNI.so[+f3b4]
0.35%     libopusV2JNI.so[+f3c8]
0.34%     libopusV2JNI.so[+b8e4]
0.33%     libopusV2JNI.so[+b0fc]
0.31%     libopusV2JNI.so[+f380]
0.31%     libopusV2JNI.so[+145f4]
0.31%     libopusV2JNI.so[+f3c0]
0.31%     libopusV2JNI.so[+169e4]
0.31%     libopusV2JNI.so[+b10c]
0.30%     libopusV2JNI.so[+1695c]
0.30%     libopusV2JNI.so[+12d64]
0.30%     libopusV2JNI.so[+f38c]
0.29%     libopusV2JNI.so[+b0c0]
0.29%     libopusV2JNI.so[+16958]
0.29%     libopusV2JNI.so[+145ac]
0.29%     libopusV2JNI.so[+169e0]
0.28%     libopusV2JNI.so[+b0a8]
0.27%     libopusV2JNI.so[+16908]
0.27%     libopusV2JNI.so[+15210]
0.27%     libopusV2JNI.so[+b0b8]
0.27%     libopusV2JNI.so[+16950]
0.27%     libopusV2JNI.so[+16938]
0.26%     libopusV2JNI.so[+14584]
0.26%     libopusV2JNI.so[+f398]
0.26%     libopusV2JNI.so[+113f8]
0.26%     libopusV2JNI.so[+1197c]
0.25%     libopusV2JNI.so[+b0c4]
0.25%     libopusV2JNI.so[+16954]
0.25%     libopusV2JNI.so[+14fd0]
0.25%     libopusV2JNI.so[+f3bc]
0.25%     libopusV2JNI.so[+16900]
0.25%     libopusV2JNI.so[+f3a4]
0.25%     libopusV2JNI.so[+b0b4]
