Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 2731
Event count: 1300292554

Overhead  Symbol
11.98%    void art::gc::collector::ConcurrentCopying::Process<true>(art::mirror::Object*, art::MemberOffset)
11.70%    void art::gc::collector::ConcurrentCopying::MarkRoot<false>(art::Thread*, art::mirror::CompressedReference<art::mirror::Object>*)
5.90%     void art::mirror::Object::VisitReferences<true, (art::VerifyObjectFlags)0, (art::ReadBarrierOption)1, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true>, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> >(art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> const&, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> const&)
2.35%     art::Mutex::ExclusiveLock(art::Thread*)
2.16%     art::CodeInfo::DecodeInlineInfoOnly(art::OatQuickMethodHeader const*)
1.96%     art::gc::space::RegionSpace::PoisonDeadObjectsInUnevacuatedRegion(art::gc::space::RegionSpace::Region*)
1.87%     art::ProfileSaver::FetchAndCacheResolvedClassesAndMethods(bool)
1.69%     art::CodeInfo::GetStackMapForNativePcOffset(unsigned int, art::InstructionSet) const
1.64%     art::(anonymous namespace)::ArgArray::BuildArgArrayFromVarArgs(art::ScopedObjectAccessAlreadyRunnable const&, art::ObjPtr<art::mirror::Object>, std::__va_list)
1.61%     art::IndirectReferenceTable::Add(art::IRTSegmentState, art::ObjPtr<art::mirror::Object>, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
1.49%     art::JValue art::InvokeVirtualOrInterfaceWithVarArgs<art::ArtMethod*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, art::ArtMethod*, std::__va_list)
1.47%     art::gc::collector::ConcurrentCopying::VisitRoots(art::mirror::CompressedReference<art::mirror::Object>**, unsigned long, art::RootInfo const&)
1.45%     art_quick_imt_conflict_trampoline
1.42%     art::Thread::DecodeJObject(_jobject*) const
1.38%     art::GoToRunnable(art::Thread*)
1.14%     art::gc::collector::ConcurrentCopying::IsMarked(art::mirror::Object*)
1.09%     MterpInvokeInterface
1.08%     art_quick_unlock_object
1.03%     art_quick_read_barrier_mark_introspection
0.92%     art::gc::collector::ConcurrentCopying::ProcessMarkStackRef(art::mirror::Object*)
0.87%     art::ReadBarrier::Mark(art::mirror::Object*)
0.84%     art::jit::JitCodeCache::SweepRootTables(art::IsMarkedVisitor*)
0.80%     art::Mutex::ExclusiveUnlock(art::Thread*)
0.80%     art::JNI<false>::GetLongField(_JNIEnv*, _jobject*, _jfieldID*)
0.79%     art::JNI<false>::CallVoidMethodV(_JNIEnv*, _jobject*, _jmethodID*, std::__va_list)
0.75%     art_quick_invoke_stub
0.74%     void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.71%     art_quick_lock_object
0.71%     art::InternTable::Table::VisitRoots(art::RootVisitor*)
0.71%     @plt
0.69%     art::IndirectReferenceTable::GetChecked(void*) const
0.68%     art::Mutex::ExclusiveTryLockWithSpinning(art::Thread*)
0.68%     art::Runtime::ProcessWeakClass(art::GcRoot<art::mirror::Class>*, art::IsMarkedVisitor*, art::mirror::Class*)
0.66%     art::ArtMethod::Invoke(art::Thread*, unsigned int*, unsigned int, art::JValue*, char const*)
0.65%     art::CodeInfo::DecodeFrameInfo(unsigned char const*)
0.63%     art::ResolveVerifyAndClinit(art::dex::TypeIndex, art::ArtMethod*, art::Thread*, bool, bool)
0.62%     MterpInvokeVirtualQuick
0.57%     art::gc::ReferenceQueue::DisableReadBarrierForReference(art::ObjPtr<art::mirror::Reference>)
0.56%     art::Reference_getReferent(_JNIEnv*, _jobject*)
0.54%     art::gc::collector::ConcurrentCopying::PushOntoMarkStack(art::Thread*, art::mirror::Object*)
0.53%     art::mirror::Class::FindVirtualMethodForVirtualOrInterface(art::ArtMethod*, art::PointerSize)
0.53%     art::StackVisitor::GetDexPc(bool) const
0.52%     art_quick_alloc_object_resolved_region_tlab
0.51%     art::Monitor::MonitorEnter(art::Thread*, art::ObjPtr<art::mirror::Object>, bool)
0.50%     bool art::interpreter::DoCall<false, false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, art::JValue*)
0.47%     art::ClassLinker::VisitClassRoots(art::RootVisitor*, art::VisitRootFlags)
0.47%     MterpInvokeStatic
0.47%     art::OatQuickMethodHeader::GetCodeSize() const
0.47%     art::gc::ReferenceProcessor::GetReferent(art::Thread*, art::ObjPtr<art::mirror::Reference>)
0.46%     art::jit::JitCodeCache::GetProfiledMethods(std::__1::set<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::less<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > > const&, std::__1::vector<art::ProfileMethodInfo, std::__1::allocator<art::ProfileMethodInfo> >&)
0.46%     art::Monitor::CheckLockOwnerRequest(art::Thread*)
