Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 4324
Event count: 4706082684

Overhead  Symbol
1.29%     libopusV2JNI.so[+f790]
1.27%     libopusV2JNI.so[+15090]
1.06%     libopusV2JNI.so[+14a80]
1.01%     libopusV2JNI.so[+f788]
1.00%     libopusV2JNI.so[+f7a8]
0.99%     libopusV2JNI.so[+150b8]
0.91%     libopusV2JNI.so[+14ff0]
0.91%     libopusV2JNI.so[+f79c]
0.81%     libopusV2JNI.so[+15080]
0.77%     libopusV2JNI.so[+b8ec]
0.66%     libopusV2JNI.so[+16940]
0.60%     libopusV2JNI.so[+150cc]
0.55%     libopusV2JNI.so[+b8e0]
0.50%     libopusV2JNI.so[+b8f0]
0.50%     libopusV2JNI.so[+132b4]
0.49%     libopusV2JNI.so[+16948]
0.49%     libopusV2JNI.so[+b0b8]
0.47%     libopusV2JNI.so[+b8e4]
0.46%     libopusV2JNI.so[+b0e4]
0.45%     libopusV2JNI.so[+f3c8]
0.42%     libopusV2JNI.so[+f3bc]
0.42%     libopusV2JNI.so[+b10c]
0.41%     libopusV2JNI.so[+b0ec]
0.41%     libopusV2JNI.so[+145f4]
0.41%     libopusV2JNI.so[+145f8]
0.40%     libopusV2JNI.so[+14aa0]
0.39%     libopusV2JNI.so[+12d64]
0.37%     libopusV2JNI.so[+14a94]
0.37%     libopusV2JNI.so[+11980]
0.36%     libopusV2JNI.so[+145fc]
0.35%     libopusV2JNI.so[+b0e8]
0.35%     libopusV2JNI.so[+136e8]
0.35%     libopusV2JNI.so[+15060]
0.35%     libopusV2JNI.so[+f38c]
0.34%     libopusV2JNI.so[+14fc0]
0.34%     libopusV2JNI.so[+b0c4]
0.34%     libopusV2JNI.so[+14584]
0.34%     libopusV2JNI.so[+1693c]
0.34%     libopusV2JNI.so[+b0a8]
0.32%     libopusV2JNI.so[+f3b4]
0.31%     libopusV2JNI.so[+15250]
0.31%     libopusV2JNI.so[+16950]
0.30%     libopusV2JNI.so[+f3b0]
0.30%     libopusV2JNI.so[+14600]
0.30%     libopusV2JNI.so[+b0d8]
0.29%     libopusV2JNI.so[+145b0]
0.29%     libopusV2JNI.so[+14a8c]
0.29%     libopusV2JNI.so[+b0f8]
0.28%     libopusV2JNI.so[+1197c]
0.28%     libopusV2JNI.so[+11978]
