Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 61117
Event count: 17312568445

Overhead  Shared Object
27.39%    /data/app/com.google.android.youtube-Pd0b577c0Y39n3VUBLkSSw==/lib/arm64/libopusV2JNI.so
17.19%    [kernel.kallsyms]
17.04%    /apex/com.android.runtime/lib64/libart.so
10.76%    /apex/com.android.runtime/lib64/libart-compiler.so
5.39%     /apex/com.android.runtime/lib64/bionic/libc.so
2.51%     /system/framework/arm64/boot.oat
2.07%     /apex/com.android.runtime/lib64/libartbase.so
1.47%     /system/lib64/libhwui.so
1.40%     /data/app/com.google.android.youtube-Pd0b577c0Y39n3VUBLkSSw==/lib/arm64/libcronet.100.0.4896.12.so
1.18%     /system/framework/arm64/boot-framework.oat
1.09%     /apex/com.android.runtime/lib64/libprofile.so
1.06%     /system/lib64/libutils.so
0.64%     /system/lib64/libstagefright_foundation.so
0.63%     /system/lib64/libsfplugin_ccodec.so
0.62%     /system/lib64/libhidlbase.so
0.61%     /system/lib64/libbinder.so
0.60%     /system/lib64/libstagefright.so
0.54%     /system/lib64/libsqlite.so
0.38%     /data/local/tmp/TemporaryFile-ulNz7Y
0.33%     /system/lib64/libcodec2_hidl_client@1.0.so
0.33%     /data/app/com.google.android.youtube-Pd0b577c0Y39n3VUBLkSSw==/lib/arm64/libelements.so
0.29%     /vendor/lib64/egl/libGLESv2_adreno.so
0.29%     /data/local/tmp/TemporaryFile-ztw6oP
0.28%     /system/lib64/libcodec2_vndk.so
0.23%     /system/lib64/libandroid_runtime.so
0.23%     /apex/com.android.runtime/lib64/libvixl.so
0.22%     unknown
0.19%     /data/local/tmp/TemporaryFile-l5OaIZ
0.18%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.16%     /system/lib64/libc++.so
0.16%     /data/local/tmp/TemporaryFile-zu4rOw
0.15%     /system/lib64/libgui.so
0.15%     /system/lib64/libmedia_jni.so
0.15%     /data/local/tmp/TemporaryFile-eDiy3w
0.13%     /system/lib64/libstagefright_bufferpool@2.0.1.so
0.13%     /system/lib64/android.hardware.media.c2@1.0.so
0.11%     /system/lib64/android.hardware.graphics.bufferqueue@2.0.so
0.11%     /data/app/com.google.android.youtube-Pd0b577c0Y39n3VUBLkSSw==/lib/arm64/libyoga.so
0.10%     /data/local/tmp/TemporaryFile-aV1k1p
0.10%     /system/framework/arm64/boot-core-libart.oat
0.10%     /data/local/tmp/TemporaryFile-PEQ7WX
0.09%     /system/lib64/libaudioclient.so
0.09%     /data/local/tmp/TemporaryFile-3eIgvP
0.08%     /apex/com.android.runtime/lib64/bionic/libdl.so
0.07%     /vendor/lib64/libllvm-glnext.so
0.07%     /apex/com.android.runtime/lib64/libdexfile.so
0.07%     /data/local/tmp/TemporaryFile-MpDr88
0.06%     /data/local/tmp/TemporaryFile-ps32Xf
0.06%     /vendor/lib/modules/wlan.ko
0.06%     /data/local/tmp/TemporaryFile-zvln4j
0.05%     /apex/com.android.runtime/lib64/libopenjdk.so
0.05%     /data/local/tmp/TemporaryFile-ffyg45
0.05%     /vendor/lib64/libgralloccore.so
0.05%     /apex/com.android.runtime/lib64/libicuuc.so
0.05%     /data/local/tmp/TemporaryFile-Ll3Npl
0.05%     /data/local/tmp/TemporaryFile-Qd6CDS
0.04%     /system/lib64/libui.so
0.04%     /data/local/tmp/TemporaryFile-64ygQ2
0.04%     /data/local/tmp/TemporaryFile-fiVaEh
0.04%     /data/local/tmp/TemporaryFile-ssAVHu
0.04%     /data/local/tmp/TemporaryFile-YD1ufZ
0.04%     /system/lib64/android.hardware.graphics.mapper@3.0.so
0.04%     /data/local/tmp/TemporaryFile-cQCxnD
0.04%     /data/local/tmp/TemporaryFile-QNLOBd
0.04%     /data/local/tmp/TemporaryFile-PJBpO8
0.04%     /system/lib64/libcodec2_client.so
0.04%     /data/local/tmp/TemporaryFile-1DTMjx
0.04%     /data/local/tmp/TemporaryFile-PxsJ1i
0.03%     /data/local/tmp/TemporaryFile-3tSRb6
0.03%     /data/local/tmp/TemporaryFile-vSq5ai
0.03%     /data/local/tmp/TemporaryFile-8VVOHb
0.03%     /data/local/tmp/TemporaryFile-wKukSr
0.03%     /data/local/tmp/TemporaryFile-qUCBto
0.03%     /data/local/tmp/TemporaryFile-rjGwN5
0.03%     /data/local/tmp/TemporaryFile-qGrFKz
0.03%     /data/local/tmp/TemporaryFile-Tw6GKo
0.03%     /data/local/tmp/TemporaryFile-mwTiHA
0.03%     /system/lib64/libbinderthreadstate.so
0.03%     /data/local/tmp/TemporaryFile-6pTtC1
0.03%     /system/lib64/libandroidfw.so
