Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 7820
Event count: 4741863116

Overhead  Symbol
1.01%     libopusV2JNI.so[+f7a0]
1.00%     libopusV2JNI.so[+11980]
0.92%     libopusV2JNI.so[+f798]
0.92%     libopusV2JNI.so[+b8f0]
0.88%     libopusV2JNI.so[+b0e8]
0.87%     libopusV2JNI.so[+f794]
0.87%     libopusV2JNI.so[+1197c]
0.76%     libopusV2JNI.so[+14a8c]
0.75%     libopusV2JNI.so[+b8e8]
0.73%     libopusV2JNI.so[+f3bc]
0.71%     libopusV2JNI.so[+b0c8]
0.70%     libopusV2JNI.so[+b8e0]
0.68%     libopusV2JNI.so[+b0c4]
0.68%     libopusV2JNI.so[+f78c]
0.62%     libopusV2JNI.so[+14a88]
0.61%     libopusV2JNI.so[+f390]
0.58%     libopusV2JNI.so[+1691c]
0.56%     libopusV2JNI.so[+16904]
0.54%     libopusV2JNI.so[+16918]
0.53%     libopusV2JNI.so[+1692c]
0.51%     libopusV2JNI.so[+f3c8]
0.49%     libopusV2JNI.so[+f3b0]
0.48%     libopusV2JNI.so[+b0e0]
0.46%     libopusV2JNI.so[+16908]
0.44%     libopusV2JNI.so[+11974]
0.44%     libopusV2JNI.so[+14a84]
0.43%     libopusV2JNI.so[+f7a8]
0.42%     libopusV2JNI.so[+b0d4]
0.42%     libopusV2JNI.so[+16920]
0.42%     libopusV2JNI.so[+f7b0]
0.41%     libopusV2JNI.so[+b0b8]
0.41%     libopusV2JNI.so[+12d64]
0.40%     libopusV2JNI.so[+b0a8]
0.39%     libopusV2JNI.so[+16924]
0.38%     libopusV2JNI.so[+b0f8]
0.38%     libopusV2JNI.so[+15090]
0.37%     libopusV2JNI.so[+b110]
0.36%     libopusV2JNI.so[+f39c]
0.36%     libopusV2JNI.so[+f3c4]
0.36%     libopusV2JNI.so[+b0c0]
0.34%     libopusV2JNI.so[+f3a4]
0.34%     libopusV2JNI.so[+14598]
0.34%     libopusV2JNI.so[+15088]
0.34%     libopusV2JNI.so[+b0b0]
0.33%     libopusV2JNI.so[+14fd0]
0.32%     libopusV2JNI.so[+11988]
0.32%     libopusV2JNI.so[+169e8]
0.32%     libopusV2JNI.so[+132b4]
0.31%     libopusV2JNI.so[+b0d0]
0.31%     libopusV2JNI.so[+b100]
0.30%     libopusV2JNI.so[+15264]
0.30%     libopusV2JNI.so[+169c0]
0.29%     libopusV2JNI.so[+14a90]
0.29%     libopusV2JNI.so[+16934]
0.29%     libopusV2JNI.so[+16910]
0.28%     libopusV2JNI.so[+14fdc]
0.28%     libopusV2JNI.so[+169ac]
0.28%     libopusV2JNI.so[+b0ec]
0.28%     libopusV2JNI.so[+14590]
0.28%     libopusV2JNI.so[+132d0]
0.28%     libopusV2JNI.so[+14a98]
0.28%     libopusV2JNI.so[+1690c]
0.28%     libopusV2JNI.so[+15080]
0.27%     libopusV2JNI.so[+13580]
0.27%     libopusV2JNI.so[+16954]
0.26%     libopusV2JNI.so[+132b0]
0.26%     libopusV2JNI.so[+f384]
0.26%     libopusV2JNI.so[+15040]
0.26%     libopusV2JNI.so[+145dc]
0.25%     libopusV2JNI.so[+f38c]
0.25%     libopusV2JNI.so[+1503c]
0.25%     libopusV2JNI.so[+15474]
0.25%     libopusV2JNI.so[+169c4]
0.25%     libopusV2JNI.so[+b0f0]
0.25%     libopusV2JNI.so[+16db0]
0.24%     libopusV2JNI.so[+15210]
0.24%     libopusV2JNI.so[+14f88]
0.24%     libopusV2JNI.so[+12d60]
0.24%     libopusV2JNI.so[+16a08]
0.24%     libopusV2JNI.so[+169d8]
0.24%     libopusV2JNI.so[+16958]
0.24%     libopusV2JNI.so[+14594]
0.24%     libopusV2JNI.so[+16d2c]
0.23%     libopusV2JNI.so[+16a04]
0.23%     libopusV2JNI.so[+1501c]
0.23%     libopusV2JNI.so[+14584]
0.23%     libopusV2JNI.so[+b108]
0.23%     libopusV2JNI.so[+150b8]
0.23%     libopusV2JNI.so[+b0dc]
0.22%     libopusV2JNI.so[+169c8]
0.22%     libopusV2JNI.so[+172b0]
0.22%     libopusV2JNI.so[+1707c]
0.22%     libopusV2JNI.so[+145e4]
0.22%     libopusV2JNI.so[+17250]
0.21%     libopusV2JNI.so[+145d8]
0.21%     libopusV2JNI.so[+16a1c]
0.21%     libopusV2JNI.so[+145e8]
0.21%     libopusV2JNI.so[+16d94]
0.20%     libopusV2JNI.so[+13588]
0.20%     libopusV2JNI.so[+15044]
0.20%     libopusV2JNI.so[+1314c]
0.20%     libopusV2JNI.so[+14fe4]
0.20%     libopusV2JNI.so[+132a8]
0.20%     libopusV2JNI.so[+14a80]
0.20%     libopusV2JNI.so[+17248]
0.20%     libopusV2JNI.so[+16f98]
0.20%     libopusV2JNI.so[+f3ac]
0.20%     libopusV2JNI.so[+13158]
0.20%     libopusV2JNI.so[+142f4]
0.19%     libopusV2JNI.so[+17238]
0.19%     libopusV2JNI.so[+16a00]
0.19%     libopusV2JNI.so[+145f4]
0.19%     libopusV2JNI.so[+16d1c]
0.19%     libopusV2JNI.so[+117a4]
0.19%     libopusV2JNI.so[+16d58]
0.19%     libopusV2JNI.so[+16d20]
0.19%     libopusV2JNI.so[+1357c]
0.18%     libopusV2JNI.so[+f3d0]
0.18%     libopusV2JNI.so[+14600]
0.18%     libopusV2JNI.so[+12d6c]
0.18%     libopusV2JNI.so[+1176c]
0.18%     libopusV2JNI.so[+132bc]
0.18%     libopusV2JNI.so[+16960]
0.18%     libopusV2JNI.so[+1694c]
0.18%     libopusV2JNI.so[+16d18]
0.18%     libopusV2JNI.so[+16944]
0.18%     libopusV2JNI.so[+11da0]
0.18%     libopusV2JNI.so[+132d4]
0.17%     libopusV2JNI.so[+17264]
0.17%     libopusV2JNI.so[+150a4]
0.17%     libopusV2JNI.so[+172c4]
0.17%     libopusV2JNI.so[+14608]
0.17%     libopusV2JNI.so[+f3b8]
0.17%     libopusV2JNI.so[+132c4]
0.16%     libopusV2JNI.so[+169bc]
0.16%     libopusV2JNI.so[+14aa0]
0.16%     libopusV2JNI.so[+16e74]
0.16%     libopusV2JNI.so[+1459c]
0.16%     libopusV2JNI.so[+13ba0]
0.16%     libopusV2JNI.so[+14fe0]
0.16%     libopusV2JNI.so[+16d24]
0.16%     libopusV2JNI.so[+145ec]
0.16%     libopusV2JNI.so[+16ff8]
0.16%     libopusV2JNI.so[+132c0]
0.16%     libopusV2JNI.so[+16fac]
0.16%     libopusV2JNI.so[+15060]
0.16%     libopusV2JNI.so[+150c4]
0.15%     libopusV2JNI.so[+145a8]
0.15%     libopusV2JNI.so[+15208]
0.15%     libopusV2JNI.so[+12d5c]
0.15%     libopusV2JNI.so[+17304]
0.15%     libopusV2JNI.so[+16fbc]
0.15%     libopusV2JNI.so[+f398]
0.15%     libopusV2JNI.so[+16d80]
0.15%     libopusV2JNI.so[+1610c]
0.15%     libopusV2JNI.so[+16da4]
0.15%     libopusV2JNI.so[+13528]
0.14%     libopusV2JNI.so[+1708c]
0.14%     libopusV2JNI.so[+14ff0]
0.14%     libopusV2JNI.so[+117a0]
0.14%     libopusV2JNI.so[+16d0c]
0.14%     libopusV2JNI.so[+16f74]
0.14%     libopusV2JNI.so[+132a4]
0.14%     libopusV2JNI.so[+13590]
0.14%     libopusV2JNI.so[+16d10]
0.14%     libopusV2JNI.so[+16fa4]
0.14%     libopusV2JNI.so[+16dd0]
0.14%     libopusV2JNI.so[+132cc]
0.14%     libopusV2JNI.so[+115ac]
0.14%     libopusV2JNI.so[+16fb0]
0.14%     libopusV2JNI.so[+145f0]
0.14%     libopusV2JNI.so[+11798]
0.14%     libopusV2JNI.so[+17100]
0.14%     libopusV2JNI.so[+132c8]
0.13%     libopusV2JNI.so[+145a0]
0.13%     libopusV2JNI.so[+16a0c]
0.13%     libopusV2JNI.so[+145e0]
0.13%     libopusV2JNI.so[+afbc]
0.13%     libopusV2JNI.so[+13518]
0.13%     libopusV2JNI.so[+1727c]
0.13%     libopusV2JNI.so[+150c0]
0.13%     libopusV2JNI.so[+1726c]
0.13%     libopusV2JNI.so[+150ac]
0.13%     libopusV2JNI.so[+16fa8]
0.13%     libopusV2JNI.so[+13540]
0.13%     libopusV2JNI.so[+11804]
0.12%     libopusV2JNI.so[+17278]
0.12%     libopusV2JNI.so[+16bd0]
0.12%     libopusV2JNI.so[+16d50]
0.12%     libopusV2JNI.so[+17274]
0.12%     libopusV2JNI.so[+17048]
0.12%     libopusV2JNI.so[+15254]
0.12%     libopusV2JNI.so[+16fa0]
0.12%     libopusV2JNI.so[+132dc]
0.12%     libopusV2JNI.so[+14588]
0.12%     libopusV2JNI.so[+14fbc]
0.12%     libopusV2JNI.so[+14284]
0.12%     libopusV2JNI.so[+16d8c]
0.12%     libopusV2JNI.so[+16a34]
0.12%     libopusV2JNI.so[+16e20]
0.12%     libopusV2JNI.so[+145ac]
0.12%     libopusV2JNI.so[+af50]
0.12%     libopusV2JNI.so[+14fc0]
0.12%     libopusV2JNI.so[+16f94]
0.12%     libopusV2JNI.so[+1693c]
0.12%     libopusV2JNI.so[+1315c]
0.12%     libopusV2JNI.so[+143dc]
0.12%     libopusV2JNI.so[+15230]
0.12%     libopusV2JNI.so[+17294]
0.12%     libopusV2JNI.so[+17338]
0.12%     libopusV2JNI.so[+15450]
0.12%     libopusV2JNI.so[+14fd8]
0.12%     libopusV2JNI.so[+13578]
0.12%     libopusV2JNI.so[+13150]
0.12%     libopusV2JNI.so[+15038]
0.11%     libopusV2JNI.so[+13584]
0.11%     libopusV2JNI.so[+16e18]
0.11%     libopusV2JNI.so[+16d00]
0.11%     libopusV2JNI.so[+14ae4]
0.11%     libopusV2JNI.so[+169e0]
0.11%     libopusV2JNI.so[+1715c]
0.11%     libopusV2JNI.so[+14fc4]
0.11%     libopusV2JNI.so[+16fb8]
0.11%     libopusV2JNI.so[+11d98]
0.11%     libopusV2JNI.so[+134fc]
0.11%     libopusV2JNI.so[+140b8]
0.11%     libopusV2JNI.so[+17244]
0.11%     libopusV2JNI.so[+13430]
0.11%     libopusV2JNI.so[+115a4]
0.11%     libopusV2JNI.so[+170b8]
0.10%     libopusV2JNI.so[+16f84]
