Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 56801
Event count: 12939374032

Overhead  Shared Object
36.59%    /data/app/com.google.android.youtube-Pd0b577c0Y39n3VUBLkSSw==/lib/arm64/libopusV2JNI.so
19.89%    [kernel.kallsyms]
14.35%    /apex/com.android.runtime/lib64/libart.so
5.87%     /apex/com.android.runtime/lib64/bionic/libc.so
1.93%     /system/framework/arm64/boot.oat
1.80%     /apex/com.android.runtime/lib64/libart-compiler.so
1.38%     /system/lib64/libutils.so
1.33%     /apex/com.android.runtime/lib64/libprofile.so
1.25%     /system/framework/arm64/boot-framework.oat
0.95%     /apex/com.android.runtime/lib64/libartbase.so
0.88%     /system/lib64/libsfplugin_ccodec.so
0.83%     /system/lib64/libstagefright_foundation.so
0.81%     /system/lib64/libhidlbase.so
0.79%     /system/lib64/libhwui.so
0.78%     /system/lib64/libstagefright.so
0.73%     /system/lib64/libbinder.so
0.67%     /data/local/tmp/TemporaryFile-ssjCD9
0.61%     /data/app/com.google.android.youtube-Pd0b577c0Y39n3VUBLkSSw==/lib/arm64/libcronet.100.0.4896.12.so
0.42%     /system/lib64/libcodec2_hidl_client@1.0.so
0.37%     /data/app/com.google.android.youtube-Pd0b577c0Y39n3VUBLkSSw==/lib/arm64/libelements.so
0.36%     /vendor/lib64/egl/libGLESv2_adreno.so
0.35%     /system/lib64/libcodec2_vndk.so
0.31%     /data/local/tmp/TemporaryFile-a5oddW
0.29%     /data/local/tmp/TemporaryFile-T1zlUy
0.27%     /system/lib64/libandroid_runtime.so
0.25%     /data/local/tmp/TemporaryFile-ZPhRXg
0.25%     unknown
0.24%     /system/lib64/libgui.so
0.23%     /apex/com.android.runtime/lib64/libicuuc.so
0.22%     /system/lib64/libc++.so
0.21%     /system/lib64/libmedia_jni.so
0.20%     /system/framework/arm64/boot-core-libart.oat
0.19%     /system/lib64/libsqlite.so
0.17%     /system/lib64/android.hardware.media.c2@1.0.so
0.16%     /system/lib64/libstagefright_bufferpool@2.0.1.so
0.13%     /system/lib64/libaudioclient.so
0.13%     /data/local/tmp/TemporaryFile-DMTl9D
0.13%     /data/local/tmp/TemporaryFile-047lL3
0.13%     /system/lib64/android.hardware.graphics.bufferqueue@2.0.so
0.12%     /data/local/tmp/TemporaryFile-bAb6oE
0.12%     /apex/com.android.runtime/lib64/libicui18n.so
0.12%     /data/local/tmp/TemporaryFile-vstMPf
0.10%     /data/app/com.google.android.youtube-Pd0b577c0Y39n3VUBLkSSw==/lib/arm64/libyoga.so
0.10%     /data/local/tmp/TemporaryFile-zZbuNC
0.09%     /data/local/tmp/TemporaryFile-tQlM5x
0.09%     /data/local/tmp/TemporaryFile-6dtUv7
0.09%     /apex/com.android.runtime/lib64/libvixl.so
0.08%     /data/local/tmp/TemporaryFile-Es5Pud
0.08%     /apex/com.android.runtime/lib64/bionic/libdl.so
0.08%     /data/local/tmp/TemporaryFile-1v1kKW
0.07%     /data/local/tmp/TemporaryFile-FDvbzE
0.07%     /data/local/tmp/TemporaryFile-6dX7sI
0.07%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.06%     /data/local/tmp/TemporaryFile-KTj6RB
0.06%     /data/local/tmp/TemporaryFile-4bpn1h
0.06%     /system/lib64/libcodec2_client.so
0.06%     /system/lib64/libui.so
0.06%     /data/local/tmp/TemporaryFile-X6HT1F
0.06%     /data/local/tmp/TemporaryFile-TcmUt5
0.06%     /vendor/lib64/libgralloccore.so
0.05%     /data/local/tmp/TemporaryFile-BJrmC7
0.05%     /apex/com.android.runtime/lib64/libopenjdk.so
0.05%     /data/local/tmp/TemporaryFile-m0GLM3
0.05%     /data/local/tmp/TemporaryFile-JXFmFy
0.04%     /data/local/tmp/TemporaryFile-9Zqmzs
0.04%     /data/local/tmp/TemporaryFile-rvG7dC
0.04%     /data/local/tmp/TemporaryFile-GBXFgk
0.04%     /data/local/tmp/TemporaryFile-RxVYxc
0.04%     /data/local/tmp/TemporaryFile-LeVori
0.04%     /data/local/tmp/TemporaryFile-0xtmii
0.04%     /data/data/com.google.android.youtube/app_dg_cache/3009AD93F343D3DA99E7E92D6ED15CAB0D5CE20B/the.apk
0.04%     /data/local/tmp/TemporaryFile-Ppbw3Z
0.03%     /system/lib64/libbinderthreadstate.so
0.03%     /data/local/tmp/TemporaryFile-TWKv1k
0.03%     /system/lib64/libandroidfw.so
0.03%     /data/local/tmp/TemporaryFile-VpnPEm
0.03%     /data/local/tmp/TemporaryFile-vd7nxX
0.03%     /system/lib64/android.hardware.graphics.mapper@3.0.so
0.03%     /data/local/tmp/TemporaryFile-zytlly
0.03%     /system/lib64/libcutils.so
0.03%     /data/local/tmp/TemporaryFile-OkP6qE
0.03%     /data/local/tmp/TemporaryFile-Hj5yAl
0.03%     /system/lib64/libmedia_omx.so
0.03%     /data/local/tmp/TemporaryFile-ZZYRwc
0.03%     /apex/com.android.runtime/lib64/bionic/libm.so
0.03%     /data/local/tmp/TemporaryFile-Y1uo3I
0.03%     /data/local/tmp/TemporaryFile-kfRNcC
0.03%     /data/local/tmp/TemporaryFile-E9Pzkn
0.03%     /data/local/tmp/TemporaryFile-8QWCG7
0.02%     /data/local/tmp/TemporaryFile-y2mvyl
0.02%     /data/local/tmp/TemporaryFile-Agy9z1
0.02%     /apex/com.android.runtime/lib64/libdexfile.so
0.02%     /vendor/lib/modules/wlan.ko
0.02%     /data/local/tmp/TemporaryFile-wXj2f5
0.02%     /data/app/com.google.android.youtube-Pd0b577c0Y39n3VUBLkSSw==/oat/arm64/base.odex
0.02%     /apex/com.android.runtime/lib64/libjavacore.so
0.02%     /data/local/tmp/TemporaryFile-bBKk4E
0.02%     /data/local/tmp/TemporaryFile-N66s6F
0.02%     /vendor/lib64/libgrallocutils.so
0.02%     /apex/com.android.runtime/lib64/libnativehelper.so
0.02%     /data/local/tmp/TemporaryFile-UaZXbd
0.02%     /data/local/tmp/TemporaryFile-nhKuva
0.02%     /data/local/tmp/TemporaryFile-XlkZDr
0.02%     /vendor/lib64/hw/android.hardware.graphics.mapper@3.0-impl-qti-display.so
0.02%     /data/local/tmp/TemporaryFile-LzkiOG
0.02%     /data/local/tmp/TemporaryFile-fTuiLk
0.02%     /system/lib64/libminikin.so
0.02%     /data/local/tmp/TemporaryFile-qTsdac
0.01%     /data/local/tmp/TemporaryFile-JK8aif
0.01%     /data/local/tmp/TemporaryFile-Zih9nf
0.01%     /vendor/lib64/egl/eglSubDriverAndroid.so
0.01%     /data/local/tmp/TemporaryFile-DYmxBK
0.01%     /data/local/tmp/TemporaryFile-FwzxHn
0.01%     /data/local/tmp/TemporaryFile-0XYfzp
0.01%     /data/local/tmp/TemporaryFile-bBfemS
0.01%     /data/local/tmp/TemporaryFile-G546w6
0.01%     /data/local/tmp/TemporaryFile-OTwnGs
0.01%     /data/local/tmp/TemporaryFile-lj2OKv
0.01%     /data/local/tmp/TemporaryFile-mMdoN4
0.01%     /data/local/tmp/TemporaryFile-bHwqjE
0.01%     /data/local/tmp/TemporaryFile-B7lmIH
0.01%     /data/local/tmp/TemporaryFile-lEnwfF
0.01%     /data/local/tmp/TemporaryFile-KoKL5d
0.01%     /data/local/tmp/TemporaryFile-6audjX
0.01%     /data/local/tmp/TemporaryFile-kgL4FR
0.01%     /system/lib64/libartpalette-system.so
0.01%     /system/lib64/vndk-sp-29/libcutils.so
0.01%     /data/local/tmp/TemporaryFile-jsj8Fj
0.01%     /data/local/tmp/TemporaryFile-hvEKNR
0.01%     /data/local/tmp/TemporaryFile-ppAwYU
0.01%     /data/local/tmp/TemporaryFile-2ticIa
0.01%     /data/local/tmp/TemporaryFile-74kLIP
0.01%     /data/local/tmp/TemporaryFile-juWNBN
0.01%     /system/lib64/libft2.so
0.01%     /data/local/tmp/TemporaryFile-SN4Ept
0.01%     /data/local/tmp/TemporaryFile-Ebq2CJ
0.01%     /data/local/tmp/TemporaryFile-YDVMel
0.01%     /data/local/tmp/TemporaryFile-ueVHsK
0.01%     /data/local/tmp/TemporaryFile-92VhTs
0.01%     /apex/com.android.runtime/bin/linker64
0.01%     /data/local/tmp/TemporaryFile-Q6TX5i
0.01%     /vendor/lib64/libgsl.so
0.01%     /system/lib64/libEGL.so
0.01%     /data/local/tmp/TemporaryFile-cNA8Lx
0.01%     /data/local/tmp/TemporaryFile-FgksPb
0.01%     /data/local/tmp/TemporaryFile-fRnfv0
0.01%     /data/local/tmp/TemporaryFile-GAl7JJ
0.01%     /data/local/tmp/TemporaryFile-uGWCdg
0.00%     /system/lib64/vndk-sp-29/libc++.so
0.00%     /data/local/tmp/TemporaryFile-m44RqK
0.00%     /data/local/tmp/TemporaryFile-5QAuQY
0.00%     /data/local/tmp/TemporaryFile-4szcY9
0.00%     /data/local/tmp/TemporaryFile-6nJKHe
0.00%     /data/local/tmp/TemporaryFile-Fcclyn
0.00%     /data/local/tmp/TemporaryFile-DhUnUl
0.00%     /data/local/tmp/TemporaryFile-H4sALX
0.00%     /data/local/tmp/TemporaryFile-yjqtI5
0.00%     /data/local/tmp/TemporaryFile-it1iOf
0.00%     /data/local/tmp/TemporaryFile-THr9f5
0.00%     /data/local/tmp/TemporaryFile-QalQye
0.00%     /data/local/tmp/TemporaryFile-CSljZr
0.00%     /data/local/tmp/TemporaryFile-hAzFsS
0.00%     /data/local/tmp/TemporaryFile-MViiKp
0.00%     /apex/com.android.runtime/lib64/libopenjdkjvm.so
0.00%     /data/local/tmp/TemporaryFile-m1GFkx
0.00%     /vendor/lib64/egl/libEGL_adreno.so
0.00%     /data/local/tmp/TemporaryFile-SzOxXW
0.00%     /data/local/tmp/TemporaryFile-gnov1q
0.00%     /data/local/tmp/TemporaryFile-Nv8N8x
0.00%     /system/lib64/libsensor.so
0.00%     /data/local/tmp/TemporaryFile-qFIfMC
0.00%     /data/local/tmp/TemporaryFile-okdRkV
0.00%     /data/local/tmp/TemporaryFile-J2BcGC
0.00%     /system/lib64/libbase.so
0.00%     /system/lib64/liblog.so
0.00%     /data/local/tmp/TemporaryFile-jRCcgi
0.00%     /data/local/tmp/TemporaryFile-8dTNvf
0.00%     /data/local/tmp/TemporaryFile-k4t1QP
0.00%     /data/local/tmp/TemporaryFile-9bhuO6
0.00%     /system/lib64/libGLESv2.so
0.00%     /data/local/tmp/TemporaryFile-ORLDpU
