Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 21670
Event count: 2573324305

Overhead  Symbol
18.58%    try_to_wake_up
9.98%     __wake_up_common_lock
5.45%     ___bpf_prog_run
4.03%     binder_ioctl_write_read
3.84%     binder_transaction
3.74%     run_timer_softirq.cfi
2.61%     binder_alloc_do_buffer_copy
2.51%     set_user_nice.cfi
1.69%     __pi_memcpy
1.67%     __schedule
1.67%     __seccomp_filter
1.64%     futex_wake
1.09%     __softirqentry_text_start
0.98%     el0_svc_naked
0.97%     kmem_cache_alloc_trace.cfi
0.97%     syscall_trace_enter.cfi
0.95%     kfree.cfi
0.90%     futex_wait_setup
0.90%     __check_object_size.cfi
0.84%     __fget_light
0.84%     __arch_copy_from_user
0.82%     hrtimer_start_range_ns.cfi
0.80%     avc_lookup
0.77%     futex_wait
0.71%     binder_transaction_buffer_release
0.70%     clear_page
0.68%     __sys_trace
0.66%     do_futex.cfi
0.63%     sys_futex
0.60%     sys_epoll_wait
0.59%     binder_alloc_new_buf.cfi
0.58%     get_page_from_freelist
0.58%     get_futex_key
0.57%     binder_alloc_copy_user_to_buffer.cfi
0.53%     syscall_trace_exit.cfi
0.49%     do_vfs_ioctl.cfi
0.45%     binder_insert_free_buffer
0.44%     finish_task_switch
0.42%     __arch_copy_to_user
0.41%     binder_ioctl.cfi
0.41%     binder_update_page_range
0.40%     vfs_getattr_nosec.cfi
0.40%     free_hot_cold_page.cfi
0.38%     __bpf_prog_run32.cfi
0.38%     binder_proc_transaction
0.37%     change_protection.cfi
0.36%     selinux_file_ioctl.cfi
0.36%     binder_get_thread
0.35%     update_blocked_averages
0.32%     prepare_to_wait.cfi
0.32%     fpsimd_load_state
0.31%     release_pages.cfi
0.30%     binder_stat_br
0.30%     binder_do_set_priority
0.29%     futex_wait_queue_me
0.29%     __kmalloc_track_caller.cfi
0.29%     hash_futex
0.28%     selinux_inode_permission.cfi
0.28%     memset
0.28%     binder_alloc_prepare_to_free.cfi
0.27%     hrtimer_try_to_cancel.cfi
0.27%     ep_scan_ready_list
0.27%     unix_dgram_recvmsg.cfi
0.26%     ep_send_events_proc.cfi
0.26%     sys_ioctl
0.25%     binder_free_buf_locked
0.23%     avc_has_extended_perms.cfi
0.23%     __list_del_entry_valid.cfi
0.22%     do_notify_resume.cfi
0.22%     f2fs_ra_node_page.cfi
0.22%     finish_wait.cfi
0.22%     fput.cfi
0.21%     rcu_report_qs_rnp
0.21%     rb_erase.cfi
0.21%     ktime_get_ts64.cfi
