Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 17567
Event count: 4234296922

Overhead  Symbol
9.24%     try_to_wake_up
6.98%     __wake_up_common_lock
5.01%     ___bpf_prog_run
2.64%     binder_ioctl_write_read
2.39%     binder_transaction
2.29%     avc_lookup
2.00%     link_path_walk
1.77%     arm_smmu_map_sg.cfi
1.59%     __seccomp_filter
1.48%     memcpy
1.46%     futex_wake
1.45%     set_user_nice.cfi
1.45%     el0_svc_naked
1.44%     binder_alloc_do_buffer_copy
1.30%     run_timer_softirq.cfi
1.29%     get_page_from_freelist
1.25%     clear_page
1.14%     dput.cfi
1.04%     lookup_fast
0.96%     kmem_cache_alloc.cfi
0.94%     __schedule
0.93%     __fget_light
0.89%     __d_lookup_rcu.cfi
0.87%     kfree.cfi
0.83%     selinux_inode_permission.cfi
0.82%     __check_object_size.cfi
0.80%     futex_wait_setup
0.77%     __arch_copy_from_user
0.75%     __legitimize_mnt.cfi
0.72%     unmap_page_range.cfi
0.68%     free_hot_cold_page.cfi
0.66%     syscall_trace_enter.cfi
0.61%     __inode_permission2.cfi
0.60%     kmem_cache_free.cfi
0.60%     __d_lookup.cfi
0.58%     kmem_cache_alloc_trace.cfi
0.57%     binder_alloc_new_buf.cfi
0.56%     __follow_mount_rcu
0.56%     selinux_inode_follow_link.cfi
0.55%     find_get_entry.cfi
0.54%     terminate_walk
0.53%     lockref_get_not_dead.cfi
0.52%     generic_permission.cfi
0.52%     hrtimer_start_range_ns.cfi
0.52%     walk_component
0.51%     do_futex.cfi
0.50%     lockref_get_not_zero.cfi
0.45%     el0_da
0.44%     handle_mm_fault.cfi
0.44%     fscrypt_d_revalidate.cfi
0.44%     get_futex_key
0.44%     change_protection.cfi
0.44%     f2fs_getattr.cfi
0.43%     SyS_epoll_wait.cfi
0.43%     __sys_trace
0.41%     avc_has_perm_flags.cfi
0.41%     fput.cfi
0.40%     futex_wait
0.39%     __arch_copy_to_user
0.39%     syscall_trace_exit.cfi
0.36%     memset
0.36%     do_vfs_ioctl.cfi
0.33%     selinux_file_ioctl.cfi
0.32%     release_pages.cfi
0.32%     vfs_getattr_nosec.cfi
0.32%     binder_transaction_buffer_release
0.32%     follow_managed
0.30%     __bpf_prog_run32.cfi
0.30%     binder_free_buf_locked
0.30%     legitimize_links
0.29%     SyS_futex.cfi
0.28%     binder_ioctl.cfi
0.28%     page_get_link.cfi
0.28%     binder_alloc_copy_user_to_buffer.cfi
0.28%     binder_get_thread
0.28%     __irqentry_text_start
0.27%     vfs_statx.cfi
0.26%     path_init
0.26%     pagevec_lru_move_fn
0.25%     avc_has_perm.cfi
0.25%     rb_erase.cfi
0.24%     SyS_faccessat.cfi
0.24%     unix_dgram_recvmsg.cfi
0.24%     binder_alloc_prepare_to_free.cfi
0.24%     binder_proc_transaction
0.23%     mntput_no_expire
0.23%     binder_do_set_priority
0.23%     __call_rcu
0.23%     prepare_to_wait.cfi
0.22%     binder_update_page_range
0.22%     __atime_needs_update.cfi
0.21%     strncpy_from_user.cfi
0.21%     __list_del_entry_valid.cfi
0.21%     ep_scan_ready_list
0.21%     posix_lock_inode
0.20%     finish_task_switch
0.20%     locks_unlink_lock_ctx
0.19%     do_page_fault.cfi
0.19%     __alloc_fd.cfi
0.19%     mem_cgroup_commit_charge.cfi
0.19%     try_charge
0.18%     sidtab_context_to_sid.cfi
0.18%     selinux_inode_getattr.cfi
0.18%     SyS_epoll_pwait.cfi
0.18%     hrtimer_init.cfi
0.17%     do_translation_fault.cfi
0.17%     dget_parent.cfi
0.17%     filename_lookup
0.17%     __close_fd.cfi
