Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 46748
Event count: 18787431775

Overhead  Shared Object
25.00%    /data/app/com.google.android.youtube-rhnxEY19KtqUYXMXR_JogA==/lib/arm64/libopusV2JNI.so
22.54%    [kernel.kallsyms]
18.35%    /apex/com.android.runtime/lib64/libart.so
6.06%     /apex/com.android.runtime/lib64/bionic/libc.so
5.65%     /apex/com.android.runtime/lib64/libart-compiler.so
2.44%     /system/framework/arm64/boot.oat
1.81%     /system/framework/arm64/boot-framework.oat
1.72%     /data/app/com.google.android.youtube-rhnxEY19KtqUYXMXR_JogA==/lib/arm64/libcronet.100.0.4896.12.so
1.71%     /apex/com.android.runtime/lib64/libartbase.so
1.17%     /system/lib64/libhwui.so
1.17%     /system/lib64/libutils.so
0.99%     /apex/com.android.runtime/lib64/libprofile.so
0.71%     /system/lib64/libsqlite.so
0.65%     /system/lib64/libhidlbase.so
0.60%     /system/lib64/libbinder.so
0.54%     /system/lib64/libsfplugin_ccodec.so
0.54%     /system/lib64/libstagefright_foundation.so
0.47%     /vendor/lib64/egl/libGLESv2_adreno.so
0.45%     /system/lib64/libstagefright.so
0.34%     unknown
0.26%     /system/lib64/libcodec2_vndk.so
0.25%     /system/lib64/libc++.so
0.24%     /system/lib64/libcodec2_hidl_client@1.0.so
0.23%     /system/framework/arm64/boot-core-libart.oat
0.23%     /system/lib64/libandroid_runtime.so
0.22%     /apex/com.android.conscrypt/lib64/libcrypto.so
0.22%     /data/local/tmp/TemporaryFile-46lcfc
0.21%     /apex/com.android.runtime/lib64/libvixl.so
0.21%     /apex/com.android.runtime/lib64/libicuuc.so
0.18%     /data/local/tmp/TemporaryFile-xPIFOL
0.16%     /apex/com.android.runtime/lib64/libopenjdk.so
0.15%     /system/lib64/libgui.so
0.15%     /system/lib64/libmedia_jni.so
0.13%     /data/local/tmp/TemporaryFile-FkAWRp
0.12%     /data/local/tmp/TemporaryFile-ogYCXL
0.12%     /data/local/tmp/TemporaryFile-Cz12xq
0.10%     /data/local/tmp/TemporaryFile-LJoVJB
0.10%     /system/lib64/android.hardware.media.c2@1.0.so
0.10%     /data/local/tmp/TemporaryFile-6GMul3
0.09%     /data/local/tmp/TemporaryFile-4cFzPr
0.09%     /system/lib64/libstagefright_bufferpool@2.0.1.so
0.09%     /data/local/tmp/TemporaryFile-cOElmp
0.09%     /vendor/lib64/libllvm-glnext.so
0.08%     /system/lib64/android.hardware.graphics.bufferqueue@2.0.so
