Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 7404
Event count: 3447134387

Overhead  Symbol
12.41%    art::CodeInfo::Decode(unsigned char const*, art::CodeInfo::DecodeFlags)
2.93%     art::CodeInfo::BinarySearchNativePc(unsigned int) const
2.76%     void art::gc::collector::ConcurrentCopying::Process<true>(art::mirror::Object*, art::MemberOffset)
2.24%     art::interpreter::ArtInterpreterToCompiledCodeBridge(art::Thread*, art::ArtMethod*, art::ShadowFrame*, unsigned short, art::JValue*)
2.17%     MterpInvokeVirtualQuick
2.17%     art::Mutex::ExclusiveUnlock(art::Thread*)
2.00%     bool art::interpreter::DoCall<false, false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, art::JValue*)
1.75%     void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
1.74%     void art::mirror::Object::VisitReferences<true, (art::VerifyObjectFlags)0, (art::ReadBarrierOption)1, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true>, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> >(art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> const&, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> const&)
1.50%     MterpInvokeInterface
1.50%     art::Thread::DecodeJObject(_jobject*) const
1.49%     art::OatQuickMethodHeader::ToDexPc(art::ArtMethod*, unsigned long, bool) const
1.49%     artQuickToInterpreterBridge
1.48%     art::CodeInfo::GetStackMapForNativePcOffset(unsigned int, art::InstructionSet) const
1.44%     art::GoToRunnable(art::Thread*) (.llvm.3953742762497877575)
1.36%     bool art::gc::collector::ConcurrentCopying::TestAndSetMarkBitForRef<false>(art::mirror::Object*)
1.21%     art::JniMethodStart(art::Thread*)
1.21%     art::ArtMethod::GetOatQuickMethodHeader(unsigned long)
1.17%     art_quick_unlock_object
1.16%     art::Mutex::ExclusiveLock(art::Thread*)
1.15%     MterpAddHotnessBatch
1.12%     art::JNI::GetStringUTFChars(_JNIEnv*, _jstring*, unsigned char*)
1.09%     art::gc::collector::ConcurrentCopying::AddLiveBytesAndScanRef(art::mirror::Object*)
1.06%     void art::gc::collector::ConcurrentCopying::MarkRoot<false>(art::Thread*, art::mirror::CompressedReference<art::mirror::Object>*)
0.99%     art_quick_imt_conflict_trampoline
0.97%     art::gc::space::RegionSpace::PoisonDeadObjectsInUnevacuatedRegion(art::gc::space::RegionSpace::Region*)
0.93%     art::gc::collector::ConcurrentCopying::ProcessMarkStackRef(art::mirror::Object*)
0.90%     art::InvokeVirtualOrInterfaceWithVarArgs(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jmethodID*, std::__va_list)
0.90%     art_quick_lock_object
0.90%     MterpInvokeStatic
0.86%     art::Monitor::TryLockLocked(art::Thread*)
0.85%     artAllocStringFromCharsFromCodeRegionTLAB
0.84%     art::IndirectReferenceTable::GetChecked(void*) const
0.84%     art::IndirectReferenceTable::Add(art::IRTSegmentState, art::ObjPtr<art::mirror::Object>, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
0.83%     art::Monitor::MonitorExit(art::Thread*, art::ObjPtr<art::mirror::Object>)
0.82%     art::ArtMethod* art::ClassLinker::ResolveMethod<(art::ClassLinker::ResolveMode)0>(art::Thread*, unsigned int, art::ArtMethod*, art::InvokeType)
0.81%     MterpInvokeDirect
