Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 4079
Event count: 4696534316

Overhead  Symbol
3.24%     libopusV2JNI.so[+b0a4]
2.27%     libopusV2JNI.so[+16da8]
2.22%     libopusV2JNI.so[+f384]
1.74%     libopusV2JNI.so[+b0b4]
1.68%     libopusV2JNI.so[+f798]
1.65%     libopusV2JNI.so[+17304]
1.63%     libopusV2JNI.so[+145d8]
1.52%     libopusV2JNI.so[+16958]
1.48%     libopusV2JNI.so[+16904]
1.46%     libopusV2JNI.so[+13584]
1.41%     libopusV2JNI.so[+f3c0]
1.24%     libopusV2JNI.so[+1458c]
1.21%     libopusV2JNI.so[+b8e4]
1.14%     libopusV2JNI.so[+f790]
1.08%     libopusV2JNI.so[+14a88]
1.04%     libopusV2JNI.so[+169e8]
0.92%     libopusV2JNI.so[+15084]
0.92%     libopusV2JNI.so[+11974]
0.91%     libopusV2JNI.so[+f78c]
0.91%     libopusV2JNI.so[+15080]
0.89%     libopusV2JNI.so[+11970]
0.85%     libopusV2JNI.so[+14588]
0.79%     libopusV2JNI.so[+15208]
0.77%     libopusV2JNI.so[+172b0]
0.75%     libopusV2JNI.so[+16dc0]
0.74%     libopusV2JNI.so[+132a8]
0.72%     libopusV2JNI.so[+1374c]
0.72%     libopusV2JNI.so[+169ac]
0.67%     libopusV2JNI.so[+132ac]
0.66%     libopusV2JNI.so[+152d4]
0.61%     libopusV2JNI.so[+15010]
0.58%     libopusV2JNI.so[+17144]
0.58%     libopusV2JNI.so[+b0f4]
0.54%     libopusV2JNI.so[+15044]
0.53%     libopusV2JNI.so[+16e18]
0.51%     libopusV2JNI.so[+13528]
0.50%     libopusV2JNI.so[+16908]
0.50%     libopusV2JNI.so[+16e24]
0.49%     libopusV2JNI.so[+b0d4]
0.48%     libopusV2JNI.so[+169f4]
0.47%     libopusV2JNI.so[+17100]
0.46%     libopusV2JNI.so[+1353c]
0.44%     libopusV2JNI.so[+15094]
0.43%     libopusV2JNI.so[+152c0]
0.42%     libopusV2JNI.so[+f3cc]
0.41%     libopusV2JNI.so[+14fe4]
0.41%     libopusV2JNI.so[+14ff4]
0.39%     libopusV2JNI.so[+13ba0]
0.39%     libopusV2JNI.so[+150bc]
0.39%     libopusV2JNI.so[+132a4]
0.39%     libopusV2JNI.so[+150b8]
0.38%     libopusV2JNI.so[+12d5c]
0.38%     libopusV2JNI.so[+b030]
0.38%     libopusV2JNI.so[+15090]
0.37%     libopusV2JNI.so[+b110]
0.37%     libopusV2JNI.so[+af2c]
0.35%     libopusV2JNI.so[+15cc0]
0.34%     libopusV2JNI.so[+1501c]
0.34%     libopusV2JNI.so[+16ff8]
0.33%     libopusV2JNI.so[+14f84]
0.33%     libopusV2JNI.so[+f380]
0.33%     libopusV2JNI.so[+1715c]
0.33%     libopusV2JNI.so[+16f38]
0.32%     libopusV2JNI.so[+170e8]
0.32%     libopusV2JNI.so[+16a2c]
0.32%     libopusV2JNI.so[+16910]
0.32%     libopusV2JNI.so[+14a84]
0.32%     libopusV2JNI.so[+169a8]
0.31%     libopusV2JNI.so[+170bc]
0.31%     libopusV2JNI.so[+116a4]
0.30%     libopusV2JNI.so[+f3a4]
0.29%     libopusV2JNI.so[+150ac]
0.29%     libopusV2JNI.so[+13ea8]
0.29%     libopusV2JNI.so[+169a0]
0.28%     libopusV2JNI.so[+1546c]
0.28%     libopusV2JNI.so[+145ac]
0.27%     libopusV2JNI.so[+17074]
0.26%     libopusV2JNI.so[+13580]
0.26%     libopusV2JNI.so[+15038]
0.26%     libopusV2JNI.so[+14fc8]
0.26%     libopusV2JNI.so[+170d8]
0.25%     libopusV2JNI.so[+b8f0]
0.25%     libopusV2JNI.so[+15250]
0.25%     libopusV2JNI.so[+14fbc]
0.25%     libopusV2JNI.so[+1506c]
0.25%     libopusV2JNI.so[+14ff0]
0.25%     libopusV2JNI.so[+b108]
0.24%     libopusV2JNI.so[+14fe0]
0.24%     libopusV2JNI.so[+16e64]
0.23%     libopusV2JNI.so[+16914]
0.23%     libopusV2JNI.so[+12e54]
0.23%     libopusV2JNI.so[+13154]
0.23%     libopusV2JNI.so[+f388]
0.23%     libopusV2JNI.so[+140e0]
0.23%     libopusV2JNI.so[+af38]
0.23%     libopusV2JNI.so[+16f54]
0.22%     libopusV2JNI.so[+16bf0]
0.22%     libopusV2JNI.so[+169b4]
0.22%     libopusV2JNI.so[+143dc]
0.22%     libopusV2JNI.so[+14fd0]
0.22%     libopusV2JNI.so[+f7b0]
0.21%     libopusV2JNI.so[+145d4]
0.21%     libopusV2JNI.so[+16950]
0.21%     libopusV2JNI.so[+af24]
0.21%     libopusV2JNI.so[+1408c]
0.21%     libopusV2JNI.so[+14a80]
0.21%     libopusV2JNI.so[+af50]
0.21%     libopusV2JNI.so[+1695c]
0.21%     libopusV2JNI.so[+16d04]
0.20%     libopusV2JNI.so[+16c38]
0.20%     libopusV2JNI.so[+1690c]
0.20%     libopusV2JNI.so[+145a8]
0.20%     libopusV2JNI.so[+150d0]
0.20%     libopusV2JNI.so[+15024]
0.20%     libopusV2JNI.so[+16934]
0.19%     libopusV2JNI.so[+151ec]
0.19%     libopusV2JNI.so[+11988]
0.19%     libopusV2JNI.so[+12fa4]
0.19%     libopusV2JNI.so[+15074]
0.19%     libopusV2JNI.so[+1512c]
0.19%     libopusV2JNI.so[+142f8]
0.19%     libopusV2JNI.so[+132cc]
0.19%     libopusV2JNI.so[+15254]
0.18%     libopusV2JNI.so[+16954]
0.18%     libopusV2JNI.so[+12490]
0.18%     libopusV2JNI.so[+16f40]
0.18%     libopusV2JNI.so[+172a8]
0.18%     libopusV2JNI.so[+16704]
0.17%     libopusV2JNI.so[+16f30]
0.17%     libopusV2JNI.so[+11d94]
0.17%     libopusV2JNI.so[+11910]
0.17%     libopusV2JNI.so[+16a64]
0.17%     libopusV2JNI.so[+13bcc]
0.17%     libopusV2JNI.so[+138d8]
0.17%     libopusV2JNI.so[+b0dc]
0.16%     libopusV2JNI.so[+14fc4]
0.16%     libopusV2JNI.so[+b0fc]
0.16%     libopusV2JNI.so[+16a98]
0.16%     libopusV2JNI.so[+16900]
0.16%     libopusV2JNI.so[+17154]
0.16%     libopusV2JNI.so[+b0bc]
0.16%     libopusV2JNI.so[+172f0]
0.16%     libopusV2JNI.so[+14fd4]
0.15%     libopusV2JNI.so[+14c94]
0.15%     libopusV2JNI.so[+145f4]
0.15%     libopusV2JNI.so[+15060]
0.15%     libopusV2JNI.so[+15494]
0.15%     libopusV2JNI.so[+14fdc]
0.15%     libopusV2JNI.so[+14a50]
0.15%     libopusV2JNI.so[+140b0]
0.15%     libopusV2JNI.so[+113f8]
0.15%     libopusV2JNI.so[+17288]
0.15%     libopusV2JNI.so[+aff4]
0.15%     libopusV2JNI.so[+16930]
0.15%     libopusV2JNI.so[+170a8]
0.14%     libopusV2JNI.so[+145dc]
0.14%     libopusV2JNI.so[+16a5c]
0.14%     libopusV2JNI.so[+15a0c]
0.14%     libopusV2JNI.so[+16d10]
0.14%     libopusV2JNI.so[+13618]
0.14%     libopusV2JNI.so[+13ef0]
0.14%     libopusV2JNI.so[+170a0]
0.14%     libopusV2JNI.so[+15f18]
0.14%     libopusV2JNI.so[+171c0]
0.13%     libopusV2JNI.so[+142f4]
0.13%     libopusV2JNI.so[+df00]
0.13%     libopusV2JNI.so[+15200]
0.13%     libopusV2JNI.so[+16104]
0.13%     libopusV2JNI.so[+136e8]
0.13%     libopusV2JNI.so[+16a68]
0.13%     libopusV2JNI.so[+11424]
0.13%     libopusV2JNI.so[+b104]
0.13%     libopusV2JNI.so[+14fac]
0.13%     libopusV2JNI.so[+17268]
0.13%     libopusV2JNI.so[+f7ac]
0.13%     libopusV2JNI.so[+16bc8]
0.13%     libopusV2JNI.so[+11d90]
0.13%     libopusV2JNI.so[+150c0]
0.13%     libopusV2JNI.so[+132e0]
0.12%     libopusV2JNI.so[+12d84]
0.12%     libopusV2JNI.so[+11780]
0.12%     libopusV2JNI.so[+11db4]
0.12%     libopusV2JNI.so[+af58]
0.12%     libopusV2JNI.so[+1411c]
0.12%     libopusV2JNI.so[+17018]
0.12%     libopusV2JNI.so[+172d0]
0.12%     libopusV2JNI.so[+13bb0]
0.12%     libopusV2JNI.so[+170ac]
0.12%     libopusV2JNI.so[+15104]
0.12%     libopusV2JNI.so[+13bec]
0.11%     libopusV2JNI.so[+16138]
0.11%     libopusV2JNI.so[+13150]
0.11%     libopusV2JNI.so[+df24]
0.11%     libopusV2JNI.so[+15b98]
0.11%     libopusV2JNI.so[+140a4]
0.11%     libopusV2JNI.so[+136ec]
0.11%     libopusV2JNI.so[+15064]
0.11%     libopusV2JNI.so[+145b4]
0.11%     libopusV2JNI.so[+15c98]
0.11%     libopusV2JNI.so[+12354]
0.10%     libopusV2JNI.so[+f3a8]
0.10%     libopusV2JNI.so[+170c4]
0.10%     libopusV2JNI.so[+1549c]
0.10%     libopusV2JNI.so[+15458]
0.10%     libopusV2JNI.so[+16d54]
0.10%     libopusV2JNI.so[+13b1c]
0.10%     libopusV2JNI.so[+117a0]
0.10%     libopusV2JNI.so[+16d3c]
0.10%     libopusV2JNI.so[+1343c]
0.10%     libopusV2JNI.so[+17088]
0.10%     libopusV2JNI.so[+14280]
0.10%     libopusV2JNI.so[+13830]
0.10%     libopusV2JNI.so[+13554]
0.10%     libopusV2JNI.so[+15140]
0.10%     libopusV2JNI.so[+17230]
0.10%     libopusV2JNI.so[+16d94]
0.10%     libopusV2JNI.so[+13564]
0.10%     libopusV2JNI.so[+1503c]
0.10%     libopusV2JNI.so[+15454]
0.10%     libopusV2JNI.so[+af94]
0.09%     libopusV2JNI.so[+16d18]
0.09%     libopusV2JNI.so[+118d8]
0.09%     libopusV2JNI.so[+12d58]
0.09%     libopusV2JNI.so[+b024]
0.09%     libopusV2JNI.so[+173f0]
0.09%     libopusV2JNI.so[+1524c]
0.09%     libopusV2JNI.so[+14b80]
0.09%     libopusV2JNI.so[+150b0]
0.09%     libopusV2JNI.so[+150f4]
0.09%     libopusV2JNI.so[+132dc]
0.09%     libopusV2JNI.so[+16d1c]
0.09%     libopusV2JNI.so[+1592c]
0.09%     libopusV2JNI.so[+169d4]
0.09%     libopusV2JNI.so[+136dc]
0.09%     libopusV2JNI.so[+14584]
0.09%     libopusV2JNI.so[+16748]
0.09%     libopusV2JNI.so[+13504]
0.09%     libopusV2JNI.so[+13a34]
0.08%     libopusV2JNI.so[+13514]
0.08%     libopusV2JNI.so[+16d34]
0.08%     libopusV2JNI.so[+11804]
0.08%     libopusV2JNI.so[+14aec]
0.08%     libopusV2JNI.so[+169b0]
0.08%     libopusV2JNI.so[+17248]
0.08%     libopusV2JNI.so[+10ef4]
0.08%     libopusV2JNI.so[+118d0]
0.08%     libopusV2JNI.so[+12d74]
0.08%     libopusV2JNI.so[+afb4]
0.08%     libopusV2JNI.so[+13fd8]
0.08%     libopusV2JNI.so[+16d9c]
0.08%     libopusV2JNI.so[+13ae8]
0.08%     libopusV2JNI.so[+17140]
