Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 16696
Event count: 3425718507

Overhead  Symbol
11.32%    try_to_wake_up
7.89%     __wake_up_common_lock
4.65%     ___bpf_prog_run
3.33%     binder_ioctl_write_read
2.81%     binder_transaction
2.48%     arm_smmu_map_sg.cfi
2.45%     set_user_nice.cfi
1.96%     futex_wake
1.78%     memcpy
1.78%     binder_alloc_do_buffer_copy
1.65%     __seccomp_filter
1.64%     avc_lookup
1.45%     get_page_from_freelist
1.33%     run_timer_softirq.cfi
1.21%     clear_page
1.20%     el0_svc_naked
1.05%     __check_object_size.cfi
1.04%     do_page_fault.cfi
1.03%     link_path_walk
0.93%     __schedule
0.89%     selinux_inode_permission.cfi
0.86%     syscall_trace_enter.cfi
0.82%     change_protection.cfi
0.77%     __fget_light
0.76%     futex_wait_setup
0.76%     avc_has_perm_flags.cfi
0.74%     __legitimize_mnt.cfi
0.74%     dput.cfi
0.73%     kfree.cfi
0.72%     kmem_cache_alloc_trace.cfi
0.71%     walk_component
0.68%     do_futex.cfi
0.67%     binder_alloc_new_buf.cfi
0.63%     free_hot_cold_page.cfi
0.62%     memset
0.62%     __sys_trace
0.60%     lookup_fast
0.58%     unmap_page_range.cfi
0.56%     hrtimer_start_range_ns.cfi
0.56%     futex_wait
0.54%     generic_permission.cfi
0.54%     get_futex_key
0.53%     pagevec_lru_move_fn
0.51%     __arch_copy_from_user
0.51%     SyS_futex.cfi
0.51%     selinux_inode_follow_link.cfi
0.50%     filename_lookup
0.49%     do_vfs_ioctl.cfi
0.48%     kmem_cache_free.cfi
0.46%     __inode_permission2.cfi
0.45%     binder_transaction_buffer_release
0.44%     binder_alloc_copy_user_to_buffer.cfi
0.42%     __d_lookup_rcu.cfi
0.40%     arm_smmu_unmap.cfi
0.39%     kmem_cache_alloc.cfi
0.39%     strncpy_from_user.cfi
0.37%     release_pages.cfi
0.37%     __arch_copy_to_user
0.37%     binder_free_buf_locked
0.37%     fput.cfi
0.36%     binder_ioctl.cfi
0.35%     binder_proc_transaction
