Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 5617
Event count: 2463634078

Overhead  Symbol
15.06%    art::CodeInfo::Decode(unsigned char const*, art::CodeInfo::DecodeFlags)
5.38%     void art::gc::collector::ConcurrentCopying::Process<true>(art::mirror::Object*, art::MemberOffset)
5.36%     art::CodeInfo::BinarySearchNativePc(unsigned int) const
2.28%     bool art::interpreter::DoCall<false, false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, art::JValue*)
2.24%     void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
2.10%     art::Mutex::ExclusiveUnlock(art::Thread*)
1.89%     art::GoToRunnable(art::Thread*) (.llvm.3953742762497877575)
1.72%     art::interpreter::ArtInterpreterToCompiledCodeBridge(art::Thread*, art::ArtMethod*, art::ShadowFrame*, unsigned short, art::JValue*)
1.70%     art::CodeInfo::GetStackMapForNativePcOffset(unsigned int, art::InstructionSet) const
1.69%     art::ArtMethod::GetOatQuickMethodHeader(unsigned long)
1.62%     art::OatQuickMethodHeader::ToDexPc(art::ArtMethod*, unsigned long, bool) const
1.52%     art::gc::space::RegionSpace::PoisonDeadObjectsInUnevacuatedRegion(art::gc::space::RegionSpace::Region*)
1.51%     art::JniMethodStart(art::Thread*)
1.34%     MterpInvokeVirtualQuick
1.31%     artQuickToInterpreterBridge
1.20%     art_quick_lock_object
1.18%     art::ProfileSaver::FetchAndCacheResolvedClassesAndMethods(bool)
1.16%     art::Thread::DecodeJObject(_jobject*) const
1.16%     art::Mutex::ExclusiveLock(art::Thread*)
1.14%     art::Monitor::TryLockLocked(art::Thread*)
1.12%     art::JNI::GetStringUTFChars(_JNIEnv*, _jstring*, unsigned char*)
1.08%     art::Monitor::SignalContendersAndReleaseMonitorLock(art::Thread*)
1.06%     art::CodeInfo::CodeInfo(art::OatQuickMethodHeader const*, art::CodeInfo::DecodeFlags)
1.04%     art::InvokeVirtualOrInterfaceWithVarArgs(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jmethodID*, std::__va_list)
1.03%     MterpCommonTakenBranchNoFlags
0.95%     art::jit::JitCodeCache::GetProfiledMethods(std::__1::set<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::less<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > > const&, std::__1::vector<art::ProfileMethodInfo, std::__1::allocator<art::ProfileMethodInfo> >&)
0.93%     art::InternTable::Table::VisitRoots(art::RootVisitor*)
0.89%     art::JNI::GetLongField(_JNIEnv*, _jobject*, _jfieldID*)
0.88%     art::IndirectReferenceTable::Add(art::IRTSegmentState, art::ObjPtr<art::mirror::Object>, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
0.87%     art_quick_unlock_object
0.86%     art::gc::collector::ConcurrentCopying::Copy(art::Thread*, art::mirror::Object*, art::mirror::Object*, art::MemberOffset)
0.83%     art_quick_invoke_stub
0.83%     art_quick_alloc_object_initialized_region_tlab
0.79%     art::Monitor::MonitorEnter(art::Thread*, art::ObjPtr<art::mirror::Object>, bool)
0.73%     MterpInvokeStatic
0.71%     art::IndirectReferenceTable::GetChecked(void*) const
0.69%     MterpInvokeInterface
0.64%     artAllocStringFromCharsFromCodeRegionTLAB
0.63%     art::gc::ReferenceProcessor::GetReferent(art::Thread*, art::ObjPtr<art::mirror::Reference>)
0.62%     art::jit::JitCodeCache::SweepRootTables(art::IsMarkedVisitor*)
0.61%     art::Thread::GetCurrentMethod(unsigned int*, bool, bool) const
0.59%     MterpInvokeDirect
0.58%     void art::mirror::Object::VisitReferences<true, (art::VerifyObjectFlags)0, (art::ReadBarrierOption)1, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true>, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> >(art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> const&, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> const&)
0.55%     void art::Monitor::Lock<(art::LockReason)1>(art::Thread*)
0.52%     art_quick_imt_conflict_trampoline
0.51%     art::jit::Jit::MaybeCompileMethod(art::Thread*, art::ArtMethod*, unsigned int, unsigned int, bool)
0.48%     art::JNI::CallObjectMethodV(_JNIEnv*, _jobject*, _jmethodID*, std::__va_list)
0.47%     _ZZN3art12StackVisitor9WalkStackILNS0_16CountTransitionsE0EZNKS_6Thread16GetCurrentMethodEPjbbE4$_76EEvRKT0_PS3_PNS_7ContextENS0_13StackWalkKindEbbEN18LambdaStackVisitor10VisitFrameEv$08fa14c93433ff77ec2a9d2c30e89af2
0.46%     art_quick_indexof
0.44%     art::mirror::Class::FindVirtualMethodForVirtualOrInterface(art::ArtMethod*, art::PointerSize)
0.43%     art::JniMethodFastEnd(unsigned int, art::Thread*)
0.42%     art::StackVisitor::GetCurrentQuickFrameInfo() const
0.39%     MterpSGetObj
0.39%     art::ArtMethod* art::ClassLinker::ResolveMethod<(art::ClassLinker::ResolveMode)0>(art::Thread*, unsigned int, art::ArtMethod*, art::InvokeType)
0.39%     art::OatQuickMethodHeader::GetFrameInfo() const
0.38%     art::Monitor::MonitorExit(art::Thread*, art::ObjPtr<art::mirror::Object>)
0.37%     art_quick_to_interpreter_bridge
0.36%     art::gc::collector::ConcurrentCopying::CopyingPhase()
0.36%     art::ConditionVariable::RequeueWaiters(int)
0.36%     art::jit::Jit::MethodEntered(art::Thread*, art::ArtMethod*)
0.35%     art::GetClassesVisitor::operator()(art::ObjPtr<art::mirror::Class>)
0.34%     @plt
0.33%     art::JNI::CallVoidMethodV(_JNIEnv*, _jobject*, _jmethodID*, std::__va_list)
0.33%     art::gc::collector::ConcurrentCopying::ProcessMarkStackRef(art::mirror::Object*)
0.33%     _jthrowable* art::JNIEnvExt::AddLocalReference<_jthrowable*>(art::ObjPtr<art::mirror::Object>)
0.32%     art::StackVisitor::GetDexPc(bool) const
0.32%     art::StackVisitor::GetMethod() const
0.32%     art::ResolveVerifyAndClinit(art::dex::TypeIndex, art::ArtMethod*, art::Thread*, bool, bool)
0.31%     MterpNewArray
0.31%     MterpNewInstance
0.29%     art_quick_invoke_static_stub
0.28%     art::ReferenceMapVisitor<art::RootCallbackVisitor, false>::VisitFrame()
0.28%     MterpAddHotnessBatch
0.27%     art::Monitor::Unlock(art::Thread*)
0.27%     art::ArtMethod::Invoke(art::Thread*, unsigned int*, unsigned int, art::JValue*, char const*)
0.27%     art::ClassLinker::ShouldUseInterpreterEntrypoint(art::ArtMethod*, void const*)
0.26%     art::mirror::String::ToCharArray(art::Thread*)
