Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 4270
Event count: 4689998799

Overhead  Symbol
3.02%     libopusV2JNI.so[+b0a4]
2.16%     libopusV2JNI.so[+16da8]
2.09%     libopusV2JNI.so[+f384]
1.95%     libopusV2JNI.so[+b0b4]
1.92%     libopusV2JNI.so[+f798]
1.82%     libopusV2JNI.so[+13584]
1.75%     libopusV2JNI.so[+b8e4]
1.69%     libopusV2JNI.so[+17304]
1.66%     libopusV2JNI.so[+16958]
1.52%     libopusV2JNI.so[+16904]
1.47%     libopusV2JNI.so[+169e8]
1.47%     libopusV2JNI.so[+145d8]
1.28%     libopusV2JNI.so[+1458c]
1.10%     libopusV2JNI.so[+f790]
1.09%     libopusV2JNI.so[+11974]
1.02%     libopusV2JNI.so[+15080]
1.01%     libopusV2JNI.so[+15208]
0.99%     libopusV2JNI.so[+f3c0]
0.97%     libopusV2JNI.so[+16dc0]
0.95%     libopusV2JNI.so[+17100]
0.95%     libopusV2JNI.so[+14588]
0.92%     libopusV2JNI.so[+11970]
0.89%     libopusV2JNI.so[+132a8]
0.86%     libopusV2JNI.so[+169ac]
0.83%     libopusV2JNI.so[+f78c]
0.82%     libopusV2JNI.so[+14a88]
0.80%     libopusV2JNI.so[+15044]
0.73%     libopusV2JNI.so[+132ac]
0.70%     libopusV2JNI.so[+b030]
0.63%     libopusV2JNI.so[+af2c]
0.62%     libopusV2JNI.so[+b0d4]
0.60%     libopusV2JNI.so[+152d4]
0.57%     libopusV2JNI.so[+f3cc]
0.57%     libopusV2JNI.so[+12d5c]
0.55%     libopusV2JNI.so[+15010]
0.55%     libopusV2JNI.so[+14fe4]
0.53%     libopusV2JNI.so[+172b0]
0.52%     libopusV2JNI.so[+b0f4]
0.51%     libopusV2JNI.so[+16e24]
0.48%     libopusV2JNI.so[+b8f0]
0.48%     libopusV2JNI.so[+16910]
0.47%     libopusV2JNI.so[+16e18]
0.45%     libopusV2JNI.so[+1501c]
0.45%     libopusV2JNI.so[+b110]
