Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 5163
Event count: 2558029736

Overhead  Symbol
6.17%     MterpInvokeVirtualQuick
4.89%     art::interpreter::ArtInterpreterToCompiledCodeBridge(art::Thread*, art::ArtMethod*, art::ShadowFrame*, unsigned short, art::JValue*)
3.62%     bool art::interpreter::DoCall<false, false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, art::JValue*)
3.17%     MterpInvokeInterface
2.73%     artQuickToInterpreterBridge
2.66%     void art::gc::collector::ConcurrentCopying::Process<true>(art::mirror::Object*, art::MemberOffset)
2.28%     art::CodeInfo::DecodeInlineInfoOnly(art::OatQuickMethodHeader const*)
1.90%     MterpInvokeStatic
1.68%     art::mirror::Class::FindClassMethod(art::ObjPtr<art::mirror::DexCache>, unsigned int, art::PointerSize)
1.52%     art::ResolveVerifyAndClinit(art::dex::TypeIndex, art::ArtMethod*, art::Thread*, bool, bool)
1.51%     MterpAddHotnessBatch
1.43%     art::Thread::DecodeJObject(_jobject*) const
1.32%     MterpInvokeDirect
1.31%     MterpSetUpHotnessCountdown
1.25%     art::ArtMethod* art::ClassLinker::ResolveMethod<(art::ClassLinker::ResolveMode)0>(art::Thread*, unsigned int, art::ArtMethod*, art::InvokeType)
1.20%     art::CodeInfo::GetStackMapForNativePcOffset(unsigned int, art::InstructionSet) const
1.02%     art::JNI<false>::GetLongField(_JNIEnv*, _jobject*, _jfieldID*)
1.02%     art::GoToRunnable(art::Thread*)
0.98%     art::JValue art::InvokeVirtualOrInterfaceWithVarArgs<art::ArtMethod*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, art::ArtMethod*, std::__va_list)
0.92%     art::Mutex::ExclusiveTryLockWithSpinning(art::Thread*)
0.88%     art_quick_invoke_stub
0.86%     art::ProfileSaver::FetchAndCacheResolvedClassesAndMethods(bool)
0.86%     art::ArtMethod::Invoke(art::Thread*, unsigned int*, unsigned int, art::JValue*, char const*)
0.83%     void art::interpreter::ExecuteSwitchImplCpp<true, false>(art::interpreter::SwitchImplContext*)
0.82%     art::jit::JitCodeCache::GetProfiledMethods(std::__1::set<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::less<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > > const&, std::__1::vector<art::ProfileMethodInfo, std::__1::allocator<art::ProfileMethodInfo> >&)
0.81%     art::OatQuickMethodHeader::GetCodeSize() const
0.79%     art::ReadBarrier::Mark(art::mirror::Object*)
0.78%     MterpCommonTakenBranchNoFlags
0.74%     art_quick_lock_object
0.73%     @plt
0.71%     art::IndirectReferenceTable::Add(art::IRTSegmentState, art::ObjPtr<art::mirror::Object>, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
0.71%     art::gc::collector::ConcurrentCopying::Copy(art::Thread*, art::mirror::Object*, art::mirror::Object*, art::MemberOffset)
0.71%     art::ClassLinker::ShouldUseInterpreterEntrypoint(art::ArtMethod*, void const*)
0.70%     art_quick_imt_conflict_trampoline
0.69%     MterpCheckCast
0.64%     art::jit::Jit::MaybeCompileMethod(art::Thread*, art::ArtMethod*, unsigned int, unsigned int, bool)
0.64%     artAllocStringFromCharsFromCodeRegionTLAB
0.64%     art::Monitor::MonitorEnter(art::Thread*, art::ObjPtr<art::mirror::Object>, bool)
0.63%     art::DoGetCalleeSaveMethodCaller(art::ArtMethod*, unsigned long, bool) (.llvm.1588540214437807743)
0.63%     art::JniMethodStart(art::Thread*)
0.61%     art::ProfilingInfo::GetInlineCache(unsigned int)
0.58%     art::interpreter::CheckStackOverflow(art::Thread*, unsigned long)
0.58%     mterp_op_iget_object_quick
0.58%     art::Monitor::TryLock(art::Thread*, bool)
0.56%     art::GetCalleeSaveMethodCaller(art::ArtMethod**, art::CalleeSaveType, bool)
0.56%     artIGetObjectFromMterp
0.54%     art::interpreter::Execute(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame&, art::JValue, bool, bool) (.llvm.7274503973381030938)
0.52%     art::Mutex::ExclusiveUnlock(art::Thread*)
0.52%     art::Monitor::MonitorExit(art::Thread*, art::ObjPtr<art::mirror::Object>)
0.50%     art::gc::collector::ConcurrentCopying::IsMarked(art::mirror::Object*)
0.49%     mterp_op_invoke_virtual_quick
0.49%     art::IndirectReferenceTable::GetChecked(void*) const
0.48%     ExecuteMterpImpl
0.47%     art::jit::Jit::InvokeVirtualOrInterface(art::ObjPtr<art::mirror::Object>, art::ArtMethod*, unsigned int, art::ArtMethod*)
0.47%     art::mirror::Class::FindVirtualMethodForVirtualOrInterface(art::ArtMethod*, art::PointerSize)
0.46%     void art::gc::accounting::SpaceBitmap<8ul>::VisitMarkedRange<art::gc::collector::ConcurrentCopying::CopyingPhase()::$_8 const&>(unsigned long, unsigned long, art::gc::collector::ConcurrentCopying::CopyingPhase()::$_8 const&&&) const
0.46%     art::JNI<false>::CallObjectMethodV(_JNIEnv*, _jobject*, _jmethodID*, std::__va_list)
0.46%     void art::mirror::Object::VisitReferences<true, (art::VerifyObjectFlags)0, (art::ReadBarrierOption)1, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true>, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> >(art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> const&, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> const&)
0.46%     art::jit::Jit::MethodEntered(art::Thread*, art::ArtMethod*)
0.46%     void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.46%     art::interpreter::UseFastInterpreterToInterpreterInvoke(art::ArtMethod*)
0.45%     art_quick_to_interpreter_bridge
0.45%     art::ArtMethod::GetOatQuickMethodHeader(unsigned long)
0.45%     art::Signature::operator==(art::Signature const&) const
0.44%     art_quick_unlock_object
0.42%     art::ClassTable::Lookup(char const*, unsigned long)
0.41%     art::gc::ReferenceProcessor::GetReferent(art::Thread*, art::ObjPtr<art::mirror::Reference>)
0.41%     mterp_op_return
0.40%     art::JNI<false>::CallVoidMethodV(_JNIEnv*, _jobject*, _jmethodID*, std::__va_list)
0.39%     art_quick_alloc_object_initialized_region_tlab
0.39%     art::QuickArgumentVisitor::VisitArguments()
0.38%     MterpInvokeDirectRange
0.37%     art::GetClassesVisitor::operator()(art::ObjPtr<art::mirror::Class>)
0.36%     art::ClassLinker::ResolveField(unsigned int, art::Handle<art::mirror::DexCache>, art::Handle<art::mirror::ClassLoader>, bool)
0.36%     MterpInvokeInterfaceRange
0.35%     art::Monitor::CheckLockOwnerRequest(art::Thread*)
0.35%     art::GetResolvedMethod(art::ArtMethod*, art::CodeInfo const&, art::BitTableRange<art::InlineInfo> const&)
0.34%     art_quick_indexof
0.33%     mterp_op_iget_quick
0.33%     art::mirror::Class::FindInterfaceMethod(std::__1::basic_string_view<char, std::__1::char_traits<char> >, art::Signature const&, art::PointerSize)
0.31%     art::interpreter::EnterInterpreterFromEntryPoint(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame*)
0.31%     art::gc::collector::ConcurrentCopying::ImmuneSpaceScanObjVisitor::Callback(art::mirror::Object*, void*)
0.31%     MterpSGetObj
0.31%     MterpIputObjectQuick
0.30%     art::Reference_getReferent(_JNIEnv*, _jobject*)
0.30%     mterp_op_check_cast
0.30%     art::JNI<false>::CallLongMethodV(_JNIEnv*, _jobject*, _jmethodID*, std::__va_list)
0.30%     MterpNewInstance
0.29%     MterpConstString
0.29%     art::ArtMethod* art::ClassLinker::ResolveMethod<(art::ClassLinker::ResolveMode)1>(unsigned int, art::Handle<art::mirror::DexCache>, art::Handle<art::mirror::ClassLoader>, art::ArtMethod*, art::InvokeType)
0.27%     mterp_op_const_4
0.26%     art::jit::JitCodeCache::ContainsPc(void const*) const
0.26%     MterpInvokeSuper
0.26%     art::JniMethodEndWithReferenceHandleResult(_jobject*, unsigned int, art::Thread*)
0.26%     art::Mutex::ExclusiveLock(art::Thread*)
0.25%     art::gc::collector::ConcurrentCopying::PushOntoMarkStack(art::Thread*, art::mirror::Object*)
0.25%     mterp_op_invoke_static
