Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 4163
Event count: 4718137480

Overhead  Symbol
1.19%     libopusV2JNI.so[+f794]
1.09%     libopusV2JNI.so[+f7a0]
0.93%     libopusV2JNI.so[+f798]
0.84%     libopusV2JNI.so[+11980]
0.79%     libopusV2JNI.so[+14a8c]
0.79%     libopusV2JNI.so[+14a88]
0.77%     libopusV2JNI.so[+1197c]
0.76%     libopusV2JNI.so[+b8e0]
0.75%     libopusV2JNI.so[+b8e8]
0.71%     libopusV2JNI.so[+b0c8]
0.69%     libopusV2JNI.so[+f78c]
0.68%     libopusV2JNI.so[+f384]
0.67%     libopusV2JNI.so[+b0f8]
0.64%     libopusV2JNI.so[+b0e0]
0.63%     libopusV2JNI.so[+b8f0]
0.62%     libopusV2JNI.so[+b0e8]
0.62%     libopusV2JNI.so[+f3c8]
0.57%     libopusV2JNI.so[+1692c]
0.56%     libopusV2JNI.so[+12d64]
0.54%     libopusV2JNI.so[+f3bc]
0.53%     libopusV2JNI.so[+14a84]
0.51%     libopusV2JNI.so[+f7a8]
0.50%     libopusV2JNI.so[+b0c4]
0.50%     libopusV2JNI.so[+15264]
0.50%     libopusV2JNI.so[+145ac]
0.48%     libopusV2JNI.so[+f390]
0.47%     libopusV2JNI.so[+1691c]
0.46%     libopusV2JNI.so[+11988]
0.46%     libopusV2JNI.so[+b100]
0.44%     libopusV2JNI.so[+15080]
0.43%     libopusV2JNI.so[+16918]
0.42%     libopusV2JNI.so[+16960]
0.42%     libopusV2JNI.so[+16908]
0.42%     libopusV2JNI.so[+b0d4]
0.41%     libopusV2JNI.so[+16904]
0.41%     libopusV2JNI.so[+132b4]
0.39%     libopusV2JNI.so[+f3b0]
0.38%     libopusV2JNI.so[+14590]
0.37%     libopusV2JNI.so[+b0c0]
0.37%     libopusV2JNI.so[+16db0]
0.36%     libopusV2JNI.so[+16a04]
0.36%     libopusV2JNI.so[+14598]
0.36%     libopusV2JNI.so[+16d1c]
0.35%     libopusV2JNI.so[+16924]
0.34%     libopusV2JNI.so[+16920]
0.34%     libopusV2JNI.so[+132d0]
0.34%     libopusV2JNI.so[+f3c4]
0.34%     libopusV2JNI.so[+169c0]
0.32%     libopusV2JNI.so[+145dc]
0.32%     libopusV2JNI.so[+14fd0]
0.32%     libopusV2JNI.so[+b0b8]
0.32%     libopusV2JNI.so[+b0a8]
0.31%     libopusV2JNI.so[+f3ac]
0.31%     libopusV2JNI.so[+f3a4]
0.31%     libopusV2JNI.so[+f39c]
0.31%     libopusV2JNI.so[+14a98]
0.30%     libopusV2JNI.so[+16f74]
0.30%     libopusV2JNI.so[+b0d0]
0.30%     libopusV2JNI.so[+b0dc]
0.29%     libopusV2JNI.so[+12d60]
0.29%     libopusV2JNI.so[+11974]
0.29%     libopusV2JNI.so[+1353c]
0.29%     libopusV2JNI.so[+169e8]
0.28%     libopusV2JNI.so[+16d0c]
0.28%     libopusV2JNI.so[+15090]
0.28%     libopusV2JNI.so[+169ac]
0.27%     libopusV2JNI.so[+169d8]
0.26%     libopusV2JNI.so[+1693c]
0.26%     libopusV2JNI.so[+1357c]
0.26%     libopusV2JNI.so[+145a8]
0.26%     libopusV2JNI.so[+13158]
0.26%     libopusV2JNI.so[+16a0c]
0.26%     libopusV2JNI.so[+1501c]
0.26%     libopusV2JNI.so[+13580]
0.25%     libopusV2JNI.so[+f7b0]
0.25%     libopusV2JNI.so[+150cc]
0.25%     libopusV2JNI.so[+16910]
0.25%     libopusV2JNI.so[+14fc4]
0.25%     libopusV2JNI.so[+14ff0]
0.25%     libopusV2JNI.so[+132c8]
0.25%     libopusV2JNI.so[+15208]
0.25%     libopusV2JNI.so[+15088]
0.24%     libopusV2JNI.so[+11da0]
0.24%     libopusV2JNI.so[+16d24]
0.24%     libopusV2JNI.so[+16958]
0.24%     libopusV2JNI.so[+13588]
0.24%     libopusV2JNI.so[+169c4]
0.24%     libopusV2JNI.so[+b0ec]
0.23%     libopusV2JNI.so[+14fe4]
0.23%     libopusV2JNI.so[+16d2c]
0.23%     libopusV2JNI.so[+145d8]
