Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 11828
Event count: 2763329611

Overhead  Symbol
14.54%    try_to_wake_up
8.18%     __wake_up_common_lock
4.02%     el0_svc_common
3.58%     binder_transaction
3.23%     __seccomp_filter
2.50%     set_user_nice
2.45%     binder_alloc_do_buffer_copy
2.19%     binder_thread_read
2.12%     change_protection
1.85%     futex_wake
1.68%     __arch_copy_to_user
1.68%     $x.3758
1.51%     __arm64_sys_clock_gettime
1.34%     arch_counter_get_cntvct
1.33%     __fget_light
1.33%     syscall_trace_exit
1.30%     memcpy
1.30%     ktime_get_ts64
1.08%     do_futex
1.07%     binder_thread_write
0.99%     clear_page
0.97%     syscall_trace_enter
0.95%     do_epoll_wait
0.94%     hrtimer_start_range_ns
0.90%     get_page_from_freelist
0.89%     kfree
0.88%     __check_object_size
0.87%     get_futex_key
0.78%     binder_alloc_new_buf
0.74%     __schedule
0.65%     avc_lookup
0.63%     __arch_copy_from_user
0.63%     binder_ioctl_write_read
0.59%     futex_wait
0.55%     __arm64_sys_futex
0.54%     binder_alloc_copy_user_to_buffer
0.53%     futex_wait_setup
0.53%     binder_transaction_buffer_release
0.53%     pagevec_lru_move_fn
0.51%     binder_get_thread
0.50%     binder_proc_transaction
0.49%     unmap_page_range
0.48%     binder_alloc_prepare_to_free
0.48%     kmem_cache_alloc_trace
0.46%     binder_do_set_priority
0.44%     free_unref_page_list
0.44%     fpsimd_load_state
0.41%     ktime_get_with_offset
0.40%     selinux_file_ioctl
0.39%     __typeid__ZTSFlPK7pt_regsE_global_addr
0.39%     handle_mm_fault
0.38%     binder_ioctl
0.38%     __softirqentry_text_start
0.37%     __list_del_entry_valid
0.36%     run_timer_softirq
0.35%     do_page_fault
0.35%     arch_timer_read_cntvct_el0.41920
0.34%     eventfd_write
0.33%     __arm64_sys_ioctl
0.32%     binder_insert_free_buffer
0.32%     avc_has_extended_perms
0.31%     binder_update_page_range
0.31%     unix_dgram_recvmsg
0.30%     __memset
0.29%     __arm64_sys_epoll_pwait
0.28%     _raw_spin_unlock_irqrestore
0.28%     prepare_to_wait
0.28%     get_futex_value_locked
0.27%     el0_da
0.27%     posix_ktime_get_ts
0.27%     rb_erase
0.26%     release_pages
0.26%     __arm64_sys_getuid
0.26%     arch_counter_read
0.24%     fput
0.24%     ktime_get
0.24%     futex_wait_queue_me
0.24%     do_vfs_ioctl
0.23%     unmapped_area_topdown
0.23%     binder_free_buf_locked
0.22%     finish_task_switch
0.22%     select_estimate_accuracy
0.22%     posix_get_boottime
0.21%     ep_send_events_proc
0.19%     kmem_cache_free
0.18%     __alloc_fd
0.18%     el0_svc_handler
0.17%     __sys_recvfrom
0.17%     hrtimer_init
0.16%     kmem_cache_alloc
0.16%     ep_scan_ready_list
0.15%     binder_free_transaction
0.15%     __d_lookup_rcu
0.15%     filp_close
0.15%     binder_proc_dec_tmpref
0.15%     schedule_hrtimeout_range_clock
0.14%     avtab_search_node
0.14%     ep_item_poll
0.14%     run_rebalance_domains
0.14%     free_pcp_prepare
0.14%     remap_pfn_range
0.14%     binder_dec_node_tmpref
0.13%     vma_link
0.13%     binder_stat_br
0.13%     ret_to_user
0.13%     binder_thread_dec_tmpref
0.13%     __close_fd
0.12%     el0_svc
0.12%     futex_requeue
0.12%     __skb_try_recv_datagram
0.12%     do_notify_resume
0.12%     avc_has_perm
0.12%     binder_wakeup_thread_ilocked
0.11%     link_path_walk
0.11%     get_mem_cgroup_from_mm
0.11%     list_lru_del
0.11%     mem_cgroup_try_charge
0.11%     format_decode
0.10%     fpsimd_bind_task_to_cpu
0.10%     binder_delete_free_buffer
0.10%     note_gp_changes
0.10%     __typeid__ZTSFiiP10timespec64E_global_addr
0.09%     rebalance_domains
0.09%     hrtimer_try_to_cancel
0.09%     finish_wait
0.09%     perf_iterate_ctx
0.09%     selinux_capable
0.09%     __typeid__ZTSFyP11clocksourceE_global_addr
0.08%     eventfd_read
0.08%     perf_output_begin
0.08%     __typeid__ZTSFyvE_global_addr
0.08%     binder_dec_node_nilocked
0.08%     vmacache_find
0.08%     __local_bh_enable_ip
0.08%     do_munmap
0.08%     cap_capable
0.08%     mem_cgroup_commit_charge
0.08%     plist_add
0.08%     selinux_binder_transaction
0.08%     prep_new_page
0.08%     fsnotify
0.07%     rwsem_spin_on_owner
0.07%     vsnprintf
0.07%     task_fpsimd_load
0.07%     locks_remove_posix
0.07%     _copy_to_iter
0.07%     __vma_link_rb
0.07%     do_mem_abort
0.07%     __rb_insert_augmented
0.07%     sock_poll
0.07%     task_sched_runtime
0.06%     ktime_get_real_ts64
0.06%     walk_component
0.06%     sync_mm_rss
0.06%     selinux_socket_recvmsg
0.06%     __arm64_sys_madvise
0.06%     context_struct_compute_av
0.06%     local_bh_enable
0.06%     lookup_fast
0.06%     try_charge
0.06%     __kmalloc_track_caller
0.06%     swake_up_one
0.06%     file_has_perm
0.06%     ksys_dup
0.06%     inode_permission
0.06%     binder_inc_ref_for_node
0.05%     dmabuffs_dname
0.05%     __follow_mount_rcu
0.05%     vfs_write
0.05%     security_file_permission
0.05%     __arm64_sys_close
0.05%     unix_dgram_poll
0.05%     fpsimd_restore_current_state
0.05%     ebitmap_contains
0.05%     generic_permission
0.05%     membarrier_private_expedited
0.05%     mmap_region
0.05%     check_stack_object
0.05%     __set_page_dirty_nobuffers
0.05%     file_map_prot_check
0.05%     string
0.05%     ipv4_mtu
0.05%     kthread_queue_work
0.04%     path_init
0.04%     f2fs_getattr
0.04%     dnotify_flush
0.04%     f2fs_inode_synced
0.04%     perf_event_mmap_output
0.04%     __arm64_sys_write
0.04%     ipt_do_table
0.04%     file_update_time
0.04%     __kmalloc
0.04%     vm_mmap_pgoff
0.04%     binder_translate_fd
0.04%     rb_insert_color
0.04%     uncharge_batch
0.04%     utf8nlookup
0.04%     terminate_walk
0.04%     file_remove_privs
0.04%     __se_sys_gettimeofday
0.04%     mls_compute_context_len
0.04%     put_cpu_partial
0.04%     selinux_file_permission
0.04%     set_root.11046
0.04%     __fd_install
0.04%     get_next_ino
0.04%     perf_iterate_sb
0.04%     ksys_read
0.04%     rcu_process_callbacks
0.03%     rw_copy_check_uvector
0.03%     __cfi_slowpath
0.03%     __perf_event_header__init_id
0.03%     queue_work_on
0.03%     uncharge_page
0.03%     __vma_rb_erase
0.03%     sock_alloc_send_pskb
0.03%     selinux_inode_permission
0.03%     f2fs_write_begin
0.03%     __typeid__ZTSFiP11task_structS0_E_global_addr
0.03%     avc_has_perm_flags
0.03%     blocking_notifier_call_chain
0.03%     __fsnotify_parent
0.03%     perf_output_put_handle
0.03%     __sock_create
0.03%     plist_del
0.03%     sock_wfree
0.03%     page_add_new_anon_rmap
0.03%     locks_get_lock_context
0.03%     vfree_atomic
0.03%     cap_mmap_addr
0.03%     fget
0.03%     __kfree_skb
0.03%     sock_recvmsg
0.03%     dma_buf_llseek
0.03%     release_sock
0.03%     skb_release_data
0.03%     posix_clock_realtime_get
0.03%     dput
0.03%     cleanup_module
0.03%     prepare_creds
0.03%     vfs_read
0.03%     mls_compute_sid
0.03%     expand_files
0.03%     __typeid__ZTSFiP4filejmE_global_addr
0.02%     d_path
0.02%     shmem_evict_inode
0.02%     locks_copy_lock
