Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 2870
Event count: 1196373175

Overhead  Symbol
3.37%     art::jit::JitCodeCache::GetProfiledMethods(std::__1::set<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::less<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > > const&, std::__1::vector<art::ProfileMethodInfo, std::__1::allocator<art::ProfileMethodInfo> >&)
3.35%     art::interpreter::ArtInterpreterToCompiledCodeBridge(art::Thread*, art::ArtMethod*, art::ShadowFrame*, unsigned short, art::JValue*)
3.20%     art::CodeInfo::DecodeInlineInfoOnly(art::OatQuickMethodHeader const*)
3.16%     artQuickToInterpreterBridge
2.86%     MterpInvokeVirtualQuick
2.74%     art::CodeInfo::GetStackMapForNativePcOffset(unsigned int, art::InstructionSet) const
2.61%     bool art::interpreter::DoCall<false, false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, art::JValue*)
2.61%     art::ProfileSaver::FetchAndCacheResolvedClassesAndMethods(bool)
2.27%     art::Mutex::ExclusiveTryLockWithSpinning(art::Thread*)
2.24%     art::JValue art::InvokeVirtualOrInterfaceWithVarArgs<art::ArtMethod*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, art::ArtMethod*, std::__va_list)
2.13%     art::Thread::DecodeJObject(_jobject*) const
1.88%     art::JNI<false>::GetLongField(_JNIEnv*, _jobject*, _jfieldID*)
1.78%     art::GoToRunnable(art::Thread*)
1.73%     MterpInvokeInterface
1.73%     art_quick_imt_conflict_trampoline
1.34%     MterpInvokeStatic
1.33%     @plt
1.32%     art::Monitor::TryLock(art::Thread*, bool)
1.32%     art::IndirectReferenceTable::GetChecked(void*) const
1.32%     art::IndirectReferenceTable::Add(art::IRTSegmentState, art::ObjPtr<art::mirror::Object>, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
1.28%     art::ResolveVerifyAndClinit(art::dex::TypeIndex, art::ArtMethod*, art::Thread*, bool, bool)
1.25%     art::gc::ReferenceProcessor::GetReferent(art::Thread*, art::ObjPtr<art::mirror::Reference>)
1.19%     art::OatQuickMethodHeader::GetCodeSize() const
1.18%     art::ArtMethod::Invoke(art::Thread*, unsigned int*, unsigned int, art::JValue*, char const*)
1.14%     art::JniMethodStart(art::Thread*)
1.11%     art::mirror::Class::FindClassMethod(art::ObjPtr<art::mirror::DexCache>, unsigned int, art::PointerSize)
1.03%     art::jit::Jit::MethodEntered(art::Thread*, art::ArtMethod*)
1.03%     art::JNI<false>::CallObjectMethodV(_JNIEnv*, _jobject*, _jmethodID*, std::__va_list)
1.00%     art::Monitor::MonitorEnter(art::Thread*, art::ObjPtr<art::mirror::Object>, bool)
0.95%     art_quick_lock_object
0.94%     art::ArtMethod* art::ClassLinker::ResolveMethod<(art::ClassLinker::ResolveMode)0>(art::Thread*, unsigned int, art::ArtMethod*, art::InvokeType)
0.93%     art::CodeInfo::GetInlineInfosOf(art::StackMap) const
0.91%     art_quick_alloc_object_initialized_region_tlab
0.90%     art::jit::Jit::MaybeCompileMethod(art::Thread*, art::ArtMethod*, unsigned int, unsigned int, bool)
0.86%     art_quick_invoke_stub
0.78%     art::ArtMethod::GetOatQuickMethodHeader(unsigned long)
0.76%     art::mirror::Class::FindVirtualMethodForVirtualOrInterface(art::ArtMethod*, art::PointerSize)
0.74%     art::Monitor::CheckLockOwnerRequest(art::Thread*)
0.72%     MterpInvokeDirect
0.71%     adler32_z
0.66%     art::Monitor::MonitorExit(art::Thread*, art::ObjPtr<art::mirror::Object>)
0.66%     art::ClassLinker::ShouldUseInterpreterEntrypoint(art::ArtMethod*, void const*)
0.64%     art_quick_unlock_object
0.63%     art::JniMethodEndWithReferenceHandleResult(_jobject*, unsigned int, art::Thread*)
0.63%     art::GetClassesVisitor::operator()(art::ObjPtr<art::mirror::Class>)
0.63%     void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.62%     art::JNI<false>::DeleteLocalRef(_JNIEnv*, _jobject*)
0.62%     art::interpreter::Execute(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame&, art::JValue, bool, bool) (.llvm.7274503973381030938)
0.61%     art::Mutex::ExclusiveUnlock(art::Thread*)
0.58%     art::JNI<false>::CallVoidMethodV(_JNIEnv*, _jobject*, _jmethodID*, std::__va_list)
