Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 210 --call-graph fp --app com.google.android.youtube
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 4394
Event count: 4726320969

Overhead  Symbol
1.27%     libopusV2JNI.so[+f794]
1.19%     libopusV2JNI.so[+f7a0]
1.12%     libopusV2JNI.so[+11980]
1.08%     libopusV2JNI.so[+f798]
0.89%     libopusV2JNI.so[+b8e8]
0.88%     libopusV2JNI.so[+b0e8]
0.86%     libopusV2JNI.so[+b8f0]
0.76%     libopusV2JNI.so[+14a8c]
0.72%     libopusV2JNI.so[+f3c8]
0.67%     libopusV2JNI.so[+12d64]
0.65%     libopusV2JNI.so[+b8e0]
0.63%     libopusV2JNI.so[+b0f8]
0.63%     libopusV2JNI.so[+f390]
0.62%     libopusV2JNI.so[+16918]
0.62%     libopusV2JNI.so[+f7b0]
0.59%     libopusV2JNI.so[+b0d4]
0.59%     libopusV2JNI.so[+f7a8]
0.58%     libopusV2JNI.so[+14a84]
0.58%     libopusV2JNI.so[+b0c8]
0.58%     libopusV2JNI.so[+f78c]
0.56%     libopusV2JNI.so[+14a88]
0.53%     libopusV2JNI.so[+f3bc]
0.51%     libopusV2JNI.so[+b0e0]
0.50%     libopusV2JNI.so[+1692c]
0.48%     libopusV2JNI.so[+14598]
0.48%     libopusV2JNI.so[+b110]
0.47%     libopusV2JNI.so[+b0c0]
0.47%     libopusV2JNI.so[+1197c]
0.45%     libopusV2JNI.so[+16904]
0.44%     libopusV2JNI.so[+15080]
0.43%     libopusV2JNI.so[+16908]
0.43%     libopusV2JNI.so[+1691c]
0.42%     libopusV2JNI.so[+b0c4]
0.40%     libopusV2JNI.so[+15264]
0.40%     libopusV2JNI.so[+f3a4]
0.39%     libopusV2JNI.so[+b0d0]
0.38%     libopusV2JNI.so[+15090]
0.37%     libopusV2JNI.so[+b0b8]
0.36%     libopusV2JNI.so[+16920]
0.36%     libopusV2JNI.so[+132d0]
0.35%     libopusV2JNI.so[+b0b0]
0.34%     libopusV2JNI.so[+16958]
0.34%     libopusV2JNI.so[+11988]
0.34%     libopusV2JNI.so[+132b4]
0.33%     libopusV2JNI.so[+b0ec]
0.33%     libopusV2JNI.so[+169ac]
0.33%     libopusV2JNI.so[+b100]
0.33%     libopusV2JNI.so[+1357c]
0.32%     libopusV2JNI.so[+f3c4]
0.32%     libopusV2JNI.so[+f38c]
0.32%     libopusV2JNI.so[+f3ac]
0.32%     libopusV2JNI.so[+16a08]
0.32%     libopusV2JNI.so[+14a80]
0.31%     libopusV2JNI.so[+145e4]
0.31%     libopusV2JNI.so[+b0f0]
0.31%     libopusV2JNI.so[+132c4]
0.30%     libopusV2JNI.so[+f384]
0.30%     libopusV2JNI.so[+14fdc]
0.29%     libopusV2JNI.so[+169d8]
0.29%     libopusV2JNI.so[+1501c]
0.29%     libopusV2JNI.so[+f39c]
0.29%     libopusV2JNI.so[+1690c]
0.29%     libopusV2JNI.so[+14584]
0.29%     libopusV2JNI.so[+169c0]
0.29%     libopusV2JNI.so[+16910]
0.28%     libopusV2JNI.so[+169e8]
0.28%     libopusV2JNI.so[+b0dc]
0.28%     libopusV2JNI.so[+b108]
0.27%     libopusV2JNI.so[+16a1c]
0.27%     libopusV2JNI.so[+16e1c]
0.26%     libopusV2JNI.so[+16db0]
0.26%     libopusV2JNI.so[+16d0c]
0.25%     libopusV2JNI.so[+13158]
0.25%     libopusV2JNI.so[+145d8]
0.25%     libopusV2JNI.so[+f3b0]
0.25%     libopusV2JNI.so[+11974]
0.25%     libopusV2JNI.so[+16d94]
0.25%     libopusV2JNI.so[+17250]
0.25%     libopusV2JNI.so[+169bc]
0.25%     libopusV2JNI.so[+14a90]
0.25%     libopusV2JNI.so[+169c8]
0.24%     libopusV2JNI.so[+13150]
0.24%     libopusV2JNI.so[+14aa0]
0.24%     libopusV2JNI.so[+16924]
0.24%     libopusV2JNI.so[+14590]
0.23%     libopusV2JNI.so[+14fd8]
0.23%     libopusV2JNI.so[+13580]
0.23%     libopusV2JNI.so[+17240]
0.23%     libopusV2JNI.so[+16d18]
0.23%     libopusV2JNI.so[+15474]
0.23%     libopusV2JNI.so[+14fbc]
0.22%     libopusV2JNI.so[+17134]
0.22%     libopusV2JNI.so[+b0a8]
0.22%     libopusV2JNI.so[+132b0]
0.22%     libopusV2JNI.so[+132a8]
0.21%     libopusV2JNI.so[+15260]
0.21%     libopusV2JNI.so[+15254]
0.21%     libopusV2JNI.so[+16f7c]
0.21%     libopusV2JNI.so[+15038]
0.21%     libopusV2JNI.so[+12d60]
0.20%     libopusV2JNI.so[+16d20]
0.20%     libopusV2JNI.so[+172b0]
0.20%     libopusV2JNI.so[+15088]
0.19%     libopusV2JNI.so[+13590]
0.19%     libopusV2JNI.so[+172cc]
0.19%     libopusV2JNI.so[+13588]
0.19%     libopusV2JNI.so[+16d24]
0.19%     libopusV2JNI.so[+16a04]
0.19%     libopusV2JNI.so[+17168]
0.18%     libopusV2JNI.so[+145a4]
0.18%     libopusV2JNI.so[+af7c]
0.18%     libopusV2JNI.so[+11da8]
0.18%     libopusV2JNI.so[+150c0]
0.18%     libopusV2JNI.so[+16d34]
0.18%     libopusV2JNI.so[+12d6c]
0.18%     libopusV2JNI.so[+15268]
0.18%     libopusV2JNI.so[+169c4]
0.18%     libopusV2JNI.so[+169a8]
0.18%     libopusV2JNI.so[+15074]
0.18%     libopusV2JNI.so[+16d80]
0.18%     libopusV2JNI.so[+16e74]
0.18%     libopusV2JNI.so[+15238]
0.18%     libopusV2JNI.so[+16944]
0.18%     libopusV2JNI.so[+16f84]
0.18%     libopusV2JNI.so[+137fc]
0.17%     libopusV2JNI.so[+16954]
0.17%     libopusV2JNI.so[+17274]
0.17%     libopusV2JNI.so[+14fcc]
0.17%     libopusV2JNI.so[+14ff0]
0.17%     libopusV2JNI.so[+145dc]
0.17%     libopusV2JNI.so[+172b4]
0.17%     libopusV2JNI.so[+150b8]
0.17%     libopusV2JNI.so[+16d10]
0.17%     libopusV2JNI.so[+150cc]
0.17%     libopusV2JNI.so[+16a00]
0.17%     libopusV2JNI.so[+16a0c]
0.16%     libopusV2JNI.so[+16e20]
0.16%     libopusV2JNI.so[+15010]
0.16%     libopusV2JNI.so[+17304]
0.16%     libopusV2JNI.so[+1694c]
0.16%     libopusV2JNI.so[+17264]
0.16%     libopusV2JNI.so[+15060]
0.16%     libopusV2JNI.so[+16fb4]
0.16%     libopusV2JNI.so[+16db8]
0.16%     libopusV2JNI.so[+1726c]
0.16%     libopusV2JNI.so[+16960]
0.16%     libopusV2JNI.so[+115d0]
0.16%     libopusV2JNI.so[+1503c]
0.15%     libopusV2JNI.so[+14608]
0.15%     libopusV2JNI.so[+132a4]
0.15%     libopusV2JNI.so[+b0a4]
0.15%     libopusV2JNI.so[+169b0]
0.15%     libopusV2JNI.so[+14594]
0.15%     libopusV2JNI.so[+16d58]
0.15%     libopusV2JNI.so[+14fe4]
0.15%     libopusV2JNI.so[+16d1c]
0.15%     libopusV2JNI.so[+17334]
0.15%     libopusV2JNI.so[+15044]
0.15%     libopusV2JNI.so[+16fa8]
0.15%     libopusV2JNI.so[+1693c]
0.15%     libopusV2JNI.so[+15cac]
0.15%     libopusV2JNI.so[+14588]
0.15%     libopusV2JNI.so[+169e0]
0.15%     libopusV2JNI.so[+f3b8]
0.15%     libopusV2JNI.so[+16d30]
0.15%     libopusV2JNI.so[+16ff8]
0.15%     libopusV2JNI.so[+1314c]
0.15%     libopusV2JNI.so[+1315c]
0.14%     libopusV2JNI.so[+17300]
0.14%     libopusV2JNI.so[+16f9c]
0.14%     libopusV2JNI.so[+16f90]
0.14%     libopusV2JNI.so[+132c0]
0.14%     libopusV2JNI.so[+1731c]
0.14%     libopusV2JNI.so[+16c38]
0.14%     libopusV2JNI.so[+150c8]
0.14%     libopusV2JNI.so[+16a2c]
0.14%     libopusV2JNI.so[+11798]
0.14%     libopusV2JNI.so[+17238]
0.14%     libopusV2JNI.so[+16a14]
0.14%     libopusV2JNI.so[+15040]
0.13%     libopusV2JNI.so[+17254]
0.13%     libopusV2JNI.so[+113fc]
0.13%     libopusV2JNI.so[+f398]
0.13%     libopusV2JNI.so[+15458]
0.13%     libopusV2JNI.so[+16f98]
0.13%     libopusV2JNI.so[+132dc]
0.13%     libopusV2JNI.so[+172f4]
