Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 14334
Event count: 33423889911

Overhead  Symbol
58.25%    neon::S32_alpha_D32_filter_DX(SkBitmapProcState const&, unsigned int const*, int, unsigned int*)
26.20%    void filter_scale<&(clamp(int, int)), &(clamp(int, int)), &(extract_low_bits_clamp_clamp(int, int)), true>(SkBitmapProcState const&, unsigned int*, int, int, int)
3.33%     neon::blit_row_s32a_opaque(unsigned int*, unsigned int const*, int, unsigned int)
2.16%     neon::RGBA_to_bgrA(unsigned int*, unsigned int const*, int)
1.40%     android::uirenderer::RenderNode::prepareTreeImpl(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)
1.15%     android::uirenderer::skiapipeline::SkiaDisplayList::prepareListAndChildren(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool, std::__1::function<void (android::uirenderer::RenderNode*, android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)>)
0.69%     BitmapProcShaderContext::shadeSpan(int, int, unsigned int*, int)
0.52%     android::uirenderer::skiapipeline::RenderNodeDrawable::drawContent(SkCanvas*) const
0.36%     SkCanvas::onDrawTextBlob(SkTextBlob const*, float, float, SkPaint const&)
0.27%     neon::rect_memset32(unsigned int*, unsigned int, int, unsigned long, int)
0.24%     android::uirenderer::skiapipeline::StartReorderBarrierDrawable::onDraw(SkCanvas*)
0.23%     SkCanvas::restoreToCount(int)
0.19%     android::uirenderer::skiapipeline::EndReorderBarrierDrawable::onDraw(SkCanvas*)
0.18%     SkCanvas::translate(float, float)
0.16%     android::uirenderer::skiapipeline::RenderNodeDrawable::onDraw(SkCanvas*)
0.15%     SkMatrix::Scale_xy(SkMatrix const&, float, float, SkPoint*)
0.13%     GrTextBlob::mustRegenerate(SkPaint const&, bool, SkMaskFilterBase::BlurRec const&, SkMatrix const&, SkPoint)
0.12%     android::uirenderer::$_24::__invoke(void const*, SkCanvas*, SkMatrix const&)
0.12%     @plt
0.12%     android::uirenderer::DamageAccumulator::popTransform()
0.09%     SkBitmapProcState::maxCountForBufferSize(unsigned long) const
0.08%     GrBitmapTextureMaker::GrBitmapTextureMaker(GrRecordingContext*, SkBitmap const&, GrBitmapTextureMaker::Cached, SkBackingFit, bool)
0.08%     _ZN12_GLOBAL__N_114AAConvexPathOp14onPrepareDrawsEPN12GrMeshDrawOp6TargetE$13aac768fe222e8b89565d2273dcad6d
0.08%     SkCanvas::clipRect(SkRect const&, SkClipOp, bool)
0.08%     GrTextContext::drawGlyphRunList(GrRecordingContext*, GrTextTarget*, GrClip const&, SkMatrix const&, SkSurfaceProps const&, SkGlyphRunList const&)
0.07%     SkARGB32_Shader_Blitter::blitRect(int, int, int, int)
0.07%     GrTextBlob::flush(GrTextTarget*, SkSurfaceProps const&, GrDistanceFieldAdjustTable const*, SkPaint const&, SkRGBA4f<(SkAlphaType)2> const&, GrClip const&, SkMatrix const&, SkPoint)
0.07%     android::uirenderer::$_1::__invoke(void const*, SkCanvas*, SkMatrix const&)
0.06%     void std::__1::__stable_sort<android::uirenderer::skiapipeline::StartReorderBarrierDrawable::onDraw(SkCanvas*)::$_0&, std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**> >(std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**>, std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**>, android::uirenderer::skiapipeline::StartReorderBarrierDrawable::onDraw(SkCanvas*)::$_0&, std::__1::iterator_traits<std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**> >::difference_type, std::__1::iterator_traits<std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**> >::value_type*, long)
0.06%     SkCanvas::drawTextBlob(SkTextBlob const*, float, float, SkPaint const&)
0.05%     GrAtlasTextOp::onPrepareDraws(GrMeshDrawOp::Target*)
0.05%     SkCanvas::onDrawPath(SkPath const&, SkPaint const&)
0.04%     SkClipStack::isRRect(SkRect const&, SkRRect*, bool*) const
0.04%     GrProgramDesc::Build(GrProgramDesc*, GrRenderTarget const*, GrProgramInfo const&, GrCaps const&)
0.04%     GrTextureProxy::~GrTextureProxy()
0.04%     CircularRRectOp::onPrepareDraws(GrMeshDrawOp::Target*)
0.04%     GrResourceCache::notifyRefCntReachedZero(GrGpuResource*)
0.04%     SkMatrix::mapRect(SkRect*, SkRect const&, SkApplyPerspectiveClip) const
0.04%     GrGLGpu::ProgramCache::findOrCreateProgram(GrRenderTarget*, GrProgramDesc const&, GrProgramInfo const&)
0.04%     GrRenderTargetContext::addDrawOp(GrClip const&, std::__1::unique_ptr<GrDrawOp, std::__1::default_delete<GrDrawOp> >, std::__1::function<void (GrOp*, unsigned int)> const&)
0.03%     GrOpsTask::recordOp(std::__1::unique_ptr<GrOp, std::__1::default_delete<GrOp> >, GrProcessorSet::Analysis, GrAppliedClip*, GrXferProcessor::DstProxyView const*, GrCaps const&)
0.03%     GrTextureOp::Make(GrRecordingContext*, GrSurfaceProxyView, SkAlphaType, sk_sp<GrColorSpaceXform>, GrSamplerState::Filter, SkRGBA4f<(SkAlphaType)2> const&, GrTextureOp::Saturate, SkBlendMode, GrAAType, DrawQuad*, SkRect const*)
0.03%     GrBitmapTextureMaker::~GrBitmapTextureMaker()
0.03%     SkClipStack::pushElement(SkClipStack::Element const&)
0.03%     GrResourceCache::refAndMakeResourceMRU(GrGpuResource*)
0.03%     GrGLAttribArrayState::set(GrGLGpu*, int, GrBuffer const*, GrVertexAttribType, GrSLType, int, unsigned long, int)
0.03%     GrTextBlob::VertexRegenerator::regenerate(int, int)
0.03%     SkScalerCache::prepareForMaskDrawing(SkDrawableGlyphBuffer*, SkSourceGlyphBuffer*)
0.03%     SkCanvas::onClipRect(SkRect const&, SkClipOp, SkCanvas::ClipEdgeStyle)
0.03%     GrOpsTask::onExecute(GrOpFlushState*)
0.03%     SkClipStack::Element::initRect(int, SkRect const&, SkMatrix const&, SkClipOp, bool)
0.02%     SkMatrix::preTranslate(float, float)
0.02%     android::uirenderer::skiapipeline::SkiaPipeline::pinImages(std::__1::vector<SkImage*, std::__1::allocator<SkImage*> >&)
0.02%     SkConvertPixels(SkImageInfo const&, void*, unsigned long, SkImageInfo const&, void const*, unsigned long)
0.02%     SkCanvas::restore()
0.02%     android::uirenderer::$_11::__invoke(void const*, SkCanvas*, SkMatrix const&)
0.02%     GrTextBlob::makeSubRun(GrTextBlob::SubRunType, SkZip<SkGlyphVariant, SkPoint> const&, SkStrikeSpec const&, GrMaskFormat)
0.02%     android::uirenderer::$_17::__invoke(void const*, SkCanvas*, SkMatrix const&)
0.02%     GrProxyProvider::findOrCreateProxyByUniqueKey(GrUniqueKey const&, GrColorType, GrSurfaceProxy::UseAllocator)
0.02%     SkTArray<sk_sp<GrRefCntedCallback>, false>::checkRealloc(int)
0.02%     GrOpFlushState::executeDrawsAndUploadsForMeshDrawOp(GrOp const*, SkRect const&, GrPipeline const*)
0.02%     SkScalerCache::glyph(SkPackedGlyphID)
0.02%     SkGpuDevice::drawGlyphRunList(SkGlyphRunList const&)
0.02%     SkImage_Raster::onUnpinAsTexture(GrContext*) const
0.02%     SkCanvas::concat(SkMatrix const&)
0.02%     android::uirenderer::AnimatorManager::pushStaging()
0.02%     SkClipStack::restore()
0.02%     GrTextBlob::SubRun::translateVerticesIfNeeded(SkMatrix const&, SkPoint)
0.02%     SkPathRef::getRRect() const
