Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 12806
Event count: 26952927215

Overhead  Symbol
71.25%    neon::S32_alpha_D32_filter_DX(SkBitmapProcState const&, unsigned int const*, int, unsigned int*)
9.98%     void filter_scale_neon<&(clamp(int, int)), &(clamp4(__Int32x4_t, unsigned int)), &(extract_low_bits_clamp(int, int)), &(extract_low_bits_clamp4(__Int32x4_t, unsigned int)), true>(SkBitmapProcState const&, unsigned int*, int, int, int)
4.42%     neon::blit_row_s32a_opaque(unsigned int*, unsigned int const*, int, unsigned int)
2.37%     neon::RGBA_to_bgrA(unsigned int*, unsigned int const*, int)
1.43%     android::uirenderer::skiapipeline::SkiaDisplayList::prepareListAndChildren(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool, std::__1::function<void (android::uirenderer::RenderNode*, android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)>)
1.14%     BitmapProcShaderContext::shadeSpan(int, int, unsigned int*, int)
1.14%     SkBitmapProcStateAutoMapper::SkBitmapProcStateAutoMapper(SkBitmapProcState const&, int, int, SkPoint*)
1.01%     android::uirenderer::RenderNode::prepareTreeImpl(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)
0.84%     SkCanvas::onDrawDrawable(SkDrawable*, SkMatrix const*)
0.83%     android::uirenderer::skiapipeline::RenderNodeDrawable::drawContent(SkCanvas*) const
0.33%     neon::memset32(unsigned int*, unsigned int, int)
0.16%     SkTHashTable<SkTHashMap<unsigned int, GrTextBlobCache::BlobIDCacheEntry, SkGoodHash>::Pair, unsigned int, SkTHashMap<unsigned int, GrTextBlobCache::BlobIDCacheEntry, SkGoodHash>::Pair>::find(unsigned int const&) const
0.16%     SkCanvas::drawTextBlob(SkTextBlob const*, float, float, SkPaint const&)
0.15%     GrRenderTargetContext::addDrawOp(GrClip const&, std::__1::unique_ptr<GrDrawOp, std::__1::default_delete<GrDrawOp> >, std::__1::function<void (GrOp*, unsigned int)> const&)
0.13%     @plt
0.11%     android::uirenderer::skiapipeline::StartReorderBarrierDrawable::onDraw(SkCanvas*)
0.11%     SkCanvas::restoreToCount(int)
0.09%     GrTextContext::drawGlyphRunList(GrRecordingContext*, GrTextTarget*, GrClip const&, SkMatrix const&, SkSurfaceProps const&, SkGlyphRunList const&)
0.09%     SkMatrix::Scale_xy(SkMatrix const&, float, float, SkPoint*)
0.08%     android::uirenderer::RenderProperties::updateMatrix()
0.07%     void std::__1::__stable_sort<android::uirenderer::skiapipeline::StartReorderBarrierDrawable::onDraw(SkCanvas*)::$_0&, std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**> >(std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**>, std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**>, android::uirenderer::skiapipeline::StartReorderBarrierDrawable::onDraw(SkCanvas*)::$_0&, std::__1::iterator_traits<std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**> >::difference_type, std::__1::iterator_traits<std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**> >::value_type*, long)
0.06%     SkLRUCache<GrProgramDesc, std::__1::unique_ptr<GrGLGpu::ProgramCache::Entry, std::__1::default_delete<GrGLGpu::ProgramCache::Entry> >, GrGLGpu::ProgramCache::DescHash>::find(GrProgramDesc const&)
0.06%     android::uirenderer::skiapipeline::EndReorderBarrierDrawable::onDraw(SkCanvas*)
0.06%     GrProxyProvider::findOrCreateProxyByUniqueKey(GrUniqueKey const&, GrSurfaceOrigin)
0.06%     SkPathRef::Editor::Editor(sk_sp<SkPathRef>*, int, int)
0.06%     SkCanvas::onClipRect(SkRect const&, SkClipOp, SkCanvas::ClipEdgeStyle)
0.05%     _ZN12_GLOBAL__N_19TextureOp14onPrepareDrawsEPN12GrMeshDrawOp6TargetE$ab67424b01b2ae857b75443a16f18610
0.05%     SkCanvas::onDrawTextBlob(SkTextBlob const*, float, float, SkPaint const&)
