Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 87150
Event count: 132874736263

Overhead  Tid   Command
25.00%    7619  FrameProcessing
20.56%    6554  HeapTaskDaemon
11.85%    7181  glide-animation
11.83%    7182  glide-animation
11.43%    6667  mqt_js
3.70%     7607  GLThread 6001
3.43%     6668  mqt_native_modu
3.29%     6633  RenderThread
2.57%     6541  com.zamface
1.51%     6756  Binder:6541_5
1.25%     6558  Binder:6541_1
0.76%     6753  RenderThread
0.42%     6559  Binder:6541_2
0.39%     6662  HybridData Dest
0.23%     6673  hades
0.23%     6752  RenderThread
0.16%     6777  glide-source-th
0.16%     6812  CountlyConnecti
0.14%     6778  glide-source-th
0.13%     6751  glide-disk-cach
0.12%     6775  glide-source-th
0.08%     7618  CameraHandlerTh
0.07%     6571  pool-10-thread-
0.05%     6772  glide-source-th
0.05%     6809  Countly_cmd
0.04%     6556  FinalizerDaemon
0.04%     7739  Measurement Wor
0.03%     6547  Jit thread pool
0.03%     6717  alhost:3000/...
0.02%     7623  MakeupCamIntern
0.02%     6644  FrameMetricsAgg
0.02%     6561  Profile Saver
0.02%     6647  pool-3-thread-1
0.02%     6555  ReferenceQueueD
0.01%     6719  logThread
0.01%     6793  RxSchedulerPurg
0.01%     7579  PfRxCachedThrea
0.01%     6717  mface.co.kr/...
0.01%     7462  PfRxCachedThrea
0.01%     7541  PfRxCachedThrea
0.01%     7551  PfRxCachedThrea
0.01%     7499  PfRxCachedThrea
0.01%     7528  PfRxCachedThrea
0.01%     7581  PfRxCachedThrea
0.01%     7459  PfRxCachedThrea
0.01%     7427  PfRxCachedThrea
0.01%     7552  PfRxCachedThrea
0.01%     7700  mface.co.kr/...
0.01%     7694  mface.co.kr/...
0.01%     7503  PfRxCachedThrea
0.01%     7730  mface.co.kr/...
0.01%     7496  PfRxCachedThrea
0.01%     7722  mface.co.kr/...
0.01%     7711  mface.co.kr/...
0.01%     7531  PfRxCachedThrea
0.01%     7735  mface.co.kr/...
0.01%     7717  mface.co.kr/...
0.01%     7454  PfRxCachedThrea
0.01%     7748  mface.co.kr/...
0.00%     7765  mface.co.kr/...
0.00%     7449  PfRxCachedThrea
0.00%     6601  AsyncTask #1
0.00%     7571  PfRxCachedThrea
0.00%     7494  PfRxCachedThrea
0.00%     7572  PfRxCachedThrea
0.00%     7508  PfRxCachedThrea
0.00%     7441  PfRxCachedThrea
0.00%     7560  PfRxCachedThrea
0.00%     7516  PfRxCachedThrea
0.00%     7440  PfRxCachedThrea
0.00%     7585  PfRxCachedThrea
0.00%     7450  PfRxCachedThrea
0.00%     7563  PfRxCachedThrea
0.00%     7393  PfRxCachedThrea
0.00%     7545  PfRxCachedThrea
0.00%     7425  PfRxCachedThrea
0.00%     7568  PfRxCachedThrea
0.00%     7744  mface.co.kr/...
0.00%     7432  PfRxCachedThrea
0.00%     7523  PfRxCachedThrea
0.00%     7566  PfRxCachedThrea
