Battery History (0% used, 3988 used of 4096KB, 9 strings using 734):
                    0 (14) RESET:TIME: 2022-03-28-01-06-10
                    0 (1) 024 status=charging health=good plug=ac temp=357 volt=3963 charge=1030 modemRailChargemAh=0 wifiRailChargemAh=0 +running +wake_lock +wifi_radio +phone_scanning +screen +plugged phone_state=out brightness=medium +wifi_running +wifi +usb_data wifi_signal_strength=4 wifi_suppl=completed +camera +ble_scan
                    0 (2) 024 top=u0a130:"com.zamface"
                    0 (2) 024 user=0:"0"
                    0 (2) 024 userfg=0:"0"
                +24ms (2) 024 stats=0:"wakelock-change"
                +57ms (2) 024 stats=0:"battery-state"
                +72ms (3) 024 plug=none temp=352 volt=3958 -plugged
             +1s303ms (2) 024 +audio
             +1s525ms (2) 024 -audio
             +1s837ms (2) 024 +audio
             +1s984ms (2) 024 -audio
             +2s343ms (2) 024 +audio
             +2s523ms (2) 024 -audio
             +3s355ms (2) 024 +audio
             +3s519ms (2) 024 -audio
             +3s855ms (2) 024 +audio
             +4s019ms (2) 024 -audio
             +4s355ms (2) 024 +audio
             +4s524ms (2) 024 -audio
             +5s376ms (2) 024 +audio
             +5s543ms (2) 024 -audio
             +5s934ms (2) 024 +audio
             +6s098ms (2) 024 -audio
             +6s435ms (2) 024 +audio
             +6s598ms (2) 024 -audio
             +7s465ms (2) 024 +audio
             +7s639ms (2) 024 -audio
             +7s920ms (2) 024 +audio
             +8s059ms (2) 024 -audio
             +8s394ms (2) 024 +audio
             +8s558ms (2) 024 -audio
             +9s475ms (2) 024 +audio
             +9s618ms (2) 024 -audio
             +9s915ms (2) 024 +audio
            +10s080ms (2) 024 -audio
            +10s415ms (2) 024 +audio
            +10s558ms (3) 024 +wifi_scan -audio +job=u0a61:"com.google.android.setupwizard/.deferred.DeferredSetupScheduler"
            +11s031ms (2) 024 +job=u0a130:"com.zamface/com.google.android.datatransport.runtime.scheduling.jobscheduling.JobInfoSchedulerService"
            +11s181ms (3) 024 +audio -job=u0a61:"com.google.android.setupwizard/.deferred.DeferredSetupScheduler"
            +11s558ms (2) 024 -audio
            +11s894ms (2) 024 +audio
            +12s058ms (2) 024 -audio
            +12s363ms (3) 024 +audio -job=u0a130:"com.zamface/com.google.android.datatransport.runtime.scheduling.jobscheduling.JobInfoSchedulerService"
            +12s538ms (2) 024 -audio
            +13s357ms (2) 024 +audio
            +13s498ms (2) 024 -audio
            +13s877ms (2) 024 +audio
            +14s019ms (2) 024 -audio
            +14s395ms (2) 024 +audio
            +14s562ms (2) 024 -audio
            +15s433ms (2) 024 +audio
            +15s597ms (2) 024 -audio
            +15s934ms (2) 024 -wifi_scan +audio
            +16s078ms (2) 024 -audio
            +16s533ms (2) 024 +audio
            +16s697ms (2) 024 -audio
            +17s613ms (2) 024 +audio
            +17s757ms (2) 024 -audio
            +18s114ms (2) 024 +audio
            +18s257ms (2) 024 -audio
            +18s733ms (2) 024 +audio
            +18s897ms (2) 024 -audio
            +19s854ms (2) 024 +audio
            +19s997ms (2) 024 -audio
            +20s314ms (2) 024 +audio
            +20s479ms (2) 024 -audio
