Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 13338
Event count: 51212928049

Overhead  Symbol
73.94%    neon::S32_alpha_D32_filter_DX(SkBitmapProcState const&, unsigned int const*, int, unsigned int*)
11.89%    void filter_scale_neon<&(clamp(int, int)), &(clamp4(__Int32x4_t, unsigned int)), &(extract_low_bits_clamp(int, int)), &(extract_low_bits_clamp4(__Int32x4_t, unsigned int)), true>(SkBitmapProcState const&, unsigned int*, int, int, int)
4.62%     neon::blit_row_s32a_opaque(unsigned int*, unsigned int const*, int, unsigned int)
1.52%     SkBitmapProcStateAutoMapper::SkBitmapProcStateAutoMapper(SkBitmapProcState const&, int, int, SkPoint*)
1.49%     neon::RGBA_to_bgrA(unsigned int*, unsigned int const*, int)
1.28%     BitmapProcShaderContext::shadeSpan(int, int, unsigned int*, int)
0.74%     android::uirenderer::skiapipeline::SkiaDisplayList::prepareListAndChildren(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool, std::__1::function<void (android::uirenderer::RenderNode*, android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)>)
0.50%     android::uirenderer::RenderNode::prepareTreeImpl(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)
0.47%     android::uirenderer::skiapipeline::RenderNodeDrawable::drawContent(SkCanvas*) const
0.41%     neon::memset32(unsigned int*, unsigned int, int)
0.29%     SkCanvas::onDrawDrawable(SkDrawable*, SkMatrix const*)
0.11%     SkMatrix::Scale_xy(SkMatrix const&, float, float, SkPoint*)
0.09%     SkTHashTable<SkTHashMap<unsigned int, GrTextBlobCache::BlobIDCacheEntry, SkGoodHash>::Pair, unsigned int, SkTHashMap<unsigned int, GrTextBlobCache::BlobIDCacheEntry, SkGoodHash>::Pair>::find(unsigned int const&) const
0.08%     SkCanvas::restoreToCount(int)
0.07%     android::uirenderer::skiapipeline::StartReorderBarrierDrawable::onDraw(SkCanvas*)
0.07%     SkCanvas::drawTextBlob(SkTextBlob const*, float, float, SkPaint const&)
0.06%     @plt
0.05%     GrRenderTargetContext::addDrawOp(GrClip const&, std::__1::unique_ptr<GrDrawOp, std::__1::default_delete<GrDrawOp> >, std::__1::function<void (GrOp*, unsigned int)> const&)
0.05%     GrTextContext::drawGlyphRunList(GrRecordingContext*, GrTextTarget*, GrClip const&, SkMatrix const&, SkSurfaceProps const&, SkGlyphRunList const&)
0.05%     SkClipStack::pushElement(SkClipStack::Element const&)
0.04%     SkScalerContext_FreeType_Base::generateGlyphImage(FT_FaceRec_*, SkGlyph const&, SkMatrix const&)
0.04%     android::uirenderer::skiapipeline::EndReorderBarrierDrawable::onDraw(SkCanvas*)
0.04%     SkCanvas::onDrawTextBlob(SkTextBlob const*, float, float, SkPaint const&)
0.04%     SkARGB32_Shader_Blitter::blitRect(int, int, int, int)
0.03%     GrBitmapTextureMaker::GrBitmapTextureMaker(GrRecordingContext*, SkBitmap const&, bool)
0.03%     SkCanvas::onClipRect(SkRect const&, SkClipOp, SkCanvas::ClipEdgeStyle)
0.03%     android::uirenderer::skiapipeline::SkiaPipeline::unpinImages()
0.03%     SkImage_Raster::onUnpinAsTexture(GrContext*) const
0.03%     GrProxyProvider::findOrCreateProxyByUniqueKey(GrUniqueKey const&, GrSurfaceOrigin)
0.03%     neon::RGBA_to_rgbA(unsigned int*, unsigned int const*, int)
0.03%     SkPaint::canComputeFastBounds() const
0.03%     SkCanvas::clipRect(SkRect const&, SkClipOp, bool)
0.03%     void std::__1::__stable_sort<android::uirenderer::skiapipeline::StartReorderBarrierDrawable::onDraw(SkCanvas*)::$_0&, std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**> >(std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**>, std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**>, android::uirenderer::skiapipeline::StartReorderBarrierDrawable::onDraw(SkCanvas*)::$_0&, std::__1::iterator_traits<std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**> >::difference_type, std::__1::iterator_traits<std::__1::__wrap_iter<android::uirenderer::skiapipeline::RenderNodeDrawable**> >::value_type*, long)
0.03%     GrGpuResource::notifyRefCountIsZero() const
0.03%     SkCanvas::drawDrawable(SkDrawable*, SkMatrix const*)
0.03%     SkDrawable::draw(SkCanvas*, SkMatrix const*)
0.03%     android::uirenderer::RenderProperties::updateMatrix()
0.03%     void GrVertexWriter::write<GrVertexWriter::Skip<SkPoint>, float, float>(GrVertexColor const&, GrVertexWriter::Skip<SkPoint> const&, float const&, float const&)
0.02%     GrGLGpu::setupGeometry(GrBuffer const*, GrBuffer const*, int, GrBuffer const*, int, GrPrimitiveRestart)
0.02%     GrSurfaceProxy::GrSurfaceProxy(sk_sp<GrSurface>, GrSurfaceOrigin, SkBackingFit)
