Battery History (0% used, 3996 used of 4096KB, 5 strings using 338):
                    0 (14) RESET:TIME: 2022-03-28-01-08-44
                    0 (1) 024 status=charging health=good plug=none temp=352 volt=3958 charge=1030 modemRailChargemAh=0 wifiRailChargemAh=0 +running +wake_lock +wifi_radio +phone_scanning +screen phone_state=out brightness=medium +wifi_running +wifi +usb_data wifi_signal_strength=4 wifi_suppl=completed +camera +ble_scan
                    0 (2) 024 top=u0a130:"com.zamface"
                    0 (2) 024 user=0:"0"
                    0 (2) 024 userfg=0:"0"
                    0 (2) 024 longwake=u0a130:"rohit_bg_wakelock"
                +32ms (2) 024 stats=0:"dump"
             +1s647ms (2) 024 +audio
             +1s907ms (2) 024 -audio
             +2s260ms (2) 024 +audio
             +2s406ms (2) 024 -audio
             +2s840ms (2) 024 +audio
             +2s989ms (2) 024 -audio
             +3s941ms (2) 024 +audio
             +4s105ms (2) 024 -audio
             +4s443ms (2) 024 +audio
             +4s585ms (2) 024 -audio
             +5s001ms (2) 024 +audio
             +5s164ms (2) 024 -audio
             +6s102ms (2) 024 +audio
             +6s244ms (2) 024 -audio
             +6s641ms (2) 024 +audio
             +6s791ms (2) 024 -audio
             +7s142ms (2) 024 +audio
             +7s306ms (2) 024 -audio
             +8s231ms (2) 024 +audio
             +8s406ms (2) 024 -audio
             +8s765ms (2) 024 +audio
             +8s906ms (2) 024 -audio
             +9s268ms (2) 024 +audio
             +9s406ms (2) 024 -audio
            +10s342ms (2) 024 +audio
            +10s506ms (2) 024 -audio
            +10s882ms (2) 024 +audio
            +11s046ms (2) 024 -audio
            +11s427ms (2) 024 +audio
            +11s566ms (2) 024 -audio
            +12s548ms (2) 024 +audio
            +12s687ms (2) 024 -audio
            +13s085ms (2) 024 +audio
            +13s226ms (2) 024 -audio
            +13s662ms (2) 024 +audio
            +13s826ms (2) 024 -audio
            +14s782ms (2) 024 +audio
            +14s946ms (2) 024 -audio
            +15s362ms (2) 024 +audio
            +15s507ms (2) 024 -audio
            +15s922ms (2) 024 +audio
            +16s085ms (2) 024 -audio
            +17s062ms (2) 024 +audio
            +17s226ms (2) 024 -audio
            +17s571ms (2) 024 +audio
            +17s746ms (2) 024 -audio
            +18s228ms (2) 024 +audio
