Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 11282
Event count: 14190031818

Overhead  Symbol
8.05%     void art::gc::collector::ConcurrentCopying::Process<true>(art::mirror::Object*, art::MemberOffset)
5.59%     bool art::gc::collector::ConcurrentCopying::TestAndSetMarkBitForRef<false>(art::mirror::Object*)
4.83%     art::gc::collector::ConcurrentCopying::AddLiveBytesAndScanRef(art::mirror::Object*)
4.22%     void art::mirror::Object::VisitReferences<true, (art::VerifyObjectFlags)0, (art::ReadBarrierOption)1, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true>, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> >(art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> const&, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<true> const&)
4.21%     artInstanceOfFromCode
4.04%     art::mirror::FindFieldByNameAndType(art::LengthPrefixedArray<art::ArtField>*, std::__1::basic_string_view<char, std::__1::char_traits<char> >, std::__1::basic_string_view<char, std::__1::char_traits<char> >) (.llvm.7502996793272739758)
3.37%     void art::mirror::Object::VisitReferences<true, (art::VerifyObjectFlags)0, (art::ReadBarrierOption)1, art::gc::collector::ConcurrentCopying::ComputeLiveBytesAndMarkRefFieldsVisitor<true>, art::gc::collector::ConcurrentCopying::ComputeLiveBytesAndMarkRefFieldsVisitor<true> >(art::gc::collector::ConcurrentCopying::ComputeLiveBytesAndMarkRefFieldsVisitor<true> const&, art::gc::collector::ConcurrentCopying::ComputeLiveBytesAndMarkRefFieldsVisitor<true> const&)
2.99%     art::mirror::Object::CopyObject(art::ObjPtr<art::mirror::Object>, art::ObjPtr<art::mirror::Object>, unsigned long)
2.93%     void art::mirror::Object::VisitFieldsReferences<false, (art::VerifyObjectFlags)0, (art::ReadBarrierOption)1, art::gc::collector::ConcurrentCopying::ComputeLiveBytesAndMarkRefFieldsVisitor<true> >(unsigned int, art::gc::collector::ConcurrentCopying::ComputeLiveBytesAndMarkRefFieldsVisitor<true> const&)
2.34%     art::Thread::DecodeJObject(_jobject*) const
2.33%     art::JNI<false>::DeleteLocalRef(_JNIEnv*, _jobject*)
2.27%     void art::gc::collector::ConcurrentCopying::MarkRoot<false>(art::Thread*, art::mirror::CompressedReference<art::mirror::Object>*)
2.20%     art::gc::space::RegionSpace::PoisonDeadObjectsInUnevacuatedRegion(art::gc::space::RegionSpace::Region*)
2.03%     art::JNI<false>::GetFieldID(_JNIEnv*, _jclass*, char const*, char const*)
1.67%     art::gc::collector::ConcurrentCopying::IsMarked(art::mirror::Object*)
1.43%     void art::gc::collector::ConcurrentCopying::Process<false>(art::mirror::Object*, art::MemberOffset)
1.22%     art::IndirectReferenceTable::GetChecked(void*) const
1.18%     art::gc::collector::ConcurrentCopying::ProcessMarkStackForMarkingAndComputeLiveBytes()
1.06%     art::IndirectReferenceTable::Add(art::IRTSegmentState, art::ObjPtr<art::mirror::Object>, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
1.01%     art::JNI<false>::GetObjectField(_JNIEnv*, _jobject*, _jfieldID*)
1.00%     art::gc::collector::ConcurrentCopying::VisitRoots(art::mirror::CompressedReference<art::mirror::Object>**, unsigned long, art::RootInfo const&)
0.97%     void art::mirror::ObjectArray<art::mirror::Object>::AssignableCheckingMemcpy<false>(int, art::ObjPtr<art::mirror::ObjectArray<art::mirror::Object> >, int, int, bool)
0.89%     art::FindFieldJNI(art::ScopedObjectAccess const&, _jclass*, char const*, char const*, bool)
0.87%     art::gc::collector::ConcurrentCopying::ProcessMarkStackRef(art::mirror::Object*)
0.86%     art::InternTable::Table::VisitRoots(art::RootVisitor*)
0.85%     art::JNI<false>::SetFloatField(_JNIEnv*, _jobject*, _jfieldID*, float)
0.79%     art::Mutex::ExclusiveLock(art::Thread*)
0.77%     art::gc::collector::ConcurrentCopying::Copy(art::Thread*, art::mirror::Object*, art::mirror::Object*, art::MemberOffset)
0.67%     art::JNI<false>::NewLocalRef(_JNIEnv*, _jobject*)
0.66%     art::System_arraycopy(_JNIEnv*, _jclass*, _jobject*, int, _jobject*, int, int)
0.64%     art::JNI<false>::GetLongField(_JNIEnv*, _jobject*, _jfieldID*)
0.62%     art::JNI<false>::NewObjectV(_JNIEnv*, _jclass*, _jmethodID*, std::__va_list)
0.59%     void art::mirror::Object::VisitReferences<true, (art::VerifyObjectFlags)0, (art::ReadBarrierOption)1, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<false>, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<false> >(art::gc::collector::ConcurrentCopying::RefFieldsVisitor<false> const&, art::gc::collector::ConcurrentCopying::RefFieldsVisitor<false> const&)
0.58%     art::JValue art::InvokeWithVarArgs<art::ArtMethod*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, art::ArtMethod*, std::__va_list)
0.55%     art::Mutex::ExclusiveUnlock(art::Thread*)
0.55%     art::JValue art::InvokeVirtualOrInterfaceWithVarArgs<art::ArtMethod*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, art::ArtMethod*, std::__va_list)
0.52%     void art::gc::accounting::SpaceBitmap<8ul>::VisitMarkedRange<art::gc::collector::ConcurrentCopying::CopyingPhase()::$_9&>(unsigned long, unsigned long, art::gc::collector::ConcurrentCopying::CopyingPhase()::$_9&&&) const
0.46%     MterpInvokeVirtualQuick
0.45%     art::ReadBarrier::Mark(art::mirror::Object*)
0.44%     art::interpreter::ArtInterpreterToCompiledCodeBridge(art::Thread*, art::ArtMethod*, art::ShadowFrame*, unsigned short, art::JValue*)
0.43%     art::GoToRunnable(art::Thread*)
0.42%     art::ClassLinker::VisitClassRoots(art::RootVisitor*, art::VisitRootFlags)
0.41%     art::JniMethodStart(art::Thread*)
0.37%     art::ReferenceMapVisitor<art::RootCallbackVisitor, false>::VisitFrame()
0.36%     art::jit::JitCodeCache::SweepRootTables(art::IsMarkedVisitor*)
0.35%     art::JNI<false>::GetObjectClass(_JNIEnv*, _jobject*)
0.35%     art_quick_read_barrier_mark_introspection
0.35%     art::gc::collector::ConcurrentCopying::PushOntoMarkStack(art::Thread*, art::mirror::Object*)
0.35%     art::Runtime::ProcessWeakClass(art::GcRoot<art::mirror::Class>*, art::IsMarkedVisitor*, art::mirror::Class*)
0.33%     bool art::interpreter::DoCall<false, false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, art::JValue*)
0.32%     art::mirror::Object::Clone(art::Handle<art::mirror::Object>, art::Thread*)
0.32%     art::mirror::Class::GetDescriptor(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
0.32%     art::JNI<false>::GetIntField(_JNIEnv*, _jobject*, _jfieldID*)
0.31%     art::ClassTable::Lookup(char const*, unsigned long)
0.31%     art::gc::collector::ConcurrentCopying::ThreadFlipVisitor::VisitRoots(art::mirror::Object***, unsigned long, art::RootInfo const&)
0.31%     art::JNI<false>::GetObjectArrayElement(_JNIEnv*, _jobjectArray*, int)
0.30%     art_quick_invoke_stub
0.29%     MterpInvokeInterface
0.29%     void art::ArtMethod::VisitRoots<(art::ReadBarrierOption)1, art::gc::collector::ConcurrentCopying::ComputeLiveBytesAndMarkRefFieldsVisitor<true> const>(art::gc::collector::ConcurrentCopying::ComputeLiveBytesAndMarkRefFieldsVisitor<true> const&, art::PointerSize)
0.28%     art::IndirectReferenceTable::Remove(art::IRTSegmentState, void*)
0.27%     art::JNI<false>::CallBooleanMethodV(_JNIEnv*, _jobject*, _jmethodID*, std::__va_list)
0.27%     art::JNI<false>::GetStringLength(_JNIEnv*, _jstring*)
0.26%     art::gc::collector::ConcurrentCopying::MarkNonMoving(art::Thread*, art::mirror::Object*, art::mirror::Object*, art::MemberOffset)
0.26%     art::gc::Heap::IsMovableObject(art::ObjPtr<art::mirror::Object>) const
0.25%     @plt
0.25%     art::JNI<false>::SetObjectArrayElement(_JNIEnv*, _jobjectArray*, int, _jobject*)
0.24%     art::ClassLinker::LookupPrimitiveClass(char)
0.24%     art_quick_unlock_object
0.24%     art::JNI<false>::SetLongField(_JNIEnv*, _jobject*, _jfieldID*, long)
0.23%     art::CodeInfo::GetStackMapForNativePcOffset(unsigned int, art::InstructionSet) const
0.23%     art::gc::collector::ConcurrentCopying::CopyingPhase()
0.23%     art_quick_imt_conflict_trampoline
0.23%     art::JNI<false>::GetStringCritical(_JNIEnv*, _jstring*, unsigned char*)
0.23%     art::Mutex::ExclusiveTryLockWithSpinning(art::Thread*)
0.22%     art::JNI<false>::GetBooleanField(_JNIEnv*, _jobject*, _jfieldID*)
0.22%     art::gc::ReferenceQueue::DisableReadBarrierForReference(art::ObjPtr<art::mirror::Reference>)
0.22%     MterpInvokeDirect
0.21%     art::JNI<false>::SetIntField(_JNIEnv*, _jobject*, _jfieldID*, int)
0.21%     art::gc::ReferenceQueue::EnqueueReference(art::ObjPtr<art::mirror::Reference>)
0.20%     art::CodeInfo::DecodeGcMasksOnly(art::OatQuickMethodHeader const*)
0.20%     art::Thread::SweepInterpreterCache(art::IsMarkedVisitor*)
0.20%     art::JNI<false>::CallStaticObjectMethodV(_JNIEnv*, _jclass*, _jmethodID*, std::__va_list)
0.20%     art_quick_alloc_object_initialized_region_tlab
0.19%     art_quick_lock_object
0.19%     art::CodeInfo::DecodeFrameInfo(unsigned char const*)
0.19%     bool art::mirror::ObjectArray<art::mirror::Object>::CheckAssignable<(art::VerifyObjectFlags)0>(art::ObjPtr<art::mirror::Object>)
0.19%     art::(anonymous namespace)::ArgArray::BuildArgArrayFromVarArgs(art::ScopedObjectAccessAlreadyRunnable const&, art::ObjPtr<art::mirror::Object>, std::__va_list)
0.18%     artQuickToInterpreterBridge
0.18%     art::mirror::Object* art::gc::Heap::AllocObject<true, art::mirror::CopyObjectVisitor>(art::Thread*, art::ObjPtr<art::mirror::Class>, unsigned long, art::mirror::CopyObjectVisitor const&)
0.18%     void art::gc::accounting::SpaceBitmap<8ul>::VisitMarkedRange<art::gc::collector::ConcurrentCopying::CopyingPhase()::$_8 const&>(unsigned long, unsigned long, art::gc::collector::ConcurrentCopying::CopyingPhase()::$_8 const&&&) const
0.18%     art_quick_indexof
0.17%     art::gc::collector::ConcurrentCopying::CaptureRootsForMarkingVisitor<false>::VisitRoots(art::mirror::CompressedReference<art::mirror::Object>**, unsigned long, art::RootInfo const&)
0.17%     art::mirror::Class::FindVirtualMethodForVirtualOrInterface(art::ArtMethod*, art::PointerSize)
0.17%     art::ArtMethod::Invoke(art::Thread*, unsigned int*, unsigned int, art::JValue*, char const*)
