Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 15324
Event count: 25705646983

Overhead  Symbol
65.25%    neon::S32_alpha_D32_filter_DX(SkBitmapProcState const&, unsigned int const*, int, unsigned int*)
18.32%    void filter_scale<&(clamp(int, int)), &(clamp(int, int)), &(extract_low_bits_clamp_clamp(int, int)), true>(SkBitmapProcState const&, unsigned int*, int, int, int)
2.70%     neon::blit_row_s32a_opaque(unsigned int*, unsigned int const*, int, unsigned int)
1.75%     neon::RGBA_to_bgrA(unsigned int*, unsigned int const*, int)
1.52%     android::uirenderer::skiapipeline::SkiaDisplayList::prepareListAndChildren(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool, std::__1::function<void (android::uirenderer::RenderNode*, android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)>)
1.08%     android::uirenderer::RenderNode::prepareTreeImpl(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)
0.60%     android::uirenderer::skiapipeline::RenderNodeDrawable::drawContent(SkCanvas*) const
0.56%     android::uirenderer::skiapipeline::RenderNodeDrawable::onDraw(SkCanvas*)
0.36%     android::uirenderer::$_24::__invoke(void const*, SkCanvas*, SkMatrix const&)
0.29%     SkCanvas::drawTextBlob(SkTextBlob const*, float, float, SkPaint const&)
0.27%     GrAAConvexTessellator::createInsetRings(GrAAConvexTessellator::Ring&, float, float, float, float, GrAAConvexTessellator::Ring**)
0.26%     BitmapProcShaderContext::shadeSpan(int, int, unsigned int*, int)
0.25%     neon::rect_memset32(unsigned int*, unsigned int, int, unsigned long, int)
0.21%     GrTextContext::drawGlyphRunList(GrRecordingContext*, GrTextTarget*, GrClip const&, SkMatrix const&, SkSurfaceProps const&, SkGlyphRunList const&)
0.20%     android::uirenderer::skiapipeline::SkiaPipeline::unpinImages()
0.19%     GrAAConvexTessellator::createOuterRing(GrAAConvexTessellator::Ring const&, float, float, GrAAConvexTessellator::Ring*)
0.18%     GrAAConvexTessellator::addTri(int, int, int)
0.17%     android::uirenderer::skiapipeline::StartReorderBarrierDrawable::onDraw(SkCanvas*)
0.13%     SkCanvas::restoreToCount(int)
0.12%     @plt
0.12%     GrGLGpu::ProgramCache::findOrCreateProgram(GrRenderTarget*, GrProgramDesc const&, GrProgramInfo const&)
0.11%     GrAAConvexTessellator::Ring::computeBisectors(GrAAConvexTessellator const&)
0.11%     GrAAConvexTessellator::addPt(SkPoint const&, float, float, bool, GrAAConvexTessellator::CurveState)
0.11%     android::uirenderer::RenderProperties::updateMatrix()
0.10%     SkImage_Raster::onUnpinAsTexture(GrContext*) const
0.10%     GrAAConvexTessellator::tessellate(SkMatrix const&, SkPath const&)
0.10%     android::uirenderer::DamageAccumulator::popTransform()
