Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 14375
Event count: 20946663216

Overhead  Symbol
22.63%    LBFRandomForest::Trace(HyImage*, LBFRegUpperShape32f const&, LBFRegUpperShape32f const&, float*, LocalBinaryFeature&) const
11.69%    LBFFaceShapeRegressorStage::UpdateShape(HyImage*, float*, LBFRegUpperShape32f&, LBFRegUpperShape32f&)
11.57%    PixelDiffFeature::GetValue(HyImage*, LBFRegUpperShape32f const&, LBFRegUpperShape32f const&, float*, float&) const
6.58%     FaceAlignMotionSmoother::ComputeMV(HyPoint, HyPoint*, int, float&, float&, bool, float)
3.61%     ippiIntegral_8u32s_C1R(unsigned char const*, int, int*, int, IppiSize, int)
2.82%     void Eigen::MatrixBase<Eigen::Block<Eigen::Block<Eigen::Matrix<double, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false> >::makeHouseholder<Eigen::VectorBlock<Eigen::Block<Eigen::Block<Eigen::Matrix<double, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false>, -1> >(Eigen::VectorBlock<Eigen::Block<Eigen::Block<Eigen::Matrix<double, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false>, -1>&, double&, double&) const
2.78%     PixelDifferenceNode::GetFeatureValue(HyImage*, LBFRegUpperShape32f const&, LBFRegUpperShape32f const&, float*)
2.72%     void Eigen::internal::generic_product_impl<Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<double, double>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<double>, Eigen::Matrix<double, -1, 1, 0, -1, 1> const> const, Eigen::Block<Eigen::Matrix<double, -1, -1, 0, -1, -1> const, -1, 1, false> const>, Eigen::Map<Eigen::Matrix<double, 1, -1, 1, 1, -1>, 0, Eigen::Stride<0, 0> >, Eigen::DenseShape, Eigen::DenseShape, 5>::sub::operator()<Eigen::Block<Eigen::Block<Eigen::Block<Eigen::Matrix<double, -1, -1, 0, -1, -1>, -1, -1, false>, -1, -1, false>, -1, 1, true>, Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<double, double>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<double>, Eigen::Matrix<double, -1, 1, 0, -1, 1> const> const, Eigen::Matrix<double, -1, 1, 0, -1, 1> const> >(Eigen::Block<Eigen::Block<Eigen::Block<Eigen::Matrix<double, -1, -1, 0, -1, -1>, -1, -1, false>, -1, -1, false>, -1, 1, true> const&, Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<double, double>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<double>, Eigen::Matrix<double, -1, 1, 0, -1, 1> const> const, Eigen::Matrix<double, -1, 1, 0, -1, 1> const> const&) const
2.47%     clapackSolveOverDeterminedSystem(float*, int, int, float*, float*)
2.45%     Eigen::JacobiSVD<Eigen::Matrix<double, -1, -1, 0, -1, -1>, 2>::compute(Eigen::Matrix<double, -1, -1, 0, -1, -1> const&, unsigned int)
2.43%     SumImageBoxFilter::FilterBox(unsigned char const*, int, unsigned char*, int, int, int, int, int*)
2.16%     @plt
1.88%     Eigen::internal::general_matrix_vector_product<long, double, Eigen::internal::const_blas_data_mapper<double, long, 1>, 1, false, double, Eigen::internal::const_blas_data_mapper<double, long, 0>, false, 0>::run(long, long, Eigen::internal::const_blas_data_mapper<double, long, 1> const&, Eigen::internal::const_blas_data_mapper<double, long, 0> const&, double*, long, double)
1.83%     void Eigen::MatrixBase<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::applyOnTheRight<double>(long, long, Eigen::JacobiRotation<double> const&)
1.79%     hyLine(HyImage*, HyPoint const&, HyPoint const&, int)
1.46%     MorphologyTool::LocalMinFilter5x5(unsigned char*, unsigned char*, unsigned char*, int, int, int)
1.28%     MorphologyTool::LocalMinFilter3x3(unsigned char*, unsigned char*, unsigned char*, int, int, int)
1.21%     MorphologyTool::FillHoleBinary16x16BottomRight(unsigned char*, unsigned char*, unsigned char*, unsigned char*)
1.19%     clapackSolveOverDeterminedSystem(ChMatrix<float>&, int, int, ChMatrix<float>&, ChMatrix<float>&)
1.12%     Eigen::ColPivHouseholderQR<Eigen::Matrix<double, -1, -1, 0, -1, -1> >::computeInPlace()
1.08%     MorphologyTool::FillHoleBinary16x16TopLeft(unsigned char*, unsigned char*, unsigned char*, unsigned char*)
0.90%     FaceAlignMotionSmoother::Smooth(MakeupLive_FaceAlignData&, VN_Point32f&, VN_Point32f&, bool, float, bool, float, unsigned char*, unsigned char*, int, VN_FacePoseInfo const*, float*)
